Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s9037-il-200000
Airfoil,s9037-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,78.1372
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-s9037-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.3616,0.08900,0.08585,-0.0375,1.0000,0.0381
-7.500,-0.3716,0.08676,0.08368,-0.0374,1.0000,0.0382
-7.250,-0.3815,0.08449,0.08146,-0.0371,1.0000,0.0382
-7.000,-0.3949,0.08068,0.07771,-0.0365,1.0000,0.0385
-6.750,-0.4031,0.07764,0.07475,-0.0317,1.0000,0.0393
-6.500,-0.4082,0.07569,0.07283,-0.0290,1.0000,0.0399
-6.250,-0.3942,0.07260,0.06975,-0.0306,0.9975,0.0411
-6.000,-0.3653,0.06787,0.06497,-0.0376,0.9924,0.0433
-5.750,-0.3319,0.06202,0.05901,-0.0474,0.9861,0.0464
-5.500,-0.2883,0.05243,0.04881,-0.0638,0.9774,0.0509
-5.250,-0.2632,0.04863,0.04512,-0.0658,0.9734,0.0526
-5.000,-0.2295,0.04531,0.04173,-0.0699,0.9700,0.0559
-4.750,-0.1963,0.04005,0.03582,-0.0754,0.9613,0.0646
-4.500,-0.1626,0.03678,0.03260,-0.0784,0.9580,0.0675
-4.250,-0.1300,0.03373,0.02902,-0.0812,0.9510,0.0784
-4.000,-0.0877,0.02413,0.01795,-0.0812,0.9468,0.0284
-3.750,-0.0477,0.02095,0.01439,-0.0837,0.9441,0.0267
-3.500,-0.0117,0.01883,0.01188,-0.0849,0.9391,0.0264
-3.250,0.0236,0.01734,0.01013,-0.0858,0.9332,0.0274
-3.000,0.0615,0.01566,0.00840,-0.0876,0.9296,0.0316
-2.750,0.0919,0.01497,0.00765,-0.0876,0.9217,0.0386
-2.500,0.1253,0.01355,0.00632,-0.0884,0.9162,0.0673
-2.250,0.1525,0.01240,0.00572,-0.0884,0.9078,0.1900
-2.000,0.1817,0.01145,0.00544,-0.0888,0.9012,0.3741
-1.750,0.2031,0.01064,0.00534,-0.0873,0.8914,0.5764
-1.500,0.2232,0.00976,0.00526,-0.0840,0.8851,0.8407
-1.250,0.2932,0.00938,0.00479,-0.0918,0.8800,1.0000
-1.000,0.3192,0.00929,0.00452,-0.0910,0.8712,1.0000
-0.750,0.3421,0.00929,0.00437,-0.0897,0.8593,1.0000
-0.500,0.3661,0.00929,0.00422,-0.0886,0.8481,1.0000
-0.250,0.3910,0.00928,0.00407,-0.0876,0.8373,1.0000
0.000,0.4165,0.00926,0.00392,-0.0868,0.8268,1.0000
0.250,0.4418,0.00925,0.00378,-0.0859,0.8152,1.0000
0.500,0.4669,0.00927,0.00369,-0.0850,0.8024,1.0000
0.750,0.4922,0.00930,0.00362,-0.0842,0.7895,1.0000
1.000,0.5178,0.00934,0.00357,-0.0834,0.7763,1.0000
1.250,0.5435,0.00938,0.00352,-0.0827,0.7629,1.0000
1.500,0.5694,0.00944,0.00350,-0.0821,0.7492,1.0000
1.750,0.5953,0.00952,0.00348,-0.0814,0.7350,1.0000
2.000,0.6212,0.00960,0.00350,-0.0808,0.7203,1.0000
2.250,0.6470,0.00970,0.00351,-0.0801,0.7047,1.0000
2.500,0.6728,0.00981,0.00353,-0.0795,0.6885,1.0000
2.750,0.6984,0.00993,0.00357,-0.0788,0.6716,1.0000
3.000,0.7238,0.01007,0.00366,-0.0782,0.6535,1.0000
3.250,0.7493,0.01023,0.00377,-0.0776,0.6357,1.0000
3.500,0.7748,0.01040,0.00387,-0.0769,0.6179,1.0000
3.750,0.7999,0.01059,0.00400,-0.0763,0.5986,1.0000
4.000,0.8248,0.01079,0.00413,-0.0756,0.5778,1.0000
4.250,0.8496,0.01102,0.00431,-0.0749,0.5573,1.0000
4.500,0.8741,0.01126,0.00450,-0.0742,0.5359,1.0000
4.750,0.8985,0.01154,0.00471,-0.0735,0.5155,1.0000
5.000,0.9228,0.01181,0.00495,-0.0728,0.4937,1.0000
5.250,0.9467,0.01213,0.00523,-0.0721,0.4727,1.0000
5.500,0.9704,0.01245,0.00552,-0.0714,0.4504,1.0000
5.750,0.9936,0.01282,0.00583,-0.0706,0.4280,1.0000
6.000,1.0164,0.01321,0.00615,-0.0697,0.4045,1.0000
6.250,1.0391,0.01360,0.00654,-0.0689,0.3807,1.0000
6.500,1.0613,0.01404,0.00693,-0.0680,0.3580,1.0000
6.750,1.0832,0.01450,0.00736,-0.0670,0.3351,1.0000
7.000,1.1048,0.01499,0.00782,-0.0661,0.3118,1.0000
7.250,1.1255,0.01554,0.00833,-0.0650,0.2889,1.0000
7.500,1.1461,0.01610,0.00887,-0.0640,0.2657,1.0000
7.750,1.1658,0.01671,0.00944,-0.0629,0.2424,1.0000
8.000,1.1843,0.01741,0.01006,-0.0616,0.2201,1.0000
8.250,1.2036,0.01806,0.01071,-0.0604,0.1979,1.0000
8.500,1.2205,0.01888,0.01147,-0.0590,0.1788,1.0000
8.750,1.2383,0.01962,0.01225,-0.0577,0.1595,1.0000
9.000,1.2544,0.02048,0.01309,-0.0561,0.1424,1.0000
9.250,1.2688,0.02144,0.01401,-0.0544,0.1270,1.0000
