Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sa7024-il-50000
Airfoil,sa7024-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,38.7998
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-sa7024-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.500,-0.3969,0.10038,0.09385,-0.0181,1.0000,0.1904
-7.250,-0.3832,0.09585,0.08935,-0.0168,1.0000,0.1982
-7.000,-0.3993,0.09546,0.08914,-0.0176,1.0000,0.2046
-6.750,-0.3858,0.09104,0.08475,-0.0153,1.0000,0.2143
-6.250,-0.3972,0.08758,0.08155,-0.0191,1.0000,0.2331
-6.000,-0.3878,0.08382,0.07784,-0.0164,1.0000,0.2460
-5.750,-0.3806,0.08050,0.07459,-0.0144,1.0000,0.2581
-5.500,-0.3804,0.07808,0.07221,-0.0149,1.0000,0.2736
-5.250,-0.3788,0.07559,0.06981,-0.0155,1.0000,0.2893
-4.750,-0.3701,0.07023,0.06459,-0.0122,1.0000,0.3310
-4.500,-0.3663,0.06764,0.06209,-0.0090,1.0000,0.3588
-4.000,-0.3577,0.06209,0.05672,0.0015,1.0000,0.4209
-3.250,-0.1770,0.03771,0.02986,-0.0568,1.0000,0.1335
-3.000,-0.1429,0.03377,0.02527,-0.0588,1.0000,0.1191
-2.750,-0.1112,0.03060,0.02150,-0.0599,1.0000,0.1121
-2.500,-0.0792,0.02838,0.01845,-0.0602,1.0000,0.1084
-2.250,-0.0517,0.02625,0.01602,-0.0600,1.0000,0.1096
-2.000,-0.0260,0.02466,0.01424,-0.0595,1.0000,0.1156
-1.750,-0.0003,0.02342,0.01284,-0.0589,1.0000,0.1304
-1.500,0.0261,0.02222,0.01147,-0.0580,1.0000,0.1506
-1.250,0.0612,0.01849,0.00990,-0.0587,1.0000,0.4863
-1.000,0.0719,0.01696,0.00902,-0.0538,1.0000,1.0000
-0.750,0.0949,0.01726,0.00875,-0.0534,1.0000,1.0000
-0.500,0.1169,0.01760,0.00864,-0.0530,1.0000,1.0000
-0.250,0.1382,0.01799,0.00871,-0.0527,1.0000,1.0000
0.000,0.1589,0.01844,0.00888,-0.0523,1.0000,1.0000
0.250,0.1789,0.01894,0.00915,-0.0520,1.0000,1.0000
0.500,0.1985,0.01949,0.00948,-0.0518,1.0000,1.0000
0.750,0.2174,0.02012,0.00994,-0.0515,1.0000,1.0000
1.000,0.2357,0.02081,0.01050,-0.0514,1.0000,1.0000
1.250,0.2534,0.02157,0.01116,-0.0512,1.0000,1.0000
1.500,0.2706,0.02242,0.01192,-0.0512,1.0000,1.0000
1.750,0.3124,0.02364,0.01304,-0.0559,0.9872,1.0000
2.000,0.3696,0.02486,0.01420,-0.0629,0.9655,1.0000
2.250,0.4270,0.02584,0.01517,-0.0694,0.9441,1.0000
2.500,0.4759,0.02654,0.01593,-0.0740,0.9207,1.0000
2.750,0.5269,0.02709,0.01654,-0.0786,0.8977,1.0000
3.000,0.5834,0.02733,0.01691,-0.0835,0.8755,1.0000
3.250,0.6296,0.02746,0.01723,-0.0863,0.8508,1.0000
3.500,0.6806,0.02728,0.01724,-0.0892,0.8266,1.0000
3.750,0.7311,0.02681,0.01697,-0.0913,0.8027,1.0000
4.000,0.7812,0.02607,0.01651,-0.0926,0.7786,1.0000
4.250,0.8200,0.02560,0.01622,-0.0922,0.7514,1.0000
4.500,0.8528,0.02533,0.01610,-0.0909,0.7216,1.0000
4.750,0.8828,0.02517,0.01606,-0.0891,0.6897,1.0000
