Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sa7036-il-500000
Airfoil,sa7036-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,97.1165
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-sa7036-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.3927,0.08148,0.07933,-0.0362,1.0000,0.0151
-8.250,-0.3974,0.07758,0.07547,-0.0374,1.0000,0.0152
-8.000,-0.4081,0.07440,0.07234,-0.0371,1.0000,0.0155
-7.750,-0.4285,0.07160,0.06963,-0.0359,1.0000,0.0154
-7.500,-0.4449,0.06854,0.06661,-0.0359,1.0000,0.0154
-7.250,-0.4399,0.06376,0.06182,-0.0409,0.9980,0.0157
-7.000,-0.4153,0.05857,0.05655,-0.0489,0.9945,0.0163
-6.750,-0.3914,0.05227,0.05011,-0.0570,0.9895,0.0168
-6.500,-0.3638,0.04588,0.04351,-0.0644,0.9856,0.0180
-6.250,-0.3266,0.04007,0.03718,-0.0702,0.9823,0.0210
-6.000,-0.3113,0.03130,0.02787,-0.0746,0.9757,0.0224
-5.750,-0.2791,0.02948,0.02604,-0.0773,0.9735,0.0239
-5.500,-0.2448,0.02701,0.02329,-0.0799,0.9714,0.0266
-5.250,-0.2185,0.02398,0.01980,-0.0808,0.9659,0.0318
-5.000,-0.1900,0.01620,0.01087,-0.0793,0.9607,0.0156
-4.750,-0.1579,0.01463,0.00908,-0.0799,0.9575,0.0154
-4.500,-0.1331,0.01320,0.00749,-0.0792,0.9508,0.0157
-4.250,-0.1061,0.01210,0.00631,-0.0789,0.9452,0.0167
-4.000,-0.0806,0.01144,0.00559,-0.0782,0.9384,0.0179
-3.750,-0.0549,0.01095,0.00505,-0.0775,0.9313,0.0196
-3.500,-0.0294,0.01055,0.00459,-0.0767,0.9241,0.0210
-3.250,-0.0046,0.00973,0.00366,-0.0759,0.9165,0.0235
-3.000,0.0213,0.00936,0.00324,-0.0752,0.9086,0.0272
-2.750,0.0474,0.00895,0.00280,-0.0745,0.9010,0.0394
-2.500,0.0723,0.00822,0.00247,-0.0740,0.8916,0.1379
-2.250,0.0980,0.00777,0.00226,-0.0736,0.8828,0.2237
-2.000,0.1235,0.00729,0.00211,-0.0732,0.8729,0.3313
-1.750,0.1488,0.00684,0.00200,-0.0728,0.8617,0.4475
-1.500,0.1739,0.00642,0.00193,-0.0722,0.8503,0.5680
-1.250,0.1990,0.00611,0.00188,-0.0714,0.8384,0.6648
-1.000,0.2237,0.00588,0.00183,-0.0704,0.8259,0.7423
-0.750,0.2473,0.00569,0.00180,-0.0691,0.8125,0.8146
-0.500,0.2693,0.00555,0.00178,-0.0672,0.7981,0.8829
-0.250,0.2954,0.00549,0.00173,-0.0662,0.7831,0.9423
0.000,0.3350,0.00548,0.00164,-0.0685,0.7670,0.9787
0.250,0.3779,0.00551,0.00153,-0.0717,0.7490,1.0000
0.500,0.4025,0.00560,0.00150,-0.0709,0.7309,1.0000
0.750,0.4276,0.00570,0.00149,-0.0703,0.7123,1.0000
1.000,0.4531,0.00582,0.00149,-0.0697,0.6932,1.0000
1.250,0.4788,0.00595,0.00150,-0.0692,0.6744,1.0000
1.500,0.5047,0.00607,0.00153,-0.0688,0.6550,1.0000
1.750,0.5307,0.00622,0.00157,-0.0684,0.6344,1.0000
2.000,0.5566,0.00638,0.00163,-0.0679,0.6134,1.0000
2.250,0.5827,0.00653,0.00169,-0.0676,0.5922,1.0000
2.500,0.6087,0.00671,0.00177,-0.0672,0.5718,1.0000
2.750,0.6350,0.00688,0.00185,-0.0669,0.5512,1.0000
3.250,0.6872,0.00726,0.00207,-0.0662,0.5097,1.0000
3.500,0.7132,0.00747,0.00220,-0.0659,0.4895,1.0000
3.750,0.7392,0.00768,0.00233,-0.0656,0.4677,1.0000
4.250,0.7907,0.00816,0.00266,-0.0649,0.4220,1.0000
