Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc1095-il-50000
Airfoil,sc1095-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,25.3258
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-sc1095-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.5500,0.09514,0.08809,0.0291,1.0000,0.4030
-7.750,-0.5442,0.09198,0.08494,0.0298,1.0000,0.4221
-7.500,-0.6722,0.06493,0.05769,-0.0154,1.0000,0.1985
-7.250,-0.6566,0.06007,0.05275,-0.0155,1.0000,0.1948
-7.000,-0.6490,0.05469,0.04708,-0.0170,1.0000,0.1929
-6.750,-0.6385,0.04963,0.04158,-0.0181,1.0000,0.1919
-6.500,-0.6244,0.04497,0.03644,-0.0187,1.0000,0.1912
-6.250,-0.6073,0.04111,0.03204,-0.0188,1.0000,0.1941
-6.000,-0.5881,0.03809,0.02865,-0.0184,1.0000,0.2017
-5.750,-0.5666,0.03552,0.02571,-0.0179,1.0000,0.2099
-5.500,-0.5441,0.03316,0.02312,-0.0174,1.0000,0.2191
-5.250,-0.5213,0.03115,0.02078,-0.0168,1.0000,0.2316
-5.000,-0.4977,0.02942,0.01880,-0.0161,1.0000,0.2450
-4.750,-0.4736,0.02789,0.01705,-0.0155,1.0000,0.2588
-4.500,-0.4494,0.02645,0.01556,-0.0147,1.0000,0.2733
-4.250,-0.4249,0.02512,0.01415,-0.0140,1.0000,0.2885
-4.000,-0.3997,0.02385,0.01284,-0.0133,1.0000,0.3035
-3.750,-0.3754,0.02271,0.01182,-0.0124,1.0000,0.3242
-3.500,-0.3501,0.02164,0.01079,-0.0116,1.0000,0.3505
-3.250,-0.3254,0.02048,0.00988,-0.0107,1.0000,0.3857
-3.000,-0.3037,0.01914,0.00908,-0.0092,1.0000,0.4569
-2.750,-0.2942,0.01738,0.00897,-0.0032,1.0000,0.6685
-2.500,-0.1994,0.01839,0.00993,-0.0063,1.0000,0.9546
-2.250,-0.0892,0.01797,0.00883,-0.0221,1.0000,1.0000
-2.000,-0.0773,0.01759,0.00834,-0.0207,1.0000,1.0000
-1.750,-0.0669,0.01732,0.00797,-0.0188,1.0000,1.0000
-1.500,-0.0586,0.01713,0.00770,-0.0163,1.0000,1.0000
-1.250,-0.0515,0.01701,0.00750,-0.0135,1.0000,1.0000
-1.000,-0.0444,0.01694,0.00735,-0.0106,1.0000,1.0000
-0.750,-0.0367,0.01693,0.00726,-0.0078,1.0000,1.0000
-0.500,-0.0275,0.01697,0.00723,-0.0053,1.0000,1.0000
-0.250,-0.0158,0.01707,0.00725,-0.0032,1.0000,1.0000
0.000,-0.0018,0.01722,0.00733,-0.0015,1.0000,1.0000
0.250,0.0138,0.01743,0.00748,-0.0003,1.0000,1.0000
0.500,0.0306,0.01769,0.00770,0.0007,1.0000,1.0000
0.750,0.0479,0.01801,0.00800,0.0015,1.0000,1.0000
1.000,0.0656,0.01841,0.00840,0.0020,1.0000,1.0000
1.250,0.0832,0.01891,0.00890,0.0023,1.0000,1.0000
1.500,0.1004,0.01951,0.00953,0.0023,1.0000,1.0000
1.750,0.1167,0.02027,0.01033,0.0021,1.0000,1.0000
2.000,0.2211,0.02132,0.01162,-0.0134,0.9596,1.0000
2.250,0.3282,0.02118,0.01184,-0.0268,0.9049,1.0000
2.500,0.3969,0.02041,0.01131,-0.0310,0.8510,1.0000
2.750,0.4346,0.01973,0.01072,-0.0290,0.7948,1.0000
3.000,0.4581,0.01934,0.01022,-0.0248,0.7330,1.0000
3.250,0.4773,0.01932,0.00995,-0.0205,0.6632,1.0000
3.500,0.4965,0.01967,0.00988,-0.0167,0.5921,1.0000
3.750,0.5169,0.02041,0.01019,-0.0140,0.5236,1.0000
4.000,0.5388,0.02140,0.01077,-0.0121,0.4639,1.0000
4.250,0.5620,0.02251,0.01156,-0.0107,0.4170,1.0000
4.500,0.5861,0.02367,0.01249,-0.0096,0.3808,1.0000
4.750,0.6111,0.02488,0.01354,-0.0088,0.3530,1.0000
5.000,0.6356,0.02610,0.01480,-0.0082,0.3283,1.0000
5.250,0.6608,0.02741,0.01607,-0.0076,0.3099,1.0000
5.500,0.6861,0.02890,0.01769,-0.0072,0.2954,1.0000
5.750,0.7107,0.03045,0.01937,-0.0067,0.2820,1.0000
6.000,0.7345,0.03206,0.02114,-0.0062,0.2698,1.0000
6.250,0.7594,0.03374,0.02280,-0.0058,0.2612,1.0000
6.500,0.7807,0.03615,0.02576,-0.0055,0.2542,1.0000
6.750,0.8048,0.03803,0.02768,-0.0051,0.2475,1.0000
7.000,0.8218,0.04088,0.03107,-0.0048,0.2409,1.0000
7.250,0.8417,0.04322,0.03363,-0.0043,0.2347,1.0000
7.500,0.8619,0.04604,0.03659,-0.0040,0.2314,1.0000
7.750,0.8712,0.05041,0.04156,-0.0040,0.2302,1.0000
8.000,0.8763,0.05532,0.04694,-0.0044,0.2297,1.0000
8.250,0.8756,0.06082,0.05282,-0.0053,0.2294,1.0000
8.500,0.8698,0.06686,0.05914,-0.0067,0.2298,1.0000
8.750,0.8611,0.07347,0.06595,-0.0088,0.2326,1.0000
