Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sd7003-il-500000
Airfoil,sd7003-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,78.4825
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-sd7003-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.6418,0.07188,0.06968,-0.0177,1.0000,0.0135
-9.500,-0.6941,0.05165,0.04937,-0.0350,1.0000,0.0125
-9.250,-0.7245,0.04318,0.04055,-0.0399,1.0000,0.0123
-9.000,-0.7413,0.03550,0.03232,-0.0414,1.0000,0.0121
-8.750,-0.7418,0.02981,0.02603,-0.0413,1.0000,0.0121
-8.500,-0.7302,0.02634,0.02210,-0.0406,1.0000,0.0123
-8.250,-0.7138,0.02376,0.01914,-0.0398,1.0000,0.0125
-8.000,-0.6944,0.02188,0.01693,-0.0390,1.0000,0.0128
-7.750,-0.6732,0.02044,0.01524,-0.0382,1.0000,0.0130
-7.500,-0.6549,0.01799,0.01250,-0.0372,1.0000,0.0137
-7.250,-0.6325,0.01708,0.01155,-0.0365,1.0000,0.0145
-7.000,-0.6092,0.01633,0.01071,-0.0358,1.0000,0.0153
-6.750,-0.5861,0.01541,0.00967,-0.0350,1.0000,0.0162
-6.500,-0.5626,0.01461,0.00874,-0.0341,1.0000,0.0170
-6.250,-0.5405,0.01335,0.00737,-0.0332,1.0000,0.0184
-6.000,-0.5167,0.01275,0.00676,-0.0325,1.0000,0.0202
-5.750,-0.4923,0.01229,0.00623,-0.0317,1.0000,0.0224
-5.500,-0.4689,0.01155,0.00548,-0.0309,1.0000,0.0260
-5.250,-0.4443,0.01135,0.00524,-0.0302,1.0000,0.0296
-5.000,-0.4206,0.01074,0.00465,-0.0294,1.0000,0.0352
-4.750,-0.3965,0.01035,0.00424,-0.0287,1.0000,0.0406
-4.500,-0.3722,0.01011,0.00401,-0.0280,1.0000,0.0472
-4.250,-0.3484,0.00975,0.00368,-0.0272,1.0000,0.0551
-4.000,-0.3245,0.00953,0.00344,-0.0264,1.0000,0.0625
-3.750,-0.2945,0.00927,0.00321,-0.0269,0.9986,0.0725
-3.500,-0.2544,0.00896,0.00293,-0.0296,0.9945,0.0860
-3.250,-0.2161,0.00861,0.00267,-0.0318,0.9894,0.1052
-3.000,-0.1762,0.00825,0.00246,-0.0344,0.9845,0.1382
-2.750,-0.1391,0.00782,0.00225,-0.0365,0.9776,0.1922
-2.250,-0.0660,0.00699,0.00193,-0.0403,0.9591,0.3343
-2.000,-0.0316,0.00660,0.00179,-0.0416,0.9447,0.4101
-1.750,0.0011,0.00621,0.00167,-0.0425,0.9259,0.4967
-1.500,0.0298,0.00591,0.00159,-0.0424,0.9005,0.5785
-1.250,0.0560,0.00573,0.00153,-0.0416,0.8718,0.6460
-1.000,0.0810,0.00563,0.00151,-0.0406,0.8421,0.7060
-0.750,0.1056,0.00559,0.00151,-0.0394,0.8125,0.7551
-0.500,0.1301,0.00558,0.00150,-0.0382,0.7833,0.7977
-0.250,0.1542,0.00559,0.00151,-0.0370,0.7548,0.8363
0.000,0.1779,0.00562,0.00151,-0.0356,0.7270,0.8710
0.250,0.2010,0.00566,0.00151,-0.0340,0.6998,0.9040
0.500,0.2254,0.00571,0.00150,-0.0328,0.6727,0.9370
0.750,0.2579,0.00579,0.00147,-0.0334,0.6439,0.9669
1.000,0.2973,0.00590,0.00144,-0.0358,0.6127,0.9900
1.250,0.3290,0.00604,0.00144,-0.0366,0.5837,1.0000
1.500,0.3546,0.00620,0.00146,-0.0361,0.5562,1.0000
1.750,0.3808,0.00637,0.00150,-0.0357,0.5287,1.0000
2.000,0.4072,0.00654,0.00156,-0.0353,0.5018,1.0000
2.250,0.4338,0.00673,0.00163,-0.0350,0.4755,1.0000
2.500,0.4605,0.00692,0.00170,-0.0347,0.4496,1.0000
3.000,0.5140,0.00733,0.00191,-0.0342,0.3985,1.0000
3.250,0.5409,0.00754,0.00202,-0.0340,0.3740,1.0000
3.500,0.5676,0.00778,0.00215,-0.0338,0.3503,1.0000
3.750,0.5945,0.00800,0.00229,-0.0336,0.3261,1.0000
4.000,0.6212,0.00825,0.00246,-0.0333,0.3041,1.0000
4.250,0.6479,0.00851,0.00263,-0.0331,0.2813,1.0000
4.500,0.6746,0.00878,0.00282,-0.0329,0.2600,1.0000
4.750,0.7012,0.00906,0.00303,-0.0327,0.2387,1.0000
5.000,0.7276,0.00936,0.00325,-0.0324,0.2197,1.0000
5.250,0.7541,0.00964,0.00349,-0.0322,0.2013,1.0000
5.500,0.7805,0.00995,0.00374,-0.0319,0.1839,1.0000
5.750,0.8068,0.01028,0.00402,-0.0317,0.1682,1.0000
6.000,0.8329,0.01062,0.00431,-0.0314,0.1527,1.0000
6.250,0.8589,0.01098,0.00462,-0.0311,0.1381,1.0000
6.500,0.8847,0.01136,0.00496,-0.0308,0.1228,1.0000
6.750,0.9104,0.01175,0.00530,-0.0305,0.1089,1.0000
7.000,0.9361,0.01213,0.00566,-0.0302,0.0975,1.0000
7.250,0.9617,0.01252,0.00604,-0.0299,0.0870,1.0000
7.500,0.9871,0.01294,0.00647,-0.0296,0.0775,1.0000
7.750,1.0120,0.01341,0.00693,-0.0292,0.0680,1.0000
8.000,1.0364,0.01395,0.00743,-0.0287,0.0581,1.0000
8.250,1.0609,0.01446,0.00793,-0.0283,0.0492,1.0000
8.500,1.0849,0.01505,0.00852,-0.0278,0.0409,1.0000
8.750,1.1080,0.01577,0.00928,-0.0272,0.0336,1.0000
9.000,1.1294,0.01672,0.01025,-0.0264,0.0283,1.0000
9.250,1.1526,0.01736,0.01096,-0.0257,0.0254,1.0000
9.500,1.1712,0.01861,0.01225,-0.0247,0.0224,1.0000
9.750,1.1933,0.01934,0.01309,-0.0239,0.0212,1.0000
10.000,1.2142,0.02016,0.01401,-0.0231,0.0200,1.0000
10.250,1.2342,0.02106,0.01500,-0.0222,0.0189,1.0000
10.500,1.2518,0.02218,0.01619,-0.0211,0.0178,1.0000
10.750,1.2621,0.02414,0.01829,-0.0192,0.0167,1.0000
11.000,1.2807,0.02500,0.01927,-0.0182,0.0162,1.0000
11.250,1.2964,0.02613,0.02053,-0.0169,0.0156,1.0000
11.500,1.3102,0.02735,0.02188,-0.0155,0.0150,1.0000
11.750,1.3219,0.02866,0.02332,-0.0139,0.0145,1.0000
12.000,1.3313,0.02995,0.02472,-0.0122,0.0139,1.0000
12.250,1.3353,0.03130,0.02615,-0.0097,0.0135,1.0000
12.500,1.3335,0.03313,0.02809,-0.0072,0.0132,1.0000
