Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sd7034-il-1000000
Airfoil,sd7034-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,128.442
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-sd7034-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.2592,0.10071,0.09922,-0.0294,0.9672,0.0140
-10.250,-0.6266,0.03512,0.03310,-0.0795,0.9649,0.0089
-10.000,-0.6350,0.02864,0.02604,-0.0822,0.9339,0.0090
-9.750,-0.6267,0.02553,0.02255,-0.0822,0.9189,0.0090
-9.500,-0.6109,0.02345,0.02017,-0.0819,0.9081,0.0091
-9.000,-0.5784,0.01846,0.01445,-0.0814,0.8887,0.0097
-8.750,-0.5547,0.01768,0.01356,-0.0811,0.8810,0.0099
-8.500,-0.5292,0.01715,0.01295,-0.0809,0.8731,0.0102
-8.250,-0.5044,0.01645,0.01211,-0.0806,0.8659,0.0106
-8.000,-0.4788,0.01569,0.01121,-0.0805,0.8582,0.0110
-7.750,-0.4535,0.01497,0.01032,-0.0802,0.8512,0.0113
-7.500,-0.4271,0.01431,0.00953,-0.0800,0.8438,0.0117
-7.250,-0.4004,0.01388,0.00895,-0.0798,0.8368,0.0119
-7.000,-0.3756,0.01261,0.00753,-0.0796,0.8297,0.0126
-6.750,-0.3486,0.01219,0.00705,-0.0795,0.8225,0.0131
-6.500,-0.3211,0.01182,0.00661,-0.0794,0.8156,0.0137
-6.250,-0.2937,0.01145,0.00614,-0.0793,0.8083,0.0144
-6.000,-0.2658,0.01119,0.00579,-0.0791,0.8015,0.0150
-5.750,-0.2390,0.01049,0.00502,-0.0790,0.7940,0.0161
-5.500,-0.2113,0.01026,0.00473,-0.0789,0.7871,0.0171
-5.250,-0.1831,0.01005,0.00447,-0.0789,0.7796,0.0183
-5.000,-0.1556,0.00961,0.00395,-0.0788,0.7726,0.0197
-4.750,-0.1274,0.00935,0.00367,-0.0787,0.7651,0.0212
-4.500,-0.0993,0.00916,0.00341,-0.0786,0.7580,0.0226
-4.250,-0.0712,0.00881,0.00302,-0.0786,0.7506,0.0245
-4.000,-0.0430,0.00864,0.00281,-0.0786,0.7432,0.0267
-3.750,-0.0146,0.00844,0.00256,-0.0786,0.7358,0.0289
-3.500,0.0136,0.00823,0.00233,-0.0785,0.7281,0.0323
-3.250,0.0421,0.00804,0.00213,-0.0785,0.7205,0.0368
-3.000,0.0705,0.00789,0.00195,-0.0785,0.7125,0.0435
-2.750,0.0990,0.00773,0.00182,-0.0785,0.7046,0.0538
-2.500,0.1273,0.00763,0.00171,-0.0785,0.6963,0.0629
-2.250,0.1559,0.00751,0.00160,-0.0785,0.6880,0.0731
-2.000,0.1842,0.00741,0.00150,-0.0785,0.6795,0.0853
-1.750,0.2128,0.00729,0.00141,-0.0785,0.6707,0.1010
-1.500,0.2412,0.00718,0.00133,-0.0786,0.6620,0.1245
-1.250,0.2695,0.00703,0.00127,-0.0786,0.6528,0.1598
-1.000,0.2977,0.00685,0.00122,-0.0787,0.6440,0.2139
-0.750,0.3257,0.00662,0.00118,-0.0788,0.6347,0.2937
-0.500,0.3538,0.00639,0.00117,-0.0789,0.6253,0.3750
-0.250,0.3817,0.00622,0.00117,-0.0789,0.6159,0.4534
0.000,0.4095,0.00605,0.00118,-0.0789,0.6059,0.5364
0.250,0.4371,0.00587,0.00121,-0.0789,0.5961,0.6231
0.500,0.4642,0.00573,0.00125,-0.0786,0.5858,0.7053
0.750,0.4900,0.00552,0.00130,-0.0780,0.5752,0.8040
1.000,0.5115,0.00525,0.00134,-0.0762,0.5651,0.9379
1.250,0.5504,0.00529,0.00133,-0.0785,0.5536,1.0000
1.500,0.5784,0.00539,0.00136,-0.0784,0.5421,1.0000
1.750,0.6065,0.00548,0.00139,-0.0784,0.5307,1.0000
2.000,0.6346,0.00559,0.00144,-0.0784,0.5193,1.0000
2.250,0.6625,0.00571,0.00149,-0.0783,0.5075,1.0000
2.500,0.6903,0.00585,0.00155,-0.0783,0.4952,1.0000
2.750,0.7182,0.00597,0.00162,-0.0783,0.4826,1.0000
3.000,0.7460,0.00610,0.00170,-0.0782,0.4699,1.0000
3.250,0.7737,0.00624,0.00178,-0.0782,0.4570,1.0000
3.500,0.8013,0.00640,0.00187,-0.0781,0.4437,1.0000
3.750,0.8288,0.00656,0.00198,-0.0781,0.4305,1.0000
4.000,0.8562,0.00673,0.00209,-0.0780,0.4167,1.0000
4.250,0.8834,0.00692,0.00222,-0.0779,0.4028,1.0000
4.500,0.9105,0.00711,0.00235,-0.0778,0.3885,1.0000
5.000,0.9646,0.00751,0.00264,-0.0776,0.3600,1.0000
5.250,0.9914,0.00772,0.00280,-0.0775,0.3457,1.0000
5.500,1.0180,0.00795,0.00298,-0.0774,0.3311,1.0000
5.750,1.0444,0.00820,0.00316,-0.0772,0.3163,1.0000
6.000,1.0706,0.00846,0.00336,-0.0770,0.3010,1.0000
6.250,1.0966,0.00873,0.00358,-0.0768,0.2857,1.0000
6.500,1.1224,0.00901,0.00380,-0.0766,0.2710,1.0000
6.750,1.1481,0.00930,0.00403,-0.0763,0.2564,1.0000
7.000,1.1736,0.00960,0.00428,-0.0760,0.2426,1.0000
7.250,1.1989,0.00990,0.00453,-0.0757,0.2292,1.0000
7.500,1.2240,0.01021,0.00480,-0.0754,0.2163,1.0000
7.750,1.2487,0.01055,0.00510,-0.0751,0.2028,1.0000
8.000,1.2730,0.01091,0.00540,-0.0747,0.1896,1.0000
8.250,1.2969,0.01129,0.00573,-0.0742,0.1760,1.0000
8.500,1.3204,0.01170,0.00608,-0.0737,0.1624,1.0000
8.750,1.3433,0.01214,0.00647,-0.0731,0.1482,1.0000
9.000,1.3656,0.01261,0.00687,-0.0724,0.1342,1.0000
9.250,1.3872,0.01312,0.00731,-0.0717,0.1202,1.0000
9.500,1.4079,0.01367,0.00779,-0.0708,0.1062,1.0000
9.750,1.4279,0.01424,0.00830,-0.0698,0.0933,1.0000
10.000,1.4475,0.01482,0.00883,-0.0688,0.0822,1.0000
10.250,1.4662,0.01541,0.00938,-0.0677,0.0722,1.0000
10.500,1.4837,0.01605,0.00998,-0.0663,0.0632,1.0000
10.750,1.4996,0.01674,0.01063,-0.0648,0.0549,1.0000
11.000,1.5156,0.01733,0.01122,-0.0633,0.0499,1.0000
11.250,1.5270,0.01798,0.01187,-0.0609,0.0450,1.0000
11.500,1.5384,0.01862,0.01254,-0.0587,0.0415,1.0000
11.750,1.5470,0.01946,0.01337,-0.0563,0.0373,1.0000
12.000,1.5590,0.02017,0.01413,-0.0544,0.0349,1.0000
12.250,1.5676,0.02113,0.01510,-0.0524,0.0321,1.0000
