Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sg6043-il-100000
Airfoil,sg6043-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,66.4666
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-sg6043-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-6.750,-0.3860,0.11161,0.10743,-0.0154,1.0000,0.0725
-6.500,-0.4026,0.11086,0.10675,-0.0137,1.0000,0.0735
-6.250,-0.4194,0.11012,0.10609,-0.0134,1.0000,0.0743
-6.000,-0.4301,0.10894,0.10496,-0.0205,1.0000,0.0751
-5.750,-0.4149,0.10346,0.09950,-0.0238,0.9961,0.0762
-5.500,-0.3961,0.09947,0.09550,-0.0201,0.9919,0.0783
-5.250,-0.3750,0.09595,0.09196,-0.0236,0.9865,0.0815
-5.000,-0.3551,0.09215,0.08815,-0.0305,0.9796,0.0859
-4.750,-0.3162,0.08561,0.08149,-0.0501,0.9721,0.0905
-4.500,-0.3071,0.08285,0.07878,-0.0462,0.9669,0.0925
-4.250,-0.2814,0.07954,0.07544,-0.0495,0.9621,0.0973
-4.000,-0.2364,0.07318,0.06884,-0.0665,0.9546,0.1061
-3.750,-0.1823,0.07002,0.06527,-0.0792,0.9490,0.1205
-3.500,-0.1776,0.06581,0.06130,-0.0757,0.9435,0.1228
-3.250,-0.1481,0.06326,0.05874,-0.0780,0.9387,0.1334
-3.000,-0.1173,0.05960,0.05498,-0.0827,0.9328,0.1428
-2.750,-0.0771,0.05616,0.05138,-0.0890,0.9274,0.1588
-2.500,-0.0318,0.05313,0.04821,-0.0950,0.9238,0.1781
-2.250,0.0857,0.04268,0.03568,-0.1152,0.9234,0.0896
-2.000,0.1136,0.03964,0.03253,-0.1167,0.9169,0.0866
-1.750,0.1613,0.03669,0.02896,-0.1207,0.9131,0.0797
-1.500,0.2114,0.03470,0.02630,-0.1243,0.9100,0.0779
-1.250,0.2401,0.03380,0.02523,-0.1248,0.9031,0.0802
-1.000,0.2774,0.03316,0.02435,-0.1264,0.8977,0.0881
-0.750,0.3232,0.03204,0.02321,-0.1294,0.8944,0.1015
-0.500,0.3460,0.03150,0.02279,-0.1289,0.8860,0.1255
-0.250,0.3864,0.03077,0.02236,-0.1313,0.8812,0.1950
