Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sm701-il-200000
Airfoil,sm701-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,68.5932
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-sm701-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.3864,0.11578,0.11250,-0.0391,1.0000,0.0642
-10.500,-0.3796,0.11185,0.10857,-0.0420,0.9981,0.0666
-10.250,-0.4295,0.09486,0.09158,-0.0663,0.9907,0.0713
-10.000,-0.4152,0.08935,0.08613,-0.0674,0.9881,0.0726
-9.750,-0.3777,0.09076,0.08753,-0.0634,0.9864,0.0739
-9.500,-0.3574,0.08790,0.08466,-0.0661,0.9839,0.0761
-9.250,-0.2449,0.06960,0.06648,-0.0828,0.9621,0.0881
-9.000,-0.2564,0.06139,0.05824,-0.0896,0.9590,0.0903
-8.750,-0.2959,0.05365,0.05042,-0.0949,0.9490,0.0912
-8.500,-0.3291,0.04848,0.04511,-0.0976,0.9391,0.0917
-8.250,-0.3635,0.04466,0.04083,-0.0996,0.9274,0.0962
-8.000,-0.4621,0.04163,0.03625,-0.0954,0.9239,0.0531
-7.750,-0.4510,0.03531,0.02869,-0.0942,0.9180,0.0431
-7.500,-0.4196,0.03294,0.02605,-0.0957,0.9159,0.0427
-7.250,-0.3984,0.03095,0.02384,-0.0952,0.9110,0.0425
-7.000,-0.3758,0.02953,0.02218,-0.0947,0.9055,0.0428
-6.750,-0.3445,0.02728,0.01986,-0.0959,0.9032,0.0441
-6.500,-0.3103,0.02597,0.01850,-0.0974,0.9014,0.0452
-6.250,-0.2741,0.02471,0.01716,-0.0990,0.9001,0.0461
-6.000,-0.2632,0.02419,0.01660,-0.0961,0.8920,0.0467
-5.750,-0.2315,0.02324,0.01560,-0.0969,0.8892,0.0479
-5.500,-0.1971,0.02232,0.01464,-0.0982,0.8872,0.0496
-5.250,-0.1620,0.02128,0.01360,-0.0998,0.8857,0.0523
-5.000,-0.1441,0.02081,0.01319,-0.0985,0.8799,0.0551
-4.750,-0.1190,0.02028,0.01264,-0.0983,0.8751,0.0587
-4.500,-0.0848,0.01932,0.01171,-0.1000,0.8729,0.0650
-4.250,-0.0467,0.01826,0.01074,-0.1025,0.8713,0.0865
-4.000,-0.0095,0.01534,0.00953,-0.1074,0.8700,0.4153
-3.750,0.0297,0.01518,0.00968,-0.1092,0.8687,0.5466
-3.500,0.0405,0.01566,0.01012,-0.1060,0.8596,0.5716
-3.250,0.0762,0.01583,0.01024,-0.1069,0.8570,0.6033
-3.000,0.1120,0.01606,0.01051,-0.1073,0.8550,0.6266
-2.750,0.1496,0.01624,0.01068,-0.1082,0.8532,0.6457
-2.500,0.1628,0.01669,0.01111,-0.1052,0.8448,0.6577
-2.250,0.1969,0.01674,0.01110,-0.1057,0.8412,0.6706
-2.000,0.2315,0.01690,0.01128,-0.1056,0.8386,0.6845
-1.750,0.2683,0.01698,0.01136,-0.1059,0.8362,0.6971
-1.500,0.2832,0.01712,0.01145,-0.1038,0.8268,0.7044
-1.250,0.3223,0.01676,0.01101,-0.1056,0.8230,0.7083
-1.000,0.3636,0.01644,0.01060,-0.1078,0.8199,0.7117
-0.750,0.3795,0.01654,0.01069,-0.1057,0.8108,0.7159
-0.500,0.4187,0.01621,0.01026,-0.1079,0.8063,0.7203
-0.250,0.4507,0.01603,0.01002,-0.1088,0.8006,0.7240
0.000,0.4756,0.01596,0.00994,-0.1081,0.7931,0.7269
0.250,0.5130,0.01570,0.00960,-0.1097,0.7882,0.7300
0.500,0.5363,0.01568,0.00958,-0.1089,0.7799,0.7340
0.750,0.5716,0.01546,0.00927,-0.1104,0.7734,0.7386
1.000,0.5992,0.01535,0.00915,-0.1103,0.7659,0.7416
1.250,0.6275,0.01521,0.00900,-0.1102,0.7580,0.7446
1.500,0.6566,0.01510,0.00886,-0.1103,0.7501,0.7484
1.750,0.6856,0.01497,0.00870,-0.1105,0.7413,0.7530
2.000,0.7141,0.01486,0.00856,-0.1106,0.7321,0.7573
2.250,0.7428,0.01470,0.00838,-0.1105,0.7230,0.7604
2.500,0.7660,0.01463,0.00834,-0.1095,0.7120,0.7644
2.750,0.7959,0.01450,0.00817,-0.1098,0.7021,0.7691
3.000,0.8225,0.01438,0.00803,-0.1095,0.6901,0.7741
3.250,0.8438,0.01431,0.00800,-0.1080,0.6769,0.7782
3.500,0.8674,0.01423,0.00793,-0.1071,0.6628,0.7830
3.750,0.8924,0.01417,0.00783,-0.1065,0.6470,0.7887
4.000,0.9137,0.01410,0.00778,-0.1051,0.6294,0.7931
4.250,0.9345,0.01408,0.00772,-0.1035,0.6093,0.7984
4.500,0.9555,0.01413,0.00770,-0.1022,0.5853,0.8053
4.750,0.9729,0.01422,0.00769,-0.1000,0.5594,0.8107
5.000,0.9898,0.01443,0.00779,-0.0979,0.5309,0.8173
5.250,1.0066,0.01475,0.00795,-0.0960,0.5028,0.8242
5.500,1.0204,0.01512,0.00818,-0.0933,0.4778,0.8310
5.750,1.0356,0.01550,0.00847,-0.0912,0.4540,0.8393
6.000,1.0468,0.01587,0.00876,-0.0881,0.4338,0.8473
6.250,1.0604,0.01630,0.00910,-0.0858,0.4148,0.8570
6.500,1.0731,0.01673,0.00946,-0.0831,0.3977,0.8675
6.750,1.0855,0.01713,0.00984,-0.0805,0.3822,0.8785
7.000,1.0980,0.01752,0.01022,-0.0779,0.3678,0.8915
7.250,1.1093,0.01789,0.01058,-0.0751,0.3548,0.9073
7.500,1.1179,0.01822,0.01090,-0.0717,0.3432,0.9301
7.750,1.1319,0.01849,0.01115,-0.0697,0.3317,1.0000
8.000,1.1575,0.01912,0.01177,-0.0704,0.3188,1.0000
8.250,1.1811,0.01978,0.01238,-0.0707,0.3072,1.0000
8.500,1.2035,0.02050,0.01299,-0.0707,0.2970,1.0000
8.750,1.2238,0.02112,0.01363,-0.0703,0.2869,1.0000
9.000,1.2445,0.02182,0.01429,-0.0698,0.2781,1.0000
9.250,1.2630,0.02250,0.01494,-0.0690,0.2694,1.0000
9.500,1.2821,0.02321,0.01566,-0.0683,0.2614,1.0000
9.750,1.3000,0.02392,0.01635,-0.0674,0.2539,1.0000
10.000,1.3190,0.02468,0.01711,-0.0667,0.2468,1.0000
10.250,1.3350,0.02541,0.01788,-0.0656,0.2397,1.0000
10.500,1.3546,0.02622,0.01864,-0.0650,0.2333,1.0000
10.750,1.3695,0.02700,0.01952,-0.0638,0.2269,1.0000
11.000,1.3871,0.02782,0.02030,-0.0630,0.2210,1.0000
11.250,1.4030,0.02870,0.02126,-0.0619,0.2152,1.0000
11.500,1.4167,0.02958,0.02220,-0.0607,0.2093,1.0000
11.750,1.4376,0.03047,0.02300,-0.0604,0.2037,1.0000
12.000,1.4472,0.03148,0.02419,-0.0588,0.1986,1.0000
12.250,1.4601,0.03246,0.02522,-0.0576,0.1935,1.0000
12.500,1.4793,0.03344,0.02612,-0.0571,0.1883,1.0000
12.750,1.4871,0.03462,0.02751,-0.0555,0.1836,1.0000
13.000,1.4978,0.03574,0.02871,-0.0543,0.1788,1.0000
13.250,1.5167,0.03678,0.02964,-0.0539,0.1738,1.0000
13.500,1.5211,0.03822,0.03131,-0.0523,0.1697,1.0000
13.750,1.5292,0.03955,0.03274,-0.0511,0.1652,1.0000
14.000,1.5423,0.04077,0.03392,-0.0503,0.1607,1.0000
14.250,1.5493,0.04236,0.03567,-0.0492,0.1566,1.0000
14.500,1.5537,0.04403,0.03749,-0.0480,0.1524,1.0000
14.750,1.5605,0.04559,0.03909,-0.0470,0.1484,1.0000
15.000,1.5711,0.04715,0.04066,-0.0464,0.1441,1.0000
15.250,1.5709,0.04932,0.04304,-0.0453,0.1404,1.0000
15.500,1.5737,0.05133,0.04515,-0.0445,0.1363,1.0000
15.750,1.5833,0.05295,0.04671,-0.0441,0.1321,1.0000
16.000,1.5799,0.05569,0.04968,-0.0434,0.1286,1.0000
16.250,1.5781,0.05835,0.05250,-0.0430,0.1247,1.0000
16.500,1.5791,0.06081,0.05499,-0.0427,0.1209,1.0000
16.750,1.5797,0.06349,0.05773,-0.0426,0.1169,1.0000
17.000,1.5739,0.06698,0.06143,-0.0428,0.1132,1.0000
17.250,1.5709,0.07025,0.06480,-0.0431,0.1096,1.0000
17.500,1.5730,0.07293,0.06740,-0.0434,0.1055,1.0000
17.750,1.5635,0.07736,0.07211,-0.0443,0.1024,1.0000
18.000,1.5568,0.08155,0.07645,-0.0455,0.0987,1.0000
18.250,1.5524,0.08546,0.08040,-0.0466,0.0953,1.0000
18.500,1.5465,0.08973,0.08477,-0.0479,0.0920,1.0000
18.750,1.5367,0.09482,0.09008,-0.0499,0.0888,1.0000
