Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-stcyr172-il-200000
Airfoil,stcyr172-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,51.6473
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-stcyr172-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.250,-0.8920,0.10642,0.10187,-0.0270,1.0000,0.0560
-16.000,-0.9447,0.09305,0.08831,-0.0354,1.0000,0.0553
-15.750,-0.9894,0.08240,0.07743,-0.0424,1.0000,0.0549
-15.500,-1.0235,0.07429,0.06910,-0.0474,1.0000,0.0545
-15.250,-1.0531,0.06756,0.06214,-0.0512,1.0000,0.0545
-15.000,-1.0768,0.06219,0.05654,-0.0535,1.0000,0.0545
-14.750,-1.0959,0.05781,0.05194,-0.0547,1.0000,0.0545
-14.500,-1.1138,0.05403,0.04793,-0.0549,1.0000,0.0548
-14.250,-1.1272,0.05096,0.04463,-0.0542,1.0000,0.0550
-14.000,-1.1408,0.04837,0.04180,-0.0526,1.0000,0.0554
-13.750,-1.1514,0.04619,0.03940,-0.0504,1.0000,0.0557
-13.500,-1.1610,0.04442,0.03740,-0.0474,1.0000,0.0560
-13.250,-1.1589,0.04187,0.03468,-0.0455,1.0000,0.0566
-13.000,-1.1400,0.03958,0.03241,-0.0453,1.0000,0.0578
-12.750,-1.1298,0.03801,0.03078,-0.0437,1.0000,0.0587
-12.500,-1.1216,0.03657,0.02924,-0.0417,1.0000,0.0595
-12.250,-1.1131,0.03519,0.02776,-0.0395,1.0000,0.0604
-12.000,-1.1050,0.03394,0.02638,-0.0371,1.0000,0.0614
-11.750,-1.0978,0.03279,0.02510,-0.0344,1.0000,0.0625
-11.500,-1.0891,0.03173,0.02389,-0.0317,1.0000,0.0634
-11.250,-1.0769,0.03059,0.02261,-0.0296,1.0000,0.0642
-11.000,-1.0554,0.02880,0.02088,-0.0292,1.0000,0.0657
-10.750,-1.0400,0.02767,0.01977,-0.0275,1.0000,0.0670
-10.500,-1.0261,0.02669,0.01878,-0.0255,1.0000,0.0685
-10.250,-1.0128,0.02578,0.01783,-0.0233,1.0000,0.0702
-10.000,-0.9991,0.02494,0.01690,-0.0211,1.0000,0.0717
-9.750,-0.9858,0.02399,0.01591,-0.0188,1.0000,0.0733
-9.500,-0.9753,0.02292,0.01491,-0.0162,1.0000,0.0752
-9.250,-0.9633,0.02210,0.01410,-0.0136,1.0000,0.0772
-9.000,-0.9505,0.02137,0.01334,-0.0110,1.0000,0.0798
-8.750,-0.9370,0.02067,0.01259,-0.0085,1.0000,0.0826
-8.500,-0.9265,0.01982,0.01182,-0.0057,1.0000,0.0863
-8.250,-0.9127,0.01918,0.01116,-0.0032,1.0000,0.0911
-8.000,-0.9003,0.01846,0.01052,-0.0005,1.0000,0.0974
-7.750,-0.8871,0.01779,0.00993,0.0021,1.0000,0.1085
-7.500,-0.8736,0.01716,0.00945,0.0047,1.0000,0.1314
-7.250,-0.8587,0.01669,0.00908,0.0070,1.0000,0.1592
-7.000,-0.8434,0.01633,0.00878,0.0093,1.0000,0.1786
-6.750,-0.8267,0.01606,0.00850,0.0113,1.0000,0.1927
-6.500,-0.8090,0.01586,0.00824,0.0133,1.0000,0.2044
-6.250,-0.7921,0.01560,0.00802,0.0153,1.0000,0.2150
-6.000,-0.7744,0.01536,0.00779,0.0171,1.0000,0.2246
-5.750,-0.7558,0.01520,0.00758,0.0189,1.0000,0.2350
-5.500,-0.7382,0.01495,0.00741,0.0208,1.0000,0.2450
-5.250,-0.7197,0.01476,0.00723,0.0225,1.0000,0.2557
-5.000,-0.7010,0.01459,0.00705,0.0242,1.0000,0.2668
-4.750,-0.6829,0.01438,0.00692,0.0260,1.0000,0.2783
-4.500,-0.6645,0.01421,0.00679,0.0277,1.0000,0.2911
-4.250,-0.6460,0.01407,0.00667,0.0294,1.0000,0.3048
-4.000,-0.6277,0.01396,0.00659,0.0310,1.0000,0.3200
-3.750,-0.5882,0.01392,0.00665,0.0284,0.9948,0.3408
-3.500,-0.5463,0.01385,0.00666,0.0255,0.9878,0.3628
-3.250,-0.5018,0.01379,0.00666,0.0220,0.9817,0.3846
-3.000,-0.4626,0.01358,0.00651,0.0197,0.9731,0.4039
-2.750,-0.4211,0.01333,0.00634,0.0170,0.9654,0.4216
-2.500,-0.3783,0.01303,0.00612,0.0141,0.9576,0.4394
-2.250,-0.3397,0.01271,0.00590,0.0121,0.9482,0.4571
-2.000,-0.2936,0.01234,0.00565,0.0087,0.9418,0.4764
-1.750,-0.2557,0.01197,0.00539,0.0070,0.9315,0.4955
-1.500,-0.2064,0.01152,0.00509,0.0031,0.9256,0.5196
