Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-tempest2-il-500000
Airfoil,tempest2-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,71.8951
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-tempest2-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.500,-0.7316,0.06127,0.05845,-0.0610,1.0000,0.0131
-12.250,-0.7580,0.05513,0.05211,-0.0641,1.0000,0.0132
-12.000,-0.7826,0.05030,0.04712,-0.0647,1.0000,0.0131
-11.750,-0.8027,0.04674,0.04339,-0.0634,1.0000,0.0130
-11.500,-0.8240,0.04368,0.04013,-0.0605,1.0000,0.0131
-11.250,-0.8428,0.04142,0.03766,-0.0562,1.0000,0.0132
-11.000,-0.8634,0.03892,0.03501,-0.0508,1.0000,0.0130
-10.750,-0.8838,0.03738,0.03331,-0.0438,1.0000,0.0130
-10.500,-0.8986,0.03566,0.03140,-0.0376,1.0000,0.0131
-10.250,-0.9100,0.03372,0.02926,-0.0319,1.0000,0.0130
-10.000,-0.9159,0.03224,0.02758,-0.0267,1.0000,0.0132
-9.750,-0.9201,0.03064,0.02575,-0.0218,1.0000,0.0133
-9.500,-0.9197,0.02939,0.02431,-0.0174,1.0000,0.0134
-9.250,-0.9175,0.02814,0.02286,-0.0133,1.0000,0.0135
-9.000,-0.9012,0.02506,0.01941,-0.0124,0.9982,0.0139
-8.750,-0.8759,0.02296,0.01711,-0.0130,0.9960,0.0142
-8.500,-0.8469,0.02166,0.01574,-0.0141,0.9940,0.0148
-8.250,-0.8193,0.02078,0.01478,-0.0148,0.9910,0.0156
-8.000,-0.7896,0.01992,0.01384,-0.0157,0.9882,0.0165
-7.750,-0.7589,0.01890,0.01268,-0.0168,0.9858,0.0174
-7.500,-0.7259,0.01814,0.01181,-0.0182,0.9840,0.0181
-7.250,-0.7018,0.01661,0.01018,-0.0181,0.9805,0.0193
-7.000,-0.6751,0.01577,0.00929,-0.0183,0.9763,0.0204
-6.750,-0.6431,0.01514,0.00862,-0.0196,0.9735,0.0220
-6.500,-0.6082,0.01469,0.00810,-0.0213,0.9715,0.0241
-6.250,-0.5762,0.01370,0.00708,-0.0227,0.9698,0.0285
-6.000,-0.5523,0.01328,0.00660,-0.0220,0.9638,0.0317
-5.750,-0.5224,0.01255,0.00590,-0.0227,0.9605,0.0433
-5.500,-0.4900,0.01184,0.00539,-0.0240,0.9583,0.0765
-5.250,-0.4547,0.01136,0.00503,-0.0260,0.9568,0.1053
-5.000,-0.4178,0.01095,0.00470,-0.0282,0.9556,0.1308
-4.750,-0.3951,0.01059,0.00443,-0.0273,0.9489,0.1541
-4.500,-0.3640,0.01012,0.00411,-0.0283,0.9455,0.1910
-4.250,-0.3325,0.00954,0.00377,-0.0295,0.9427,0.2506
-4.000,-0.3102,0.00891,0.00349,-0.0287,0.9369,0.3342
-3.750,-0.2899,0.00822,0.00322,-0.0274,0.9305,0.4394
-3.500,-0.2639,0.00769,0.00299,-0.0271,0.9265,0.5268
-3.250,-0.2459,0.00740,0.00287,-0.0250,0.9179,0.5781
-3.000,-0.2193,0.00710,0.00270,-0.0246,0.9129,0.6260
-2.750,-0.1975,0.00692,0.00261,-0.0232,0.9050,0.6620
-2.500,-0.1715,0.00671,0.00250,-0.0226,0.8989,0.6991
-2.250,-0.1479,0.00658,0.00244,-0.0216,0.8914,0.7305
