Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa22-il-1000000
Airfoil,usa22-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,119.125
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-usa22-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.3178,0.12496,0.12344,-0.0101,1.0000,0.0095
-11.500,-0.3134,0.12209,0.12058,-0.0107,1.0000,0.0096
-7.750,-0.4633,0.02184,0.01904,-0.0700,0.9932,0.0089
-7.500,-0.4324,0.01965,0.01652,-0.0719,0.9889,0.0091
-7.250,-0.4043,0.01492,0.01106,-0.0744,0.9845,0.0098
-7.000,-0.3735,0.01403,0.01005,-0.0753,0.9778,0.0102
-6.750,-0.3405,0.01328,0.00918,-0.0765,0.9709,0.0106
-6.500,-0.3101,0.01251,0.00827,-0.0771,0.9602,0.0111
-6.250,-0.2802,0.01181,0.00742,-0.0775,0.9472,0.0117
-6.000,-0.2520,0.01127,0.00673,-0.0774,0.9310,0.0122
-5.750,-0.2258,0.01061,0.00587,-0.0769,0.9136,0.0127
-5.500,-0.2000,0.00997,0.00509,-0.0763,0.8964,0.0140
-5.250,-0.1733,0.00977,0.00481,-0.0759,0.8788,0.0151
-5.000,-0.1466,0.00951,0.00444,-0.0754,0.8592,0.0162
-4.750,-0.1201,0.00920,0.00396,-0.0749,0.8357,0.0172
-4.500,-0.0939,0.00885,0.00349,-0.0744,0.8063,0.0194
-4.250,-0.0673,0.00879,0.00329,-0.0739,0.7747,0.0214
-4.000,-0.0406,0.00860,0.00295,-0.0734,0.7477,0.0241
-3.500,0.0142,0.00865,0.00283,-0.0729,0.7036,0.0295
-3.250,0.0415,0.00838,0.00248,-0.0727,0.6851,0.0338
-3.000,0.0691,0.00838,0.00242,-0.0725,0.6672,0.0368
-2.750,0.0969,0.00841,0.00236,-0.0723,0.6490,0.0388
-2.500,0.1244,0.00819,0.00203,-0.0721,0.6306,0.0423
-2.250,0.1520,0.00811,0.00189,-0.0719,0.6116,0.0461
-2.000,0.1796,0.00809,0.00177,-0.0717,0.5917,0.0491
-1.750,0.2073,0.00809,0.00169,-0.0716,0.5716,0.0510
-1.500,0.2348,0.00797,0.00147,-0.0714,0.5513,0.0575
-1.250,0.2624,0.00794,0.00136,-0.0712,0.5317,0.0628
-1.000,0.2900,0.00789,0.00125,-0.0710,0.5129,0.0746
-0.750,0.3169,0.00765,0.00119,-0.0709,0.4953,0.1548
-0.500,0.3442,0.00757,0.00119,-0.0708,0.4783,0.2074
-0.250,0.3718,0.00757,0.00122,-0.0707,0.4636,0.2440
0.000,0.3996,0.00761,0.00124,-0.0706,0.4521,0.2656
0.250,0.4275,0.00766,0.00127,-0.0705,0.4433,0.2816
0.750,0.4834,0.00774,0.00133,-0.0704,0.4277,0.3069
1.000,0.5114,0.00777,0.00136,-0.0703,0.4200,0.3187
1.250,0.5393,0.00781,0.00139,-0.0703,0.4136,0.3301
