Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa35b-il-1000000
Airfoil,usa35b-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,125.558
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-usa35b-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.3499,0.08535,0.08368,-0.0390,1.0000,0.0269
-10.250,-0.3457,0.08175,0.08009,-0.0416,0.9978,0.0275
-10.000,-0.4231,0.03455,0.03202,-0.0918,0.9573,0.0298
-9.750,-0.4050,0.03290,0.03029,-0.0919,0.9474,0.0301
-9.500,-0.4101,0.02287,0.01937,-0.0928,0.9339,0.0274
-9.250,-0.3900,0.02084,0.01703,-0.0924,0.9249,0.0278
-9.000,-0.3686,0.01882,0.01469,-0.0920,0.9156,0.0279
-8.750,-0.3454,0.01740,0.01302,-0.0915,0.9067,0.0281
-8.500,-0.3207,0.01626,0.01168,-0.0912,0.8968,0.0283
-8.250,-0.2954,0.01533,0.01056,-0.0908,0.8875,0.0285
-8.000,-0.2695,0.01456,0.00963,-0.0905,0.8773,0.0287
-7.750,-0.2429,0.01394,0.00887,-0.0903,0.8674,0.0290
-7.500,-0.2162,0.01345,0.00824,-0.0900,0.8569,0.0292
-7.250,-0.1887,0.01313,0.00782,-0.0898,0.8454,0.0294
-7.000,-0.1634,0.01186,0.00641,-0.0895,0.8334,0.0301
-6.750,-0.1366,0.01135,0.00583,-0.0892,0.8202,0.0304
-6.500,-0.1095,0.01098,0.00538,-0.0890,0.8059,0.0308
-6.250,-0.0821,0.01064,0.00497,-0.0888,0.7905,0.0311
-6.000,-0.0548,0.01036,0.00459,-0.0886,0.7732,0.0315
-5.750,-0.0274,0.01009,0.00425,-0.0884,0.7531,0.0319
-5.500,0.0000,0.00987,0.00392,-0.0882,0.7300,0.0323
-5.250,0.0271,0.00970,0.00362,-0.0879,0.7060,0.0328
-5.000,0.0545,0.00955,0.00336,-0.0877,0.6817,0.0333
-4.750,0.0820,0.00944,0.00313,-0.0875,0.6595,0.0337
-4.500,0.1097,0.00936,0.00295,-0.0874,0.6419,0.0341
-4.250,0.1374,0.00905,0.00257,-0.0873,0.6287,0.0352
-4.000,0.1655,0.00892,0.00240,-0.0872,0.6181,0.0363
-3.750,0.1938,0.00881,0.00225,-0.0872,0.6089,0.0372
-3.500,0.2223,0.00872,0.00212,-0.0872,0.6012,0.0382
-3.250,0.2508,0.00864,0.00201,-0.0872,0.5934,0.0393
-3.000,0.2792,0.00853,0.00186,-0.0872,0.5863,0.0412
-2.750,0.3079,0.00843,0.00177,-0.0872,0.5798,0.0439
-2.500,0.3363,0.00836,0.00169,-0.0872,0.5734,0.0488
-2.250,0.3649,0.00822,0.00163,-0.0872,0.5677,0.0682
-2.000,0.3935,0.00811,0.00159,-0.0873,0.5614,0.0954
-1.750,0.4217,0.00801,0.00157,-0.0873,0.5552,0.1292
-1.500,0.4502,0.00781,0.00158,-0.0875,0.5503,0.1971
-1.250,0.4786,0.00768,0.00158,-0.0876,0.5447,0.2488
-1.000,0.5063,0.00739,0.00161,-0.0877,0.5388,0.3744
-0.750,0.5340,0.00702,0.00166,-0.0878,0.5335,0.5285
-0.500,0.5598,0.00649,0.00174,-0.0874,0.5278,0.7411
-0.250,0.5797,0.00606,0.00184,-0.0851,0.5224,0.9588
0.000,0.6198,0.00608,0.00183,-0.0876,0.5155,1.0000
0.250,0.6475,0.00618,0.00186,-0.0874,0.5062,1.0000
0.500,0.6755,0.00625,0.00189,-0.0873,0.4964,1.0000
0.750,0.7031,0.00636,0.00193,-0.0872,0.4868,1.0000
1.000,0.7312,0.00644,0.00197,-0.0871,0.4772,1.0000
1.250,0.7590,0.00655,0.00202,-0.0870,0.4680,1.0000
1.500,0.7870,0.00665,0.00208,-0.0869,0.4586,1.0000
1.750,0.8148,0.00676,0.00215,-0.0868,0.4490,1.0000
2.000,0.8423,0.00690,0.00223,-0.0867,0.4377,1.0000
2.250,0.8700,0.00703,0.00232,-0.0866,0.4251,1.0000
2.500,0.8974,0.00719,0.00241,-0.0864,0.4112,1.0000
2.750,0.9245,0.00737,0.00253,-0.0862,0.3961,1.0000
3.000,0.9513,0.00758,0.00266,-0.0860,0.3805,1.0000
