Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ah93157-il-50000
Airfoil,ah93157-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,4.66261
Max Cl/Cd alpha,11
Url,http://airfoiltools.com/polar/csv?polar=xf-ah93157-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4510,0.12207,0.11662,-0.0142,1.0000,0.2920
-8.250,-0.4385,0.11858,0.11313,-0.0122,1.0000,0.3012
-8.000,-0.4895,0.11893,0.11365,-0.0101,1.0000,0.3097
-7.750,-0.4691,0.11522,0.10992,-0.0079,1.0000,0.3244
-7.500,-0.4616,0.11220,0.10691,-0.0058,1.0000,0.3367
-7.250,-0.4674,0.10999,0.10475,-0.0032,1.0000,0.3525
-6.750,-0.4827,0.10602,0.10088,0.0027,1.0000,0.3882
-6.500,-0.5015,0.10454,0.09948,0.0065,1.0000,0.4074
-6.250,-0.5311,0.10343,0.09848,0.0112,1.0000,0.4257
-6.000,-0.5084,0.10061,0.09564,0.0141,1.0000,0.4579
-5.000,-0.6459,0.06475,0.05787,-0.0128,1.0000,0.1641
-4.750,-0.6325,0.06119,0.05411,-0.0119,1.0000,0.1581
-4.500,-0.6184,0.05657,0.04873,-0.0116,1.0000,0.1491
-4.250,-0.6014,0.05358,0.04516,-0.0107,1.0000,0.1454
-4.000,-0.5842,0.05077,0.04198,-0.0098,1.0000,0.1439
-3.750,-0.5657,0.04847,0.03917,-0.0089,1.0000,0.1446
-3.500,-0.5464,0.04651,0.03665,-0.0080,1.0000,0.1476
-3.250,-0.5278,0.04470,0.03475,-0.0073,1.0000,0.1510
-3.000,-0.5078,0.04331,0.03312,-0.0064,1.0000,0.1558
-2.750,-0.4867,0.04232,0.03159,-0.0055,1.0000,0.1629
-2.500,-0.4669,0.04108,0.03042,-0.0048,1.0000,0.1706
-2.250,-0.4461,0.04026,0.02939,-0.0040,1.0000,0.1820
-2.000,-0.4247,0.03963,0.02864,-0.0032,1.0000,0.1960
-1.750,-0.4031,0.03914,0.02827,-0.0024,1.0000,0.2153
-1.500,-0.2309,0.04109,0.03349,-0.0201,1.0000,1.0000
-1.250,-0.2222,0.04130,0.03333,-0.0181,1.0000,1.0000
-1.000,-0.2138,0.04153,0.03325,-0.0161,1.0000,1.0000
-0.750,-0.2053,0.04178,0.03324,-0.0142,1.0000,1.0000
-0.500,-0.1969,0.04206,0.03328,-0.0123,1.0000,1.0000
-0.250,-0.1883,0.04237,0.03338,-0.0105,1.0000,1.0000
0.000,-0.1797,0.04270,0.03351,-0.0087,1.0000,1.0000
0.250,-0.1709,0.04306,0.03368,-0.0069,1.0000,1.0000
0.500,-0.1619,0.04346,0.03390,-0.0053,1.0000,1.0000
0.750,-0.1528,0.04388,0.03416,-0.0036,1.0000,1.0000
1.000,-0.1435,0.04434,0.03447,-0.0021,1.0000,1.0000
1.250,-0.1341,0.04483,0.03482,-0.0006,1.0000,1.0000
1.500,-0.1243,0.04537,0.03523,0.0008,1.0000,1.0000
1.750,-0.1141,0.04596,0.03570,0.0020,1.0000,1.0000
2.000,-0.1024,0.04667,0.03628,0.0029,0.9996,1.0000
2.250,-0.0684,0.04886,0.03831,-0.0007,0.9892,1.0000
2.500,-0.0365,0.05094,0.04025,-0.0038,0.9766,1.0000
2.750,-0.0074,0.05283,0.04202,-0.0063,0.9630,1.0000
3.000,0.0187,0.05458,0.04367,-0.0081,0.9498,1.0000
3.250,0.0444,0.05638,0.04538,-0.0098,0.9367,1.0000
3.500,0.0733,0.05870,0.04760,-0.0120,0.9250,1.0000
3.750,0.1006,0.06068,0.04951,-0.0139,0.9110,1.0000
4.000,0.1188,0.06177,0.05055,-0.0142,0.8967,1.0000
4.250,0.1348,0.06290,0.05164,-0.0141,0.8836,1.0000
4.500,0.1525,0.06438,0.05309,-0.0144,0.8714,1.0000
4.750,0.1776,0.06666,0.05533,-0.0159,0.8612,1.0000
5.000,0.2033,0.06871,0.05735,-0.0173,0.8483,1.0000
5.250,0.2141,0.06958,0.05821,-0.0166,0.8352,1.0000
5.500,0.2276,0.07104,0.05967,-0.0163,0.8246,1.0000
5.750,0.2583,0.07401,0.06262,-0.0187,0.8150,1.0000
6.000,0.2714,0.07509,0.06372,-0.0183,0.8018,1.0000
6.250,0.2795,0.07627,0.06492,-0.0174,0.7911,1.0000
6.500,0.3062,0.07910,0.06776,-0.0192,0.7824,1.0000
6.750,0.3209,0.08052,0.06921,-0.0192,0.7698,1.0000
7.000,0.3275,0.08184,0.07056,-0.0184,0.7597,1.0000
7.250,0.3579,0.08509,0.07384,-0.0207,0.7509,1.0000
7.500,0.3647,0.08608,0.07488,-0.0198,0.7387,1.0000
7.750,0.3731,0.08784,0.07668,-0.0195,0.7299,1.0000
8.000,0.4083,0.09147,0.08037,-0.0222,0.7200,1.0000
8.250,0.4045,0.09199,0.08094,-0.0205,0.7089,1.0000
8.500,0.4180,0.09438,0.08340,-0.0209,0.7011,1.0000
8.750,0.4463,0.09738,0.08648,-0.0227,0.6897,1.0000
9.000,0.4430,0.09842,0.08757,-0.0214,0.6797,1.0000
9.250,0.4627,0.10140,0.09062,-0.0226,0.6721,1.0000
9.500,0.4825,0.10381,0.09314,-0.0234,0.6597,1.0000
9.750,0.4803,0.10530,0.09469,-0.0226,0.6504,1.0000
10.000,0.5031,0.10860,0.09808,-0.0240,0.6423,1.0000
10.250,0.5158,0.11068,0.10025,-0.0244,0.6300,1.0000
10.500,0.5158,0.11265,0.10229,-0.0240,0.6216,1.0000
10.750,0.5402,0.11614,0.10591,-0.0256,0.6122,1.0000
11.000,0.5514,0.11826,0.10813,-0.0259,0.5996,1.0000
11.250,0.5501,0.12028,0.11022,-0.0256,0.5907,1.0000
11.500,0.5703,0.12368,0.11374,-0.0269,0.5812,1.0000
11.750,0.5896,0.12658,0.11677,-0.0278,0.5683,1.0000
