Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-amsoil1-il-500000
Airfoil,amsoil1-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,86.1781
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-amsoil1-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,-0.5208,0.13101,0.12851,-0.0053,1.0000,0.0341
-11.750,-0.5182,0.12685,0.12435,-0.0074,1.0000,0.0353
-10.250,-0.8329,0.03333,0.02922,-0.0557,0.9999,0.0310
-10.000,-0.8176,0.02895,0.02417,-0.0572,0.9893,0.0317
-9.750,-0.7952,0.02604,0.02089,-0.0584,0.9815,0.0324
-9.500,-0.7672,0.02514,0.01996,-0.0593,0.9735,0.0330
-9.250,-0.7414,0.02454,0.01932,-0.0594,0.9644,0.0337
-9.000,-0.7185,0.02377,0.01844,-0.0589,0.9556,0.0344
-8.750,-0.6984,0.02263,0.01709,-0.0579,0.9462,0.0352
-8.500,-0.6776,0.02150,0.01572,-0.0569,0.9378,0.0359
-8.250,-0.6557,0.02068,0.01465,-0.0559,0.9300,0.0365
-8.000,-0.6338,0.01929,0.01314,-0.0552,0.9232,0.0373
-7.750,-0.6094,0.01875,0.01259,-0.0547,0.9164,0.0381
-7.500,-0.5854,0.01827,0.01202,-0.0540,0.9105,0.0390
-7.250,-0.5596,0.01764,0.01130,-0.0538,0.9040,0.0399
-7.000,-0.5343,0.01702,0.01056,-0.0533,0.8981,0.0408
-6.750,-0.5089,0.01653,0.00992,-0.0528,0.8929,0.0416
-6.500,-0.4832,0.01560,0.00896,-0.0526,0.8872,0.0427
-6.250,-0.4569,0.01518,0.00854,-0.0523,0.8816,0.0438
-6.000,-0.4308,0.01481,0.00810,-0.0519,0.8766,0.0450
-5.750,-0.4036,0.01438,0.00762,-0.0518,0.8716,0.0462
-5.500,-0.3763,0.01401,0.00718,-0.0517,0.8662,0.0473
-5.250,-0.3505,0.01336,0.00652,-0.0513,0.8613,0.0488
-5.000,-0.3235,0.01307,0.00623,-0.0511,0.8567,0.0504
-4.750,-0.2956,0.01277,0.00592,-0.0511,0.8515,0.0522
-4.500,-0.2679,0.01250,0.00559,-0.0510,0.8465,0.0538
-4.250,-0.2415,0.01201,0.00510,-0.0508,0.8420,0.0560
