Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-arad10-il-500000
Airfoil,arad10-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,82.1458
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-arad10-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.3006,0.08271,0.08055,-0.0326,1.0000,0.0312
-8.500,-0.2959,0.08018,0.07804,-0.0321,1.0000,0.0314
-8.250,-0.2942,0.07774,0.07564,-0.0313,1.0000,0.0317
-8.000,-0.5244,0.02866,0.02497,-0.0658,1.0000,0.0209
-7.750,-0.5066,0.02469,0.02043,-0.0664,0.9996,0.0214
-7.500,-0.4734,0.02180,0.01704,-0.0689,0.9979,0.0219
-7.250,-0.4388,0.01983,0.01468,-0.0710,0.9961,0.0223
-7.000,-0.4033,0.01837,0.01290,-0.0730,0.9945,0.0227
-6.750,-0.3688,0.01693,0.01135,-0.0748,0.9926,0.0234
-6.500,-0.3336,0.01616,0.01052,-0.0765,0.9900,0.0241
-6.250,-0.2975,0.01541,0.00967,-0.0782,0.9877,0.0250
-6.000,-0.2605,0.01468,0.00880,-0.0801,0.9858,0.0261
-5.750,-0.2233,0.01381,0.00785,-0.0822,0.9842,0.0274
-5.500,-0.1873,0.01337,0.00742,-0.0838,0.9812,0.0291
-5.250,-0.1530,0.01288,0.00684,-0.0850,0.9762,0.0312
-5.000,-0.1183,0.01240,0.00639,-0.0863,0.9718,0.0337
-4.750,-0.0871,0.01195,0.00590,-0.0868,0.9644,0.0369
-4.500,-0.0565,0.01171,0.00564,-0.0871,0.9570,0.0407
-4.250,-0.0289,0.01139,0.00533,-0.0867,0.9468,0.0449
-4.000,-0.0015,0.01115,0.00507,-0.0862,0.9374,0.0497
-3.750,0.0253,0.01102,0.00492,-0.0856,0.9264,0.0543
-3.500,0.0525,0.01076,0.00467,-0.0851,0.9153,0.0592
-3.250,0.0796,0.01067,0.00452,-0.0845,0.9043,0.0637
-3.000,0.1070,0.01045,0.00432,-0.0841,0.8925,0.0699
-2.750,0.1348,0.01028,0.00413,-0.0838,0.8796,0.0764
-2.500,0.1624,0.01017,0.00399,-0.0834,0.8643,0.0829
-2.250,0.1898,0.01000,0.00379,-0.0829,0.8454,0.0907
-2.000,0.2175,0.00991,0.00362,-0.0824,0.8260,0.0992
-1.750,0.2458,0.00984,0.00351,-0.0822,0.8083,0.1090
-1.500,0.2742,0.00975,0.00339,-0.0821,0.7908,0.1201
-1.250,0.3028,0.00969,0.00329,-0.0819,0.7733,0.1311
-0.750,0.3603,0.00963,0.00315,-0.0819,0.7396,0.1555
-0.250,0.4179,0.00957,0.00305,-0.0819,0.7047,0.1851
0.000,0.4468,0.00955,0.00302,-0.0819,0.6876,0.2049
0.250,0.4757,0.00950,0.00300,-0.0820,0.6701,0.2342
0.500,0.5045,0.00935,0.00300,-0.0822,0.6513,0.3011
0.750,0.5242,0.00744,0.00288,-0.0803,0.6338,1.0000
1.000,0.5530,0.00758,0.00288,-0.0803,0.6146,1.0000
1.250,0.5816,0.00774,0.00290,-0.0803,0.5938,1.0000
1.500,0.6101,0.00793,0.00294,-0.0803,0.5712,1.0000
1.750,0.6386,0.00811,0.00299,-0.0803,0.5474,1.0000
2.000,0.6668,0.00832,0.00305,-0.0803,0.5221,1.0000
2.250,0.6950,0.00855,0.00314,-0.0803,0.4931,1.0000
2.500,0.7228,0.00883,0.00324,-0.0802,0.4606,1.0000
2.750,0.7505,0.00915,0.00337,-0.0802,0.4261,1.0000
3.000,0.7778,0.00952,0.00353,-0.0801,0.3879,1.0000
3.250,0.8049,0.00992,0.00372,-0.0801,0.3485,1.0000
3.500,0.8320,0.01033,0.00393,-0.0800,0.3152,1.0000
4.000,0.8865,0.01106,0.00437,-0.0799,0.2688,1.0000
4.250,0.9138,0.01139,0.00459,-0.0799,0.2527,1.0000
4.500,0.9410,0.01172,0.00483,-0.0798,0.2392,1.0000
4.750,0.9684,0.01201,0.00506,-0.0798,0.2276,1.0000
5.000,0.9957,0.01229,0.00529,-0.0797,0.2179,1.0000
5.250,1.0225,0.01264,0.00556,-0.0796,0.2089,1.0000
5.500,1.0499,0.01287,0.00580,-0.0795,0.2017,1.0000
5.750,1.0763,0.01323,0.00609,-0.0794,0.1940,1.0000
6.000,1.1035,0.01348,0.00634,-0.0793,0.1878,1.0000
6.250,1.1300,0.01380,0.00663,-0.0791,0.1817,1.0000
6.500,1.1561,0.01415,0.00696,-0.0789,0.1759,1.0000
6.750,1.1829,0.01440,0.00722,-0.0787,0.1705,1.0000
7.000,1.2085,0.01479,0.00757,-0.0785,0.1648,1.0000
7.250,1.2343,0.01512,0.00791,-0.0782,0.1602,1.0000
7.500,1.2605,0.01540,0.00821,-0.0780,0.1553,1.0000
7.750,1.2852,0.01582,0.00859,-0.0776,0.1501,1.0000
8.000,1.3104,0.01618,0.00898,-0.0772,0.1460,1.0000
8.250,1.3360,0.01647,0.00930,-0.0769,0.1417,1.0000
8.500,1.3602,0.01689,0.00970,-0.0765,0.1370,1.0000
8.750,1.3838,0.01736,0.01018,-0.0759,0.1329,1.0000
9.000,1.4087,0.01765,0.01053,-0.0755,0.1293,1.0000
9.250,1.4324,0.01806,0.01094,-0.0749,0.1251,1.0000
9.500,1.4535,0.01869,0.01153,-0.0740,0.1207,1.0000
9.750,1.4777,0.01899,0.01192,-0.0735,0.1178,1.0000
10.000,1.5006,0.01938,0.01235,-0.0729,0.1142,1.0000
10.250,1.5212,0.01994,0.01289,-0.0719,0.1104,1.0000
10.500,1.5413,0.02052,0.01351,-0.0708,0.1072,1.0000
10.750,1.5631,0.02091,0.01398,-0.0699,0.1042,1.0000
11.000,1.5830,0.02141,0.01451,-0.0688,0.1011,1.0000
11.250,1.5992,0.02216,0.01524,-0.0672,0.0978,1.0000
11.500,1.6169,0.02276,0.01591,-0.0658,0.0952,1.0000
