Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bacxxx-il-200000
Airfoil,bacxxx-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,58.4226
Max Cl/Cd alpha,2.75
Url,http://airfoiltools.com/polar/csv?polar=xf-bacxxx-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.4973,0.10341,0.09977,-0.0406,1.0000,0.0364
-10.250,-0.5067,0.09821,0.09457,-0.0446,1.0000,0.0365
-8.500,-0.6184,0.07216,0.06845,-0.0380,1.0000,0.0378
-8.250,-0.6181,0.06901,0.06536,-0.0362,1.0000,0.0386
-8.000,-0.6235,0.06636,0.06269,-0.0337,1.0000,0.0393
-7.750,-0.6290,0.06372,0.05998,-0.0312,1.0000,0.0400
-7.500,-0.6331,0.06106,0.05723,-0.0287,1.0000,0.0408
-7.250,-0.6354,0.05838,0.05443,-0.0262,1.0000,0.0420
-7.000,-0.6355,0.05570,0.05160,-0.0237,1.0000,0.0435
-6.750,-0.6327,0.05333,0.04899,-0.0211,1.0000,0.0458
-6.500,-0.6270,0.05547,0.05047,-0.0166,1.0000,0.0486
-6.250,-0.6275,0.04799,0.04286,-0.0154,1.0000,0.0501
-6.000,-0.6160,0.04438,0.03931,-0.0144,1.0000,0.0516
-5.750,-0.6034,0.04191,0.03677,-0.0130,1.0000,0.0537
-5.500,-0.5894,0.03991,0.03457,-0.0114,1.0000,0.0574
-3.750,-0.4337,0.02394,0.01619,-0.0012,1.0000,0.0381
-3.500,-0.4086,0.02258,0.01468,-0.0005,1.0000,0.0380
-3.250,-0.3850,0.02245,0.01442,0.0007,1.0000,0.0367
-3.000,-0.3582,0.02027,0.01220,0.0011,1.0000,0.0353
-2.750,-0.3283,0.01907,0.01096,0.0008,0.9990,0.0348
-2.500,-0.2842,0.01808,0.00995,-0.0024,0.9951,0.0353
-2.250,-0.2405,0.01723,0.00906,-0.0057,0.9894,0.0369
-2.000,-0.1956,0.01630,0.00810,-0.0095,0.9839,0.0444
-1.750,-0.1604,0.01323,0.00737,-0.0121,0.9805,0.6201
-1.500,-0.1235,0.01318,0.00768,-0.0132,0.9743,0.7284
-1.250,-0.0878,0.01321,0.00783,-0.0141,0.9670,0.7771
-1.000,-0.0554,0.01318,0.00787,-0.0144,0.9590,0.8097
-0.750,-0.0147,0.01312,0.00779,-0.0169,0.9534,0.8277
-0.500,0.0160,0.01301,0.00768,-0.0173,0.9453,0.8447
-0.250,0.0552,0.01290,0.00757,-0.0193,0.9397,0.8628
0.000,0.0848,0.01277,0.00749,-0.0193,0.9313,0.8823
0.250,0.1247,0.01260,0.00733,-0.0212,0.9255,0.9024
0.500,0.1604,0.01246,0.00720,-0.0223,0.9172,0.9238
0.750,0.2107,0.01219,0.00693,-0.0264,0.9114,0.9393
1.000,0.2590,0.01190,0.00665,-0.0301,0.9033,0.9533
1.250,0.3111,0.01148,0.00623,-0.0344,0.8961,0.9638
1.500,0.3601,0.01112,0.00589,-0.0382,0.8846,0.9724
1.750,0.4102,0.01071,0.00549,-0.0423,0.8701,0.9793
2.000,0.4585,0.01031,0.00511,-0.0460,0.8476,0.9868
2.250,0.5071,0.00995,0.00470,-0.0498,0.8123,0.9933
2.500,0.5541,0.00970,0.00426,-0.0532,0.7443,0.9991
2.750,0.5778,0.00989,0.00396,-0.0520,0.6461,1.0000
