Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-be50-il-100000
Airfoil,be50-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,59.6925
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-be50-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.3677,0.09510,0.09029,-0.0205,1.0000,0.0823
-8.000,-0.3729,0.09346,0.08875,-0.0227,1.0000,0.0851
-7.750,-0.3750,0.09229,0.08768,-0.0336,1.0000,0.0865
-7.500,-0.3700,0.08713,0.08258,-0.0286,1.0000,0.0880
-7.250,-0.3615,0.08385,0.07933,-0.0243,1.0000,0.0909
-7.000,-0.3558,0.08113,0.07664,-0.0247,1.0000,0.0947
-6.750,-0.3393,0.07793,0.07339,-0.0436,1.0000,0.1009
-6.500,-0.3422,0.07448,0.07008,-0.0319,1.0000,0.1033
-6.250,-0.3345,0.07200,0.06763,-0.0301,1.0000,0.1090
-6.000,-0.3154,0.06754,0.06311,-0.0400,1.0000,0.1163
-5.750,-0.3096,0.06506,0.06069,-0.0360,1.0000,0.1196
-5.500,-0.2827,0.06059,0.05608,-0.0454,1.0000,0.1305
-5.250,-0.2761,0.05824,0.05379,-0.0416,1.0000,0.1341
-5.000,-0.2499,0.05423,0.04966,-0.0478,1.0000,0.1459
-4.750,-0.2274,0.05111,0.04645,-0.0509,1.0000,0.1599
-4.500,-0.2074,0.04838,0.04366,-0.0523,1.0000,0.1746
-4.250,-0.1853,0.04564,0.04084,-0.0541,1.0000,0.1892
-4.000,-0.1639,0.04311,0.03826,-0.0552,1.0000,0.2042
-3.750,-0.0652,0.02966,0.02291,-0.0739,1.0000,0.0988
-3.500,-0.0327,0.02692,0.01977,-0.0757,1.0000,0.0968
-3.250,0.0043,0.02409,0.01632,-0.0778,1.0000,0.0911
-3.000,0.0391,0.02224,0.01386,-0.0790,1.0000,0.0885
-2.750,0.0692,0.02102,0.01240,-0.0797,1.0000,0.0893
-2.500,0.0974,0.02018,0.01143,-0.0802,1.0000,0.0922
-2.250,0.1237,0.01977,0.01090,-0.0805,1.0000,0.0991
-2.000,0.1517,0.01913,0.01029,-0.0811,1.0000,0.1051
-1.750,0.2022,0.01830,0.00955,-0.0856,0.9940,0.1211
-1.500,0.2554,0.01644,0.00882,-0.0909,0.9884,0.3479
-1.250,0.2922,0.01477,0.00868,-0.0918,0.9778,1.0000
-1.000,0.3431,0.01490,0.00844,-0.0964,0.9653,1.0000
-0.750,0.3917,0.01496,0.00824,-0.1004,0.9535,1.0000
-0.500,0.4380,0.01495,0.00806,-0.1040,0.9418,1.0000
-0.250,0.4807,0.01489,0.00787,-0.1066,0.9286,1.0000
0.000,0.5206,0.01477,0.00766,-0.1086,0.9150,1.0000
0.250,0.5583,0.01459,0.00741,-0.1099,0.9008,1.0000
0.500,0.5941,0.01437,0.00714,-0.1106,0.8859,1.0000
0.750,0.6282,0.01412,0.00684,-0.1109,0.8703,1.0000
1.000,0.6571,0.01397,0.00665,-0.1102,0.8504,1.0000
1.250,0.6873,0.01376,0.00640,-0.1096,0.8309,1.0000
1.500,0.7156,0.01363,0.00624,-0.1086,0.8089,1.0000
1.750,0.7434,0.01355,0.00607,-0.1075,0.7852,1.0000
2.000,0.7694,0.01359,0.00602,-0.1062,0.7575,1.0000
2.250,0.7950,0.01372,0.00605,-0.1048,0.7276,1.0000
2.500,0.8197,0.01393,0.00615,-0.1034,0.6940,1.0000
2.750,0.8443,0.01421,0.00629,-0.1021,0.6582,1.0000
