Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-bqm34-il-200000
Airfoil,bqm34-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,48.2381
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-bqm34-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.6171,0.07999,0.07656,-0.0175,1.0000,0.0586
-10.500,-0.8657,0.05794,0.05345,-0.0306,1.0000,0.0369
-10.250,-0.8792,0.05381,0.04916,-0.0288,1.0000,0.0365
-10.000,-0.8904,0.04997,0.04503,-0.0266,1.0000,0.0365
-9.750,-0.8962,0.04586,0.04061,-0.0245,1.0000,0.0362
-9.500,-0.8977,0.04192,0.03631,-0.0223,1.0000,0.0360
-9.250,-0.8946,0.03822,0.03220,-0.0201,1.0000,0.0360
-9.000,-0.8866,0.03502,0.02859,-0.0180,1.0000,0.0362
-8.750,-0.8747,0.03241,0.02556,-0.0160,1.0000,0.0367
-8.500,-0.8594,0.03061,0.02336,-0.0142,1.0000,0.0373
-8.250,-0.8431,0.02726,0.01986,-0.0132,1.0000,0.0391
-8.000,-0.8231,0.02610,0.01864,-0.0122,1.0000,0.0412
-7.750,-0.8025,0.02482,0.01719,-0.0110,1.0000,0.0435
-7.500,-0.7812,0.02351,0.01564,-0.0097,1.0000,0.0455
-7.250,-0.7605,0.02158,0.01362,-0.0086,1.0000,0.0481
-7.000,-0.7394,0.02070,0.01274,-0.0076,1.0000,0.0518
-6.750,-0.7175,0.01985,0.01177,-0.0064,1.0000,0.0555
-6.500,-0.6979,0.01847,0.01041,-0.0050,1.0000,0.0598
-6.250,-0.6770,0.01778,0.00971,-0.0038,1.0000,0.0655
-6.000,-0.6579,0.01674,0.00867,-0.0022,1.0000,0.0713
-5.750,-0.6375,0.01611,0.00802,-0.0008,1.0000,0.0793
-5.500,-0.6189,0.01527,0.00726,0.0007,1.0000,0.0894
-5.250,-0.5999,0.01453,0.00659,0.0023,1.0000,0.1034
-5.000,-0.5814,0.01380,0.00595,0.0040,1.0000,0.1242
-4.750,-0.5637,0.01303,0.00541,0.0056,1.0000,0.1575
-4.500,-0.5465,0.01226,0.00494,0.0073,1.0000,0.2103
-4.250,-0.5301,0.01151,0.00457,0.0091,1.0000,0.2825
-4.000,-0.5144,0.01084,0.00429,0.0111,1.0000,0.3657
-3.750,-0.4985,0.01033,0.00415,0.0132,1.0000,0.4476
-3.500,-0.4819,0.01000,0.00409,0.0153,1.0000,0.5157
-3.250,-0.4645,0.00982,0.00410,0.0173,1.0000,0.5703
-3.000,-0.4471,0.00972,0.00415,0.0193,1.0000,0.6148
-2.750,-0.4299,0.00969,0.00421,0.0213,1.0000,0.6522
-2.500,-0.4016,0.00970,0.00432,0.0211,0.9966,0.6890
-2.250,-0.3611,0.00973,0.00440,0.0185,0.9887,0.7246
-2.000,-0.3204,0.00974,0.00446,0.0160,0.9812,0.7549
-1.750,-0.2807,0.00971,0.00450,0.0139,0.9730,0.7812
-1.500,-0.2421,0.00968,0.00452,0.0120,0.9647,0.8053
-1.250,-0.2002,0.00965,0.00453,0.0095,0.9579,0.8276
-1.000,-0.1617,0.00962,0.00454,0.0077,0.9494,0.8490
-0.750,-0.1187,0.00960,0.00456,0.0053,0.9429,0.8677
-0.500,-0.0806,0.00959,0.00458,0.0038,0.9332,0.8851
-0.250,-0.0372,0.00957,0.00457,0.0013,0.9256,0.8996
0.000,0.0000,0.00957,0.00457,0.0000,0.9130,0.9130
0.250,0.0373,0.00957,0.00457,-0.0013,0.8995,0.9256
0.500,0.0806,0.00959,0.00458,-0.0038,0.8851,0.9332
0.750,0.1187,0.00960,0.00456,-0.0052,0.8678,0.9429
1.000,0.1617,0.00962,0.00454,-0.0077,0.8489,0.9494
1.250,0.2002,0.00965,0.00453,-0.0095,0.8274,0.9579
1.500,0.2420,0.00968,0.00452,-0.0119,0.8054,0.9647
1.750,0.2807,0.00971,0.00450,-0.0139,0.7811,0.9730
2.000,0.3204,0.00974,0.00446,-0.0160,0.7551,0.9812
2.250,0.3611,0.00973,0.00440,-0.0185,0.7245,0.9887
2.500,0.4017,0.00970,0.00431,-0.0211,0.6884,0.9967
2.750,0.4297,0.00969,0.00421,-0.0212,0.6518,1.0000
3.000,0.4470,0.00972,0.00414,-0.0193,0.6148,1.0000
3.250,0.4644,0.00982,0.00410,-0.0173,0.5706,1.0000
3.500,0.4817,0.01000,0.00409,-0.0152,0.5155,1.0000
3.750,0.4983,0.01033,0.00415,-0.0131,0.4477,1.0000
4.000,0.5143,0.01084,0.00429,-0.0111,0.3659,1.0000
4.250,0.5300,0.01151,0.00457,-0.0091,0.2826,1.0000
4.500,0.5463,0.01226,0.00494,-0.0073,0.2105,1.0000
4.750,0.5635,0.01302,0.00540,-0.0056,0.1575,1.0000
5.000,0.5813,0.01379,0.00595,-0.0039,0.1243,1.0000
5.250,0.5998,0.01453,0.00658,-0.0023,0.1034,1.0000
5.500,0.6188,0.01527,0.00726,-0.0007,0.0895,1.0000
5.750,0.6374,0.01611,0.00802,0.0009,0.0793,1.0000
6.000,0.6579,0.01674,0.00867,0.0022,0.0714,1.0000
6.250,0.6769,0.01778,0.00971,0.0038,0.0654,1.0000
6.500,0.6978,0.01847,0.01041,0.0051,0.0597,1.0000
6.750,0.7175,0.01986,0.01178,0.0064,0.0555,1.0000
7.000,0.7394,0.02070,0.01274,0.0076,0.0517,1.0000
7.250,0.7604,0.02158,0.01361,0.0086,0.0480,1.0000
7.500,0.7812,0.02352,0.01564,0.0097,0.0455,1.0000
7.750,0.8025,0.02481,0.01718,0.0110,0.0435,1.0000
8.000,0.8231,0.02608,0.01862,0.0122,0.0411,1.0000
8.250,0.8432,0.02725,0.01984,0.0132,0.0390,1.0000
8.500,0.8595,0.03053,0.02328,0.0142,0.0373,1.0000
8.750,0.8747,0.03242,0.02557,0.0160,0.0367,1.0000
9.000,0.8867,0.03504,0.02861,0.0180,0.0362,1.0000
9.250,0.8947,0.03823,0.03222,0.0201,0.0360,1.0000
9.500,0.8979,0.04193,0.03632,0.0223,0.0361,1.0000
9.750,0.8965,0.04591,0.04066,0.0244,0.0363,1.0000
10.000,0.8906,0.04995,0.04501,0.0266,0.0365,1.0000
10.250,0.8802,0.05389,0.04922,0.0286,0.0366,1.0000
10.500,0.8662,0.05782,0.05333,0.0306,0.0369,1.0000
10.750,0.8612,0.06183,0.05742,0.0318,0.0375,1.0000
11.000,0.8413,0.06501,0.06077,0.0329,0.0376,1.0000
11.250,0.6808,0.10439,0.10069,0.0069,0.0693,1.0000
11.500,0.6864,0.10894,0.10523,0.0089,0.0681,1.0000
