Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c141b-il-1000000
Airfoil,c141b-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,77.7064
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-c141b-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-0.4135,0.18167,0.17995,-0.0194,1.0000,0.0150
-19.500,-0.4092,0.17961,0.17789,-0.0205,1.0000,0.0154
-19.250,-0.8677,0.14094,0.13871,-0.0250,1.0000,0.0142
-18.750,-0.9536,0.11477,0.11223,-0.0391,1.0000,0.0141
-18.500,-0.9922,0.10353,0.10084,-0.0452,1.0000,0.0141
-18.250,-1.0275,0.09313,0.09030,-0.0509,1.0000,0.0141
-18.000,-1.0590,0.08362,0.08063,-0.0563,1.0000,0.0140
-17.750,-1.0856,0.07503,0.07189,-0.0613,1.0000,0.0140
-17.500,-1.1077,0.06749,0.06419,-0.0657,1.0000,0.0140
-17.250,-1.1247,0.06106,0.05762,-0.0695,1.0000,0.0140
-17.000,-1.1379,0.05561,0.05203,-0.0725,1.0000,0.0141
-16.750,-1.1475,0.05100,0.04728,-0.0748,1.0000,0.0141
-16.500,-1.1557,0.04687,0.04302,-0.0765,1.0000,0.0142
-16.250,-1.1716,0.04224,0.03823,-0.0778,1.0000,0.0143
-16.000,-1.1823,0.03854,0.03439,-0.0782,1.0000,0.0144
-15.750,-1.1888,0.03555,0.03129,-0.0780,1.0000,0.0146
-15.500,-1.1913,0.03318,0.02882,-0.0774,1.0000,0.0147
-15.250,-1.1911,0.03125,0.02680,-0.0763,1.0000,0.0149
-15.000,-1.1894,0.02966,0.02514,-0.0748,1.0000,0.0150
-14.750,-1.1875,0.02833,0.02373,-0.0728,1.0000,0.0152
-14.500,-1.1869,0.02721,0.02254,-0.0701,1.0000,0.0153
-14.250,-1.1883,0.02627,0.02154,-0.0666,1.0000,0.0155
-14.000,-1.1940,0.02550,0.02072,-0.0620,1.0000,0.0156
-13.750,-1.2044,0.02491,0.02006,-0.0561,1.0000,0.0158
-13.500,-1.2047,0.02424,0.01933,-0.0522,0.9995,0.0159
-13.250,-1.1843,0.02337,0.01837,-0.0522,0.9979,0.0162
-13.000,-1.1623,0.02260,0.01751,-0.0523,0.9962,0.0166
-12.750,-1.1379,0.02191,0.01675,-0.0527,0.9949,0.0169
