Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c141d-il-1000000
Airfoil,c141d-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,83.5556
Max Cl/Cd alpha,2.25
Url,http://airfoiltools.com/polar/csv?polar=xf-c141d-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.250,-0.9053,0.06192,0.05955,-0.0610,1.0000,0.0121
-14.000,-0.9477,0.04868,0.04602,-0.0728,1.0000,0.0120
-13.750,-0.9718,0.04246,0.03957,-0.0764,1.0000,0.0120
-13.500,-0.9896,0.03849,0.03541,-0.0766,1.0000,0.0120
-13.250,-1.0063,0.03580,0.03256,-0.0741,1.0000,0.0120
-13.000,-1.0263,0.03408,0.03071,-0.0689,1.0000,0.0120
-12.750,-1.0514,0.03310,0.02964,-0.0611,1.0000,0.0120
-12.500,-1.0644,0.03175,0.02816,-0.0554,1.0000,0.0121
-12.250,-1.0713,0.03038,0.02664,-0.0506,1.0000,0.0121
-12.000,-1.0606,0.02864,0.02472,-0.0493,0.9991,0.0122
-11.750,-1.0410,0.02696,0.02284,-0.0496,0.9976,0.0124
-11.500,-1.0193,0.02551,0.02121,-0.0499,0.9963,0.0125
-11.250,-0.9954,0.02424,0.01978,-0.0504,0.9952,0.0126
-11.000,-0.9695,0.02316,0.01855,-0.0511,0.9943,0.0127
-10.750,-0.9481,0.02184,0.01707,-0.0509,0.9924,0.0128
-10.500,-0.9282,0.02003,0.01507,-0.0506,0.9903,0.0130
-10.250,-0.9034,0.01889,0.01382,-0.0509,0.9887,0.0133
-10.000,-0.8759,0.01803,0.01289,-0.0516,0.9874,0.0135
-9.750,-0.8469,0.01731,0.01210,-0.0524,0.9864,0.0137
-9.500,-0.8171,0.01664,0.01137,-0.0534,0.9856,0.0140
-9.250,-0.7866,0.01600,0.01066,-0.0544,0.9849,0.0143
-9.000,-0.7555,0.01539,0.00999,-0.0555,0.9843,0.0147
-8.750,-0.7314,0.01487,0.00940,-0.0550,0.9814,0.0150
-8.500,-0.7035,0.01438,0.00884,-0.0553,0.9793,0.0153
-8.250,-0.6738,0.01382,0.00822,-0.0560,0.9778,0.0156
-8.000,-0.6440,0.01311,0.00748,-0.0569,0.9766,0.0163
-7.750,-0.6119,0.01269,0.00704,-0.0581,0.9757,0.0171
-7.500,-0.5797,0.01231,0.00663,-0.0592,0.9748,0.0178
-7.250,-0.5478,0.01195,0.00623,-0.0603,0.9739,0.0185
-7.000,-0.5169,0.01143,0.00569,-0.0612,0.9729,0.0197
-6.750,-0.4899,0.01112,0.00538,-0.0611,0.9703,0.0209
-6.500,-0.4647,0.01081,0.00504,-0.0606,0.9668,0.0225
-6.250,-0.4367,0.01049,0.00474,-0.0607,0.9643,0.0250
-6.000,-0.4077,0.01018,0.00446,-0.0610,0.9622,0.0284
-5.750,-0.3783,0.00992,0.00421,-0.0614,0.9604,0.0322
-5.500,-0.3501,0.00975,0.00403,-0.0615,0.9581,0.0356
-5.250,-0.3261,0.00954,0.00385,-0.0607,0.9538,0.0390
-5.000,-0.2991,0.00933,0.00363,-0.0605,0.9505,0.0419
-4.750,-0.2715,0.00910,0.00342,-0.0604,0.9477,0.0453
-4.500,-0.2436,0.00891,0.00321,-0.0604,0.9452,0.0482
-4.250,-0.2182,0.00871,0.00304,-0.0599,0.9411,0.0522
