Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c141e-il-100000
Airfoil,c141e-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,49.2424
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-c141e-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.4636,0.10657,0.10100,-0.0318,1.0000,0.1170
-9.500,-0.4899,0.10377,0.09832,-0.0356,1.0000,0.1207
-9.250,-0.5320,0.10085,0.09556,-0.0397,1.0000,0.1214
-9.000,-0.5054,0.09587,0.09057,-0.0360,1.0000,0.1237
-8.750,-0.4861,0.09332,0.08800,-0.0328,1.0000,0.1271
-8.500,-0.4908,0.09064,0.08538,-0.0319,1.0000,0.1309
-8.250,-0.5131,0.08777,0.08261,-0.0317,1.0000,0.1337
-8.000,-0.5488,0.08460,0.07952,-0.0322,1.0000,0.1357
-7.500,-0.5758,0.07713,0.07207,-0.0304,1.0000,0.1407
-7.250,-0.5655,0.07505,0.07005,-0.0274,1.0000,0.1454
-7.000,-0.6035,0.07297,0.06756,-0.0285,1.0000,0.1541
-6.500,-0.5806,0.06561,0.06051,-0.0238,1.0000,0.1618
-6.250,-0.5905,0.06222,0.05685,-0.0236,1.0000,0.1731
-6.000,-0.5785,0.05955,0.05428,-0.0213,1.0000,0.1773
-5.750,-0.5771,0.05667,0.05122,-0.0205,1.0000,0.1907
-5.500,-0.5711,0.05451,0.04889,-0.0192,1.0000,0.2062
-5.250,-0.5575,0.05193,0.04648,-0.0169,1.0000,0.2136
-5.000,-0.5277,0.03797,0.03017,-0.0202,1.0000,0.1043
-4.750,-0.5080,0.03492,0.02681,-0.0193,1.0000,0.1015
-4.500,-0.4866,0.03268,0.02418,-0.0184,1.0000,0.1020
-4.250,-0.4634,0.03075,0.02186,-0.0176,1.0000,0.1030
-4.000,-0.4392,0.02898,0.01971,-0.0169,1.0000,0.1037
-3.750,-0.4151,0.02789,0.01821,-0.0160,1.0000,0.1062
-3.500,-0.3910,0.02616,0.01642,-0.0158,1.0000,0.1102
-3.250,-0.3670,0.02516,0.01534,-0.0152,1.0000,0.1140
-3.000,-0.3428,0.02440,0.01439,-0.0145,1.0000,0.1194
-2.750,-0.3183,0.02339,0.01336,-0.0140,1.0000,0.1257
-2.500,-0.2943,0.02274,0.01270,-0.0135,1.0000,0.1332
-2.250,-0.2700,0.02201,0.01201,-0.0131,1.0000,0.1427
-2.000,-0.2461,0.02159,0.01156,-0.0125,1.0000,0.1542
-1.750,-0.2219,0.02095,0.01111,-0.0122,1.0000,0.1690
-1.500,-0.1978,0.02045,0.01078,-0.0119,1.0000,0.1886
-1.250,-0.1731,0.01996,0.01053,-0.0117,1.0000,0.2210
-1.000,-0.1326,0.01739,0.01107,-0.0116,1.0000,0.9971
-0.750,-0.1134,0.01761,0.01101,-0.0106,1.0000,1.0000
-0.500,-0.0940,0.01788,0.01109,-0.0098,1.0000,1.0000
-0.250,-0.0742,0.01820,0.01125,-0.0091,1.0000,1.0000
0.000,-0.0541,0.01855,0.01148,-0.0085,1.0000,1.0000
0.250,-0.0161,0.01914,0.01193,-0.0114,0.9951,1.0000
0.500,0.0250,0.01973,0.01241,-0.0148,0.9876,1.0000
0.750,0.0657,0.02033,0.01292,-0.0181,0.9800,1.0000
1.000,0.1082,0.02096,0.01348,-0.0217,0.9728,1.0000
