Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-c5c-il-50000
Airfoil,c5c-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,31.6527
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-c5c-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.500,-0.4687,0.09239,0.08528,-0.0069,1.0000,0.4064
-7.250,-0.4745,0.09002,0.08299,-0.0043,1.0000,0.4215
-7.000,-0.6659,0.06767,0.06015,-0.0292,1.0000,0.1685
-6.750,-0.6591,0.06154,0.05379,-0.0287,1.0000,0.1518
-6.500,-0.6524,0.05730,0.04940,-0.0275,1.0000,0.1470
-6.250,-0.6526,0.05212,0.04333,-0.0262,1.0000,0.1380
-6.000,-0.6405,0.04858,0.03948,-0.0249,1.0000,0.1373
-5.750,-0.6263,0.04521,0.03572,-0.0236,1.0000,0.1365
-5.500,-0.6095,0.04200,0.03209,-0.0224,1.0000,0.1355
-5.250,-0.5906,0.03918,0.02876,-0.0212,1.0000,0.1363
-5.000,-0.5701,0.03670,0.02577,-0.0201,1.0000,0.1399
-4.750,-0.5478,0.03462,0.02363,-0.0193,1.0000,0.1453
-4.500,-0.5233,0.03263,0.02124,-0.0184,1.0000,0.1501
-4.250,-0.4989,0.03089,0.01936,-0.0176,1.0000,0.1594
-4.000,-0.4732,0.02934,0.01766,-0.0169,1.0000,0.1720
-3.750,-0.4467,0.02781,0.01614,-0.0161,1.0000,0.1892
-3.500,-0.4208,0.02632,0.01484,-0.0153,1.0000,0.2225
-3.250,-0.3960,0.02405,0.01331,-0.0145,1.0000,0.3150
-3.000,-0.3929,0.02144,0.01340,-0.0065,1.0000,0.7006
-2.750,-0.1534,0.02516,0.01592,-0.0336,1.0000,1.0000
-2.500,-0.1543,0.02457,0.01519,-0.0305,1.0000,1.0000
-2.250,-0.1546,0.02405,0.01455,-0.0272,1.0000,1.0000
-2.000,-0.1545,0.02358,0.01396,-0.0238,1.0000,1.0000
-1.750,-0.1538,0.02317,0.01344,-0.0204,1.0000,1.0000
-1.500,-0.1521,0.02282,0.01297,-0.0170,1.0000,1.0000
-1.250,-0.1486,0.02253,0.01256,-0.0138,1.0000,1.0000
-1.000,-0.1427,0.02232,0.01222,-0.0109,1.0000,1.0000
-0.750,-0.1335,0.02222,0.01197,-0.0085,1.0000,1.0000
-0.500,-0.1210,0.02221,0.01180,-0.0067,1.0000,1.0000
-0.250,-0.1060,0.02228,0.01174,-0.0053,1.0000,1.0000
0.000,-0.0894,0.02243,0.01176,-0.0042,1.0000,1.0000
0.250,-0.0716,0.02263,0.01185,-0.0032,1.0000,1.0000
0.500,-0.0531,0.02289,0.01200,-0.0025,1.0000,1.0000
0.750,-0.0342,0.02320,0.01222,-0.0018,1.0000,1.0000
1.000,-0.0150,0.02355,0.01250,-0.0012,1.0000,1.0000
1.250,0.0044,0.02394,0.01283,-0.0007,1.0000,1.0000
1.500,0.0239,0.02439,0.01323,-0.0003,1.0000,1.0000
1.750,0.0434,0.02487,0.01369,0.0001,1.0000,1.0000
2.000,0.0627,0.02541,0.01421,0.0004,1.0000,1.0000
2.250,0.0820,0.02599,0.01479,0.0007,1.0000,1.0000
2.500,0.1011,0.02662,0.01543,0.0010,1.0000,1.0000
2.750,0.1199,0.02731,0.01614,0.0011,1.0000,1.0000
3.000,0.1384,0.02806,0.01693,0.0013,1.0000,1.0000
3.250,0.1565,0.02886,0.01779,0.0014,1.0000,1.0000
