Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ch10sm-il-500000
Airfoil,ch10sm-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,135.373
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-ch10sm-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,0.3048,0.09230,0.08899,-0.1579,0.8119,0.0166
-11.000,0.3119,0.08991,0.08661,-0.1585,0.8080,0.0171
-10.750,0.2460,0.10341,0.10000,-0.1570,0.8244,0.0161
-10.500,0.2558,0.10113,0.09772,-0.1580,0.8200,0.0165
-10.250,0.2657,0.09884,0.09539,-0.1592,0.8159,0.0170
-10.000,0.2756,0.09650,0.09301,-0.1604,0.8120,0.0178
-9.750,0.2841,0.09403,0.09056,-0.1622,0.8076,0.0186
-9.500,0.2906,0.09182,0.08834,-0.1645,0.8032,0.0188
-9.250,0.2968,0.08961,0.08609,-0.1668,0.7993,0.0189
-9.000,0.3088,0.08646,0.08294,-0.1670,0.7957,0.0190
-8.750,0.3214,0.08411,0.08058,-0.1672,0.7916,0.0193
-8.500,0.3328,0.08204,0.07850,-0.1679,0.7876,0.0196
-8.250,0.3442,0.07999,0.07640,-0.1690,0.7840,0.0200
-8.000,0.3551,0.07790,0.07431,-0.1702,0.7803,0.0206
-7.750,0.3655,0.07571,0.07213,-0.1714,0.7762,0.0215
-7.500,0.3721,0.07327,0.06968,-0.1750,0.7719,0.0228
-7.250,0.3793,0.07079,0.06717,-0.1783,0.7679,0.0229
-7.000,0.3916,0.06805,0.06445,-0.1775,0.7645,0.0232
-6.750,0.4046,0.06623,0.06263,-0.1775,0.7607,0.0236
-6.500,0.4157,0.06463,0.06102,-0.1780,0.7571,0.0242
-6.250,0.4291,0.06280,0.05915,-0.1796,0.7537,0.0253
-6.000,0.4482,0.05979,0.05614,-0.1873,0.7497,0.0274
-5.750,0.4702,0.05585,0.05222,-0.1951,0.7456,0.0277
-5.500,0.4816,0.05399,0.05034,-0.1938,0.7423,0.0282
-5.250,0.4991,0.05238,0.04870,-0.1945,0.7392,0.0287
-5.000,0.5209,0.05040,0.04668,-0.1975,0.7360,0.0298
-4.750,0.5464,0.04769,0.04398,-0.2029,0.7323,0.0318
-4.500,0.5945,0.04147,0.03768,-0.2189,0.7286,0.0339
-4.250,0.6136,0.04051,0.03670,-0.2189,0.7254,0.0347
-4.000,0.6459,0.03834,0.03445,-0.2238,0.7224,0.0363
-3.750,0.7746,0.02038,0.01555,-0.2648,0.7200,0.0316
-3.500,0.8238,0.01579,0.01015,-0.2722,0.7169,0.0318
-3.250,0.8573,0.01443,0.00842,-0.2741,0.7136,0.0326
-3.000,0.8891,0.01352,0.00723,-0.2753,0.7107,0.0336
-2.750,0.9197,0.01301,0.00662,-0.2763,0.7078,0.0353
-2.500,0.9487,0.01288,0.00642,-0.2768,0.7048,0.0377
-2.250,0.9763,0.01267,0.00614,-0.2769,0.7014,0.0398
-2.000,1.0055,0.01219,0.00562,-0.2776,0.6982,0.0431
-1.750,1.0341,0.01207,0.00544,-0.2779,0.6952,0.0469
-1.500,1.0639,0.01187,0.00519,-0.2786,0.6923,0.0521
-1.250,1.0921,0.01187,0.00515,-0.2789,0.6893,0.0574
-1.000,1.1194,0.01168,0.00499,-0.2791,0.6860,0.0638
-0.750,1.1466,0.01168,0.00497,-0.2792,0.6828,0.0702
-0.500,1.1751,0.01155,0.00483,-0.2796,0.6797,0.0793
-0.250,1.2045,0.01152,0.00474,-0.2801,0.6768,0.0891
0.000,1.2323,0.01152,0.00474,-0.2804,0.6737,0.1028
0.250,1.2590,0.01144,0.00477,-0.2805,0.6704,0.1318
0.500,1.2869,0.01129,0.00487,-0.2809,0.6670,0.2420
0.750,1.3147,0.01123,0.00498,-0.2813,0.6639,0.3434
1.000,1.3435,0.01125,0.00509,-0.2818,0.6609,0.4221
1.250,1.3696,0.01129,0.00526,-0.2818,0.6578,0.4921
1.500,1.3948,0.01130,0.00542,-0.2815,0.6543,0.5603
1.750,1.4207,0.01129,0.00556,-0.2814,0.6508,0.6415
2.000,1.4439,0.01093,0.00564,-0.2806,0.6478,1.0000
2.250,1.4728,0.01111,0.00572,-0.2811,0.6446,1.0000
2.500,1.4963,0.01124,0.00587,-0.2805,0.6412,1.0000
2.750,1.5211,0.01138,0.00599,-0.2801,0.6376,1.0000
3.000,1.5466,0.01152,0.00609,-0.2799,0.6342,1.0000
3.250,1.5736,0.01168,0.00618,-0.2801,0.6309,1.0000
3.500,1.5988,0.01186,0.00636,-0.2799,0.6276,1.0000
3.750,1.6215,0.01202,0.00654,-0.2791,0.6237,1.0000
4.000,1.6453,0.01218,0.00668,-0.2786,0.6200,1.0000
4.250,1.6705,0.01234,0.00681,-0.2784,0.6165,1.0000
4.500,1.6960,0.01255,0.00699,-0.2783,0.6129,1.0000
4.750,1.7162,0.01273,0.00722,-0.2771,0.6088,1.0000
5.000,1.7380,0.01291,0.00741,-0.2762,0.6048,1.0000
5.250,1.7618,0.01310,0.00758,-0.2758,0.6010,1.0000
5.500,1.7847,0.01332,0.00781,-0.2751,0.5971,1.0000
5.750,1.8013,0.01354,0.00808,-0.2732,0.5926,1.0000
6.000,1.8202,0.01376,0.00831,-0.2718,0.5884,1.0000
6.250,1.8437,0.01399,0.00851,-0.2713,0.5844,1.0000
6.500,1.8594,0.01428,0.00886,-0.2693,0.5799,1.0000
6.750,1.8747,0.01457,0.00921,-0.2673,0.5751,1.0000
7.000,1.8935,0.01486,0.00949,-0.2659,0.5707,1.0000
7.250,1.9113,0.01519,0.00985,-0.2644,0.5661,1.0000
7.500,1.9241,0.01559,0.01033,-0.2620,0.5610,1.0000
7.750,1.9403,0.01597,0.01072,-0.2603,0.5562,1.0000
8.000,1.9584,0.01636,0.01111,-0.2589,0.5516,1.0000
8.250,1.9696,0.01688,0.01174,-0.2564,0.5462,1.0000
8.500,1.9841,0.01737,0.01225,-0.2544,0.5411,1.0000
8.750,2.0000,0.01786,0.01276,-0.2528,0.5361,1.0000
9.000,2.0100,0.01853,0.01353,-0.2502,0.5303,1.0000
9.250,2.0235,0.01912,0.01414,-0.2482,0.5247,1.0000
9.500,2.0337,0.01988,0.01496,-0.2458,0.5184,1.0000
9.750,2.0391,0.02084,0.01594,-0.2427,0.5095,1.0000
10.000,2.0420,0.02201,0.01716,-0.2393,0.4991,1.0000
10.250,2.0449,0.02326,0.01842,-0.2360,0.4885,1.0000
10.500,2.0470,0.02462,0.01979,-0.2327,0.4779,1.0000
10.750,2.0493,0.02608,0.02130,-0.2296,0.4667,1.0000
11.000,2.0503,0.02771,0.02295,-0.2264,0.4552,1.0000
11.250,2.0491,0.02956,0.02480,-0.2230,0.4426,1.0000
11.500,2.0466,0.03159,0.02682,-0.2197,0.4296,1.0000
11.750,2.0436,0.03377,0.02899,-0.2164,0.4160,1.0000
12.000,2.0399,0.03610,0.03132,-0.2132,0.4015,1.0000
12.250,2.0331,0.03875,0.03395,-0.2098,0.3859,1.0000
12.500,2.0246,0.04165,0.03682,-0.2064,0.3696,1.0000
12.750,2.0156,0.04470,0.03983,-0.2031,0.3519,1.0000
13.000,2.0043,0.04804,0.04313,-0.1997,0.3332,1.0000
13.250,1.9924,0.05152,0.04656,-0.1965,0.3154,1.0000
13.500,1.9800,0.05515,0.05014,-0.1934,0.2979,1.0000
13.750,1.9666,0.05896,0.05391,-0.1903,0.2806,1.0000
14.000,1.9538,0.06279,0.05769,-0.1875,0.2629,1.0000
14.250,1.9402,0.06678,0.06162,-0.1848,0.2440,1.0000
14.500,1.9247,0.07106,0.06584,-0.1822,0.2245,1.0000
14.750,1.9077,0.07561,0.07031,-0.1796,0.2043,1.0000
15.000,1.8896,0.08033,0.07494,-0.1772,0.1816,1.0000
15.250,1.8688,0.08547,0.07995,-0.1748,0.1567,1.0000
15.500,1.8461,0.09096,0.08530,-0.1726,0.1296,1.0000
15.750,1.8218,0.09673,0.09090,-0.1706,0.1020,1.0000
