Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkv-il-50000
Airfoil,clarkv-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,35.4856
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkv-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3884,0.10313,0.09630,-0.0199,1.0000,0.3075
-7.750,-0.3981,0.10103,0.09429,-0.0178,1.0000,0.3165
-7.500,-0.4211,0.10054,0.09395,-0.0147,1.0000,0.3277
-7.250,-0.4050,0.09661,0.09002,-0.0129,1.0000,0.3400
-7.000,-0.4093,0.09421,0.08768,-0.0103,1.0000,0.3510
-6.750,-0.4586,0.09524,0.08896,-0.0049,1.0000,0.3602
-6.500,-0.4535,0.09228,0.08603,-0.0022,1.0000,0.3755
-6.250,-0.4596,0.09010,0.08392,0.0010,1.0000,0.3915
-6.000,-0.4732,0.08838,0.08230,0.0043,1.0000,0.4083
-5.750,-0.4453,0.08427,0.07815,0.0072,1.0000,0.4305
-5.500,-0.4483,0.08208,0.07603,0.0107,1.0000,0.4500
-5.000,-0.4817,0.05571,0.04851,-0.0336,1.0000,0.1907
-4.750,-0.4577,0.04914,0.04105,-0.0377,1.0000,0.1701
-4.500,-0.4361,0.04548,0.03708,-0.0384,1.0000,0.1652
-4.250,-0.4108,0.04174,0.03268,-0.0397,1.0000,0.1608
-4.000,-0.3870,0.03944,0.02997,-0.0400,1.0000,0.1633
-3.750,-0.3620,0.03733,0.02741,-0.0402,1.0000,0.1662
-3.500,-0.3359,0.03540,0.02500,-0.0404,1.0000,0.1683
-3.250,-0.3094,0.03384,0.02291,-0.0404,1.0000,0.1719
-3.000,-0.2862,0.03257,0.02167,-0.0401,1.0000,0.1808
-2.750,-0.2611,0.03146,0.02034,-0.0399,1.0000,0.1911
-2.500,-0.2356,0.03049,0.01921,-0.0395,1.0000,0.2038
-2.250,-0.2117,0.02966,0.01851,-0.0391,1.0000,0.2255
-2.000,-0.1858,0.02890,0.01783,-0.0389,1.0000,0.2619
-1.750,-0.1577,0.02787,0.01738,-0.0391,1.0000,0.3503
-1.500,-0.1415,0.02475,0.01719,-0.0331,1.0000,0.9552
-1.250,-0.1202,0.02499,0.01673,-0.0332,1.0000,1.0000
-1.000,-0.0986,0.02545,0.01674,-0.0332,1.0000,1.0000
-0.750,-0.0776,0.02595,0.01690,-0.0331,1.0000,1.0000
-0.500,-0.0570,0.02650,0.01715,-0.0330,1.0000,1.0000
-0.250,-0.0367,0.02709,0.01748,-0.0329,1.0000,1.0000
0.000,-0.0167,0.02772,0.01789,-0.0328,1.0000,1.0000
0.250,0.0030,0.02840,0.01837,-0.0327,1.0000,1.0000
0.500,0.0225,0.02913,0.01892,-0.0326,1.0000,1.0000
0.750,0.0418,0.02989,0.01953,-0.0325,1.0000,1.0000
1.000,0.0607,0.03071,0.02022,-0.0325,1.0000,1.0000
1.250,0.0794,0.03157,0.02096,-0.0325,1.0000,1.0000
1.500,0.0977,0.03249,0.02177,-0.0325,1.0000,1.0000
1.750,0.1474,0.03423,0.02339,-0.0384,0.9864,1.0000
2.000,0.1995,0.03595,0.02500,-0.0445,0.9694,1.0000
2.250,0.2398,0.03720,0.02618,-0.0483,0.9520,1.0000
2.500,0.2802,0.03840,0.02734,-0.0519,0.9349,1.0000
2.750,0.3205,0.03952,0.02844,-0.0553,0.9181,1.0000
3.000,0.3610,0.04057,0.02948,-0.0585,0.9014,1.0000
3.250,0.4025,0.04155,0.03047,-0.0617,0.8851,1.0000
3.500,0.4343,0.04236,0.03130,-0.0632,0.8676,1.0000
3.750,0.4648,0.04312,0.03211,-0.0644,0.8494,1.0000
4.000,0.4992,0.04382,0.03288,-0.0660,0.8314,1.0000
4.250,0.5373,0.04438,0.03351,-0.0679,0.8135,1.0000
4.500,0.5794,0.04471,0.03393,-0.0700,0.7959,1.0000
4.750,0.6098,0.04512,0.03445,-0.0704,0.7762,1.0000
5.000,0.6409,0.04539,0.03483,-0.0706,0.7557,1.0000
5.250,0.6843,0.04501,0.03461,-0.0718,0.7367,1.0000
5.500,0.7349,0.04396,0.03373,-0.0732,0.7189,1.0000
5.750,0.7563,0.04419,0.03409,-0.0716,0.6960,1.0000
6.000,0.8021,0.04284,0.03295,-0.0718,0.6774,1.0000
6.250,0.8555,0.04064,0.03098,-0.0722,0.6603,1.0000
6.500,0.9265,0.03739,0.02803,-0.0743,0.6427,1.0000
6.750,0.9605,0.03650,0.02731,-0.0731,0.6178,1.0000
7.000,1.0203,0.03411,0.02512,-0.0744,0.5915,1.0000
7.250,1.0645,0.03286,0.02393,-0.0742,0.5600,1.0000
7.500,1.0986,0.03232,0.02339,-0.0732,0.5263,1.0000
7.750,1.1287,0.03221,0.02323,-0.0718,0.4925,1.0000
8.000,1.1547,0.03254,0.02346,-0.0703,0.4601,1.0000
8.250,1.1763,0.03327,0.02413,-0.0685,0.4299,1.0000
8.500,1.1955,0.03423,0.02507,-0.0664,0.4011,1.0000
8.750,1.2143,0.03536,0.02616,-0.0645,0.3733,1.0000
9.000,1.2330,0.03658,0.02729,-0.0625,0.3456,1.0000
9.250,1.2506,0.03784,0.02841,-0.0605,0.3173,1.0000
9.500,1.2656,0.03908,0.02948,-0.0581,0.2887,1.0000
9.750,1.2674,0.04047,0.03102,-0.0540,0.2638,1.0000
10.000,1.2719,0.04174,0.03221,-0.0504,0.2380,1.0000
10.250,1.2773,0.04305,0.03331,-0.0470,0.2120,1.0000
10.500,1.2766,0.04482,0.03511,-0.0429,0.1894,1.0000
