Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkys-il-1000000
Airfoil,clarkys-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,85.6762
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkys-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.000,-1.0722,0.03586,0.03233,-0.0323,0.8130,0.0177
-12.750,-1.0712,0.03466,0.03098,-0.0290,0.8098,0.0178
-12.500,-1.0910,0.03195,0.02799,-0.0230,0.8063,0.0181
-12.250,-1.0955,0.03018,0.02604,-0.0186,0.8030,0.0183
-12.000,-1.0826,0.02948,0.02529,-0.0165,0.8002,0.0186
-11.750,-1.0657,0.02907,0.02487,-0.0149,0.7977,0.0188
-11.500,-1.0490,0.02860,0.02434,-0.0133,0.7949,0.0191
-11.250,-1.0297,0.02840,0.02411,-0.0120,0.7922,0.0194
-11.000,-1.0121,0.02792,0.02356,-0.0104,0.7896,0.0197
-10.750,-0.9945,0.02737,0.02291,-0.0089,0.7867,0.0201
-10.500,-0.9777,0.02656,0.02199,-0.0072,0.7845,0.0205
-10.250,-0.9609,0.02565,0.02094,-0.0055,0.7818,0.0210
-10.000,-0.9427,0.02488,0.02003,-0.0040,0.7790,0.0213
-9.750,-0.9231,0.02430,0.01932,-0.0025,0.7763,0.0216
-9.500,-0.9010,0.02427,0.01918,-0.0014,0.7737,0.0219
-9.250,-0.8906,0.02144,0.01610,0.0009,0.7712,0.0227
-9.000,-0.8686,0.02088,0.01552,0.0019,0.7687,0.0231
-8.750,-0.8463,0.02033,0.01491,0.0028,0.7658,0.0234
-8.500,-0.8237,0.01979,0.01430,0.0038,0.7630,0.0239
-8.250,-0.8008,0.01921,0.01364,0.0047,0.7604,0.0243
-8.000,-0.7776,0.01866,0.01299,0.0056,0.7576,0.0248
-7.750,-0.7536,0.01819,0.01245,0.0063,0.7549,0.0254
-7.500,-0.7292,0.01771,0.01190,0.0071,0.7520,0.0258
-7.250,-0.7046,0.01725,0.01135,0.0078,0.7488,0.0262
-7.000,-0.6797,0.01686,0.01087,0.0085,0.7458,0.0264
-6.750,-0.6551,0.01612,0.01002,0.0091,0.7430,0.0267
-6.500,-0.6314,0.01470,0.00852,0.0098,0.7401,0.0276
-6.250,-0.6061,0.01415,0.00796,0.0103,0.7367,0.0281
-6.000,-0.5806,0.01367,0.00746,0.0109,0.7331,0.0286
-5.750,-0.5549,0.01324,0.00699,0.0114,0.7292,0.0291
-5.500,-0.5292,0.01284,0.00653,0.0120,0.7250,0.0295
-5.250,-0.5031,0.01244,0.00611,0.0124,0.7206,0.0301
-5.000,-0.4771,0.01205,0.00569,0.0129,0.7157,0.0306
-4.750,-0.4510,0.01174,0.00534,0.0134,0.7112,0.0312
-4.500,-0.4245,0.01145,0.00502,0.0139,0.7066,0.0316
-4.250,-0.3980,0.01117,0.00471,0.0143,0.7010,0.0320
-4.000,-0.3716,0.01091,0.00440,0.0147,0.6955,0.0322
-3.750,-0.3465,0.01037,0.00382,0.0154,0.6895,0.0331
-3.500,-0.3204,0.01003,0.00345,0.0159,0.6827,0.0341
-3.250,-0.2939,0.00979,0.00318,0.0163,0.6767,0.0350
-3.000,-0.2670,0.00958,0.00296,0.0167,0.6704,0.0360
-2.750,-0.2403,0.00940,0.00274,0.0171,0.6640,0.0371
-2.500,-0.2132,0.00924,0.00257,0.0174,0.6573,0.0383
-2.250,-0.1864,0.00908,0.00237,0.0177,0.6500,0.0399
-2.000,-0.1597,0.00889,0.00219,0.0181,0.6435,0.0436
-1.750,-0.1329,0.00873,0.00205,0.0185,0.6363,0.0503
-1.500,-0.1071,0.00848,0.00192,0.0190,0.6294,0.0816
-1.250,-0.0812,0.00825,0.00181,0.0195,0.6219,0.1127
-1.000,-0.0562,0.00801,0.00172,0.0201,0.6144,0.1590
-0.750,-0.0314,0.00774,0.00164,0.0207,0.6060,0.2173
-0.500,-0.0071,0.00751,0.00159,0.0215,0.5979,0.2752
-0.250,0.0170,0.00728,0.00154,0.0223,0.5895,0.3332
0.000,0.0366,0.00688,0.00147,0.0239,0.5818,0.4400
0.250,0.0362,0.00584,0.00127,0.0298,0.5744,0.6838
0.500,0.0414,0.00536,0.00139,0.0352,0.5670,0.8780
0.750,0.0668,0.00544,0.00145,0.0360,0.5577,0.8933
1.000,0.0951,0.00556,0.00156,0.0362,0.5481,0.9044
1.500,0.1499,0.00587,0.00181,0.0370,0.5251,0.9221
1.750,0.1805,0.00608,0.00199,0.0368,0.5122,0.9296
2.000,0.2133,0.00635,0.00222,0.0360,0.4981,0.9352
2.250,0.2361,0.00652,0.00232,0.0373,0.4837,0.9399
2.500,0.2730,0.00679,0.00253,0.0356,0.4647,0.9432
2.750,0.3105,0.00711,0.00275,0.0336,0.4423,0.9449
3.000,0.3449,0.00739,0.00293,0.0322,0.4161,0.9462
3.250,0.3772,0.00766,0.00308,0.0312,0.3911,0.9475
3.500,0.4097,0.00792,0.00325,0.0301,0.3718,0.9488
3.750,0.4412,0.00815,0.00341,0.0293,0.3563,0.9503
4.000,0.4580,0.00825,0.00347,0.0317,0.3468,0.9534
4.250,0.4702,0.00825,0.00344,0.0350,0.3384,0.9559
4.500,0.4972,0.00833,0.00348,0.0350,0.3293,0.9563
4.750,0.5230,0.00839,0.00351,0.0353,0.3220,0.9567
5.000,0.5490,0.00846,0.00356,0.0355,0.3159,0.9571
5.250,0.5756,0.00850,0.00361,0.0357,0.3107,0.9575
5.500,0.6019,0.00860,0.00369,0.0359,0.3043,0.9579
5.750,0.6285,0.00868,0.00376,0.0360,0.2988,0.9583
6.000,0.6554,0.00875,0.00384,0.0360,0.2935,0.9588
6.250,0.6817,0.00887,0.00395,0.0361,0.2874,0.9593
6.500,0.7087,0.00895,0.00404,0.0362,0.2815,0.9598
6.750,0.7348,0.00910,0.00416,0.0363,0.2716,0.9604
7.000,0.7614,0.00920,0.00426,0.0363,0.2625,0.9611
7.250,0.7871,0.00935,0.00439,0.0365,0.2525,0.9619
7.500,0.8121,0.00954,0.00453,0.0368,0.2393,0.9628
7.750,0.8362,0.00976,0.00470,0.0373,0.2220,0.9639
8.000,0.8570,0.01012,0.00494,0.0382,0.1963,0.9656
