Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarym15-il-1000000
Airfoil,clarym15-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,109.5
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-clarym15-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.750,-0.8865,0.07769,0.07500,-0.0690,1.0000,0.0248
-16.500,-0.9277,0.06722,0.06435,-0.0762,1.0000,0.0248
-16.250,-0.9547,0.05906,0.05602,-0.0822,1.0000,0.0249
-16.000,-0.9731,0.05228,0.04909,-0.0875,1.0000,0.0249
-15.750,-0.9847,0.04671,0.04337,-0.0921,1.0000,0.0250
-15.500,-0.9916,0.04223,0.03875,-0.0956,1.0000,0.0252
-15.250,-0.9958,0.03861,0.03501,-0.0981,1.0000,0.0253
-15.000,-0.9980,0.03581,0.03208,-0.0994,1.0000,0.0255
-14.750,-1.0001,0.03361,0.02978,-0.0994,1.0000,0.0256
-14.500,-1.0051,0.03194,0.02801,-0.0977,1.0000,0.0258
-14.250,-1.0167,0.03078,0.02677,-0.0939,1.0000,0.0259
-14.000,-1.0371,0.03001,0.02593,-0.0877,0.9998,0.0259
-13.750,-1.0174,0.02879,0.02460,-0.0885,0.9971,0.0261
-13.500,-0.9925,0.02775,0.02345,-0.0899,0.9948,0.0262
-13.250,-0.9769,0.02504,0.02058,-0.0909,0.9925,0.0267
-13.000,-0.9552,0.02376,0.01924,-0.0914,0.9892,0.0270
-12.750,-0.9284,0.02281,0.01826,-0.0924,0.9868,0.0273
-12.500,-0.8992,0.02201,0.01742,-0.0938,0.9850,0.0277
-12.250,-0.8692,0.02126,0.01661,-0.0951,0.9834,0.0280
-12.000,-0.8398,0.02047,0.01576,-0.0963,0.9816,0.0284
-11.750,-0.8171,0.01977,0.01500,-0.0959,0.9761,0.0287
-11.500,-0.7915,0.01907,0.01424,-0.0961,0.9718,0.0290
-11.250,-0.7657,0.01842,0.01351,-0.0962,0.9678,0.0293
-11.000,-0.7450,0.01786,0.01289,-0.0951,0.9605,0.0296
-10.750,-0.7214,0.01732,0.01228,-0.0946,0.9550,0.0298
-10.500,-0.6990,0.01688,0.01178,-0.0937,0.9478,0.0301
-10.250,-0.6752,0.01653,0.01136,-0.0930,0.9411,0.0303
-10.000,-0.6569,0.01545,0.01020,-0.0917,0.9334,0.0309
-9.750,-0.6350,0.01482,0.00952,-0.0908,0.9257,0.0313
-9.500,-0.6115,0.01434,0.00899,-0.0901,0.9183,0.0317
-9.250,-0.5874,0.01392,0.00853,-0.0895,0.9103,0.0321
-9.000,-0.5626,0.01353,0.00809,-0.0890,0.9030,0.0325
-8.750,-0.5377,0.01316,0.00767,-0.0885,0.8948,0.0329
-8.500,-0.5123,0.01282,0.00726,-0.0880,0.8875,0.0334
-8.250,-0.4866,0.01249,0.00688,-0.0876,0.8795,0.0338
-8.000,-0.4608,0.01220,0.00651,-0.0872,0.8720,0.0343
-7.750,-0.4343,0.01194,0.00621,-0.0869,0.8644,0.0347
-7.500,-0.4093,0.01152,0.00572,-0.0864,0.8567,0.0354
-7.250,-0.3837,0.01114,0.00531,-0.0860,0.8495,0.0362
-7.000,-0.3573,0.01086,0.00499,-0.0857,0.8418,0.0370
-6.750,-0.3306,0.01063,0.00471,-0.0854,0.8346,0.0378
-6.500,-0.3037,0.01041,0.00445,-0.0851,0.8266,0.0386
-6.250,-0.2768,0.01024,0.00421,-0.0848,0.8187,0.0394
-6.000,-0.2501,0.00997,0.00392,-0.0846,0.8102,0.0407
-5.750,-0.2235,0.00976,0.00366,-0.0842,0.8016,0.0424
-5.500,-0.1961,0.00956,0.00346,-0.0840,0.7938,0.0444
-5.250,-0.1691,0.00937,0.00324,-0.0838,0.7865,0.0475
-5.000,-0.1419,0.00917,0.00305,-0.0836,0.7790,0.0528
-4.750,-0.1151,0.00897,0.00288,-0.0833,0.7704,0.0629
-4.500,-0.0878,0.00881,0.00275,-0.0831,0.7626,0.0735
-4.250,-0.0603,0.00868,0.00263,-0.0830,0.7549,0.0816
-4.000,-0.0326,0.00860,0.00252,-0.0828,0.7477,0.0876
-3.750,-0.0050,0.00846,0.00241,-0.0827,0.7392,0.0947
-3.500,0.0223,0.00838,0.00230,-0.0825,0.7306,0.1014
-3.250,0.0499,0.00827,0.00219,-0.0823,0.7215,0.1095
-3.000,0.0770,0.00815,0.00209,-0.0821,0.7126,0.1221
-2.750,0.1040,0.00798,0.00199,-0.0819,0.7036,0.1439
-2.500,0.1306,0.00781,0.00191,-0.0816,0.6954,0.1769
-2.250,0.1581,0.00768,0.00186,-0.0815,0.6870,0.2049
-2.000,0.1850,0.00758,0.00181,-0.0813,0.6785,0.2309
-1.750,0.2127,0.00750,0.00178,-0.0812,0.6692,0.2533
-1.500,0.2397,0.00743,0.00174,-0.0810,0.6598,0.2770
-1.250,0.2670,0.00736,0.00172,-0.0808,0.6497,0.3003
-1.000,0.2942,0.00729,0.00169,-0.0806,0.6404,0.3267
-0.750,0.3210,0.00721,0.00168,-0.0803,0.6302,0.3582
-0.250,0.3737,0.00697,0.00167,-0.0797,0.6099,0.4572
0.000,0.3998,0.00681,0.00168,-0.0794,0.5991,0.5204
0.250,0.4252,0.00666,0.00170,-0.0789,0.5885,0.5909
0.750,0.4737,0.00634,0.00180,-0.0772,0.5645,0.7552
1.000,0.4978,0.00627,0.00188,-0.0763,0.5520,0.8162
1.250,0.5219,0.00628,0.00197,-0.0752,0.5393,0.8673
1.500,0.5463,0.00634,0.00208,-0.0742,0.5259,0.9080
1.750,0.5720,0.00644,0.00217,-0.0735,0.5121,0.9334
2.000,0.5985,0.00659,0.00226,-0.0731,0.4969,0.9512
2.250,0.6278,0.00676,0.00237,-0.0733,0.4794,0.9633
2.500,0.6584,0.00698,0.00248,-0.0739,0.4584,0.9720
2.750,0.6878,0.00723,0.00261,-0.0742,0.4336,0.9810
3.000,0.7235,0.00755,0.00277,-0.0761,0.4039,0.9851
3.250,0.7584,0.00785,0.00293,-0.0778,0.3802,0.9889
3.500,0.7922,0.00811,0.00309,-0.0792,0.3638,0.9930
3.750,0.8307,0.00835,0.00325,-0.0817,0.3512,0.9955
4.000,0.8709,0.00860,0.00341,-0.0845,0.3402,0.9987
4.250,0.9017,0.00877,0.00354,-0.0853,0.3321,1.0000
4.500,0.9202,0.00896,0.00367,-0.0835,0.3240,1.0000
4.750,0.9402,0.00909,0.00379,-0.0819,0.3177,1.0000
5.000,0.9602,0.00924,0.00390,-0.0804,0.3117,1.0000
5.250,0.9793,0.00943,0.00405,-0.0787,0.3058,1.0000
5.500,1.0008,0.00955,0.00417,-0.0774,0.3023,1.0000
5.750,1.0225,0.00967,0.00430,-0.0762,0.2989,1.0000
6.000,1.0441,0.00982,0.00444,-0.0750,0.2952,1.0000
6.250,1.0655,0.01001,0.00460,-0.0738,0.2910,1.0000
6.500,1.0876,0.01020,0.00478,-0.0727,0.2868,1.0000
6.750,1.1117,0.01031,0.00492,-0.0720,0.2836,1.0000
7.000,1.1353,0.01047,0.00508,-0.0713,0.2798,1.0000
7.250,1.1580,0.01067,0.00526,-0.0704,0.2756,1.0000
7.500,1.1800,0.01091,0.00548,-0.0694,0.2707,1.0000
7.750,1.2046,0.01103,0.00564,-0.0689,0.2671,1.0000
8.000,1.2275,0.01121,0.00582,-0.0680,0.2624,1.0000
8.250,1.2482,0.01146,0.00604,-0.0668,0.2571,1.0000
8.500,1.2701,0.01165,0.00625,-0.0658,0.2526,1.0000
8.750,1.2921,0.01186,0.00646,-0.0649,0.2465,1.0000
9.000,1.3119,0.01217,0.00674,-0.0636,0.2382,1.0000
9.250,1.3327,0.01245,0.00700,-0.0626,0.2283,1.0000
9.500,1.3520,0.01281,0.00732,-0.0613,0.2164,1.0000
9.750,1.3694,0.01327,0.00770,-0.0598,0.2019,1.0000
10.000,1.3844,0.01387,0.00820,-0.0580,0.1844,1.0000
10.250,1.3971,0.01460,0.00882,-0.0559,0.1667,1.0000
10.500,1.4100,0.01533,0.00947,-0.0539,0.1513,1.0000
10.750,1.4230,0.01609,0.01015,-0.0520,0.1382,1.0000
11.000,1.4364,0.01684,0.01085,-0.0502,0.1273,1.0000
11.250,1.4509,0.01753,0.01153,-0.0487,0.1191,1.0000
11.500,1.4646,0.01830,0.01227,-0.0471,0.1118,1.0000
11.750,1.4787,0.01906,0.01302,-0.0456,0.1059,1.0000
12.000,1.4919,0.01989,0.01384,-0.0441,0.1002,1.0000
12.250,1.5062,0.02067,0.01463,-0.0428,0.0961,1.0000
12.500,1.5181,0.02163,0.01558,-0.0413,0.0917,1.0000
12.750,1.5322,0.02246,0.01644,-0.0401,0.0889,1.0000
13.000,1.5458,0.02333,0.01734,-0.0390,0.0861,1.0000
13.250,1.5572,0.02439,0.01841,-0.0376,0.0832,1.0000
13.500,1.5672,0.02557,0.01961,-0.0363,0.0799,1.0000
13.750,1.5811,0.02649,0.02057,-0.0354,0.0781,1.0000
14.000,1.5923,0.02763,0.02174,-0.0343,0.0756,1.0000
14.250,1.6014,0.02895,0.02308,-0.0331,0.0730,1.0000
14.500,1.6097,0.03037,0.02453,-0.0320,0.0704,1.0000
14.750,1.6212,0.03155,0.02577,-0.0311,0.0686,1.0000
15.000,1.6298,0.03300,0.02726,-0.0302,0.0662,1.0000
15.250,1.6355,0.03474,0.02902,-0.0292,0.0633,1.0000
15.500,1.6430,0.03637,0.03069,-0.0283,0.0606,1.0000
15.750,1.6483,0.03824,0.03258,-0.0275,0.0571,1.0000
16.000,1.6511,0.04038,0.03474,-0.0267,0.0534,1.0000
16.250,1.6505,0.04292,0.03729,-0.0259,0.0482,1.0000
16.500,1.6468,0.04587,0.04024,-0.0252,0.0420,1.0000
16.750,1.6359,0.04966,0.04402,-0.0246,0.0337,1.0000
17.000,1.6179,0.05440,0.04875,-0.0242,0.0252,1.0000
17.250,1.6020,0.05912,0.05351,-0.0241,0.0208,1.0000
17.500,1.5917,0.06330,0.05776,-0.0242,0.0190,1.0000
17.750,1.5805,0.06771,0.06225,-0.0246,0.0178,1.0000
18.000,1.5716,0.07195,0.06658,-0.0251,0.0170,1.0000
18.250,1.5620,0.07635,0.07108,-0.0258,0.0164,1.0000
18.500,1.5507,0.08103,0.07585,-0.0266,0.0159,1.0000
18.750,1.5383,0.08596,0.08088,-0.0276,0.0156,1.0000
19.000,1.5248,0.09114,0.08616,-0.0288,0.0152,1.0000
