Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarym15-il-50000
Airfoil,clarym15-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,12.2917
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-clarym15-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.3134,0.11547,0.10839,-0.0283,1.0000,0.2926
-9.000,-0.2942,0.11166,0.10459,-0.0267,1.0000,0.2991
-8.750,-0.3224,0.11190,0.10499,-0.0244,1.0000,0.3080
-8.500,-0.3194,0.10864,0.10180,-0.0227,1.0000,0.3123
-8.250,-0.3126,0.10619,0.09939,-0.0204,1.0000,0.3206
-8.000,-0.3678,0.10810,0.10154,-0.0164,1.0000,0.3274
-7.750,-0.3296,0.10277,0.09617,-0.0152,1.0000,0.3359
-7.500,-0.3691,0.10340,0.09698,-0.0112,1.0000,0.3449
-7.250,-0.3530,0.09973,0.09332,-0.0094,1.0000,0.3523
-7.000,-0.3851,0.09977,0.09352,-0.0052,1.0000,0.3628
-6.750,-0.3802,0.09677,0.09057,-0.0031,1.0000,0.3696
-6.500,-0.4064,0.09633,0.09024,0.0012,1.0000,0.3806
-6.250,-0.4105,0.09380,0.08779,0.0038,1.0000,0.3874
-6.000,-0.5623,0.06799,0.06125,-0.0253,1.0000,0.1845
-5.750,-0.5560,0.06435,0.05754,-0.0249,1.0000,0.1821
-5.500,-0.5499,0.05990,0.05285,-0.0255,1.0000,0.1787
-5.250,-0.5415,0.05386,0.04618,-0.0276,1.0000,0.1734
-5.000,-0.5266,0.04894,0.04046,-0.0291,1.0000,0.1706
-4.750,-0.5098,0.04683,0.03823,-0.0286,1.0000,0.1729
-4.500,-0.4921,0.04506,0.03627,-0.0283,1.0000,0.1771
-4.250,-0.4723,0.04290,0.03368,-0.0284,1.0000,0.1819
-4.000,-0.4507,0.04073,0.03097,-0.0286,1.0000,0.1867
-3.750,-0.4317,0.03976,0.03006,-0.0281,1.0000,0.1940
-3.500,-0.4098,0.03842,0.02834,-0.0280,1.0000,0.2043
-3.250,-0.3895,0.03764,0.02752,-0.0276,1.0000,0.2162
-3.000,-0.3689,0.03691,0.02676,-0.0273,1.0000,0.2306
-2.750,-0.3481,0.03634,0.02614,-0.0270,1.0000,0.2489
-2.500,-0.3269,0.03589,0.02559,-0.0268,1.0000,0.2712
-2.250,-0.3064,0.03548,0.02531,-0.0265,1.0000,0.2956
