Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-080-050-gn-100000-n1
Airfoil,cp-080-050-gn
Reynolds number,100000
Ncrit,1
Mach,0
Max Cl/Cd,30.0566
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-080-050-gn-100000-n1

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.1522,0.10724,0.10048,-0.0804,0.9065,0.0292
-7.500,-0.1449,0.10490,0.09815,-0.0811,0.9018,0.0293
-7.250,-0.1362,0.10234,0.09559,-0.0824,0.8976,0.0299
-7.000,-0.1271,0.09950,0.09276,-0.0841,0.8939,0.0307
-6.750,-0.1165,0.09718,0.09044,-0.0854,0.8903,0.0311
-6.500,-0.1098,0.09509,0.08837,-0.0858,0.8848,0.0315
-6.250,-0.1009,0.09279,0.08608,-0.0868,0.8799,0.0317
-6.000,-0.0906,0.09036,0.08366,-0.0882,0.8758,0.0319
-5.750,-0.0824,0.08811,0.08143,-0.0891,0.8711,0.0322
-5.500,-0.0769,0.08608,0.07942,-0.0892,0.8649,0.0323
-5.250,-0.0695,0.08381,0.07715,-0.0901,0.8596,0.0329
-5.000,-0.0628,0.08142,0.07476,-0.0911,0.8545,0.0337
-4.750,-0.0628,0.07967,0.07306,-0.0902,0.8469,0.0341
-4.500,-0.0582,0.07781,0.07122,-0.0901,0.8408,0.0344
-4.250,-0.0517,0.07574,0.06917,-0.0906,0.8351,0.0347
-4.000,-0.0483,0.07388,0.06733,-0.0903,0.8278,0.0349
-3.750,-0.0393,0.07170,0.06516,-0.0913,0.8221,0.0351
-3.500,-0.0292,0.06951,0.06297,-0.0924,0.8169,0.0353
-3.250,-0.0235,0.06755,0.06102,-0.0924,0.8098,0.0356
-3.000,-0.0120,0.06518,0.05864,-0.0938,0.8040,0.0364
-2.750,0.0026,0.06253,0.05595,-0.0959,0.7991,0.0373
-2.500,0.0121,0.06069,0.05412,-0.0959,0.7925,0.0376
-2.250,0.0274,0.05859,0.05201,-0.0970,0.7870,0.0379
-2.000,0.0468,0.05633,0.04971,-0.0988,0.7824,0.0382
-1.750,0.0623,0.05433,0.04768,-0.0995,0.7769,0.0384
-1.500,0.0794,0.05232,0.04565,-0.1003,0.7711,0.0387
-1.250,0.1014,0.05006,0.04333,-0.1021,0.7662,0.0396
-1.000,0.1272,0.04749,0.04065,-0.1046,0.7623,0.0407
-0.750,0.1455,0.04572,0.03885,-0.1048,0.7564,0.0411
-0.500,0.1678,0.04394,0.03702,-0.1056,0.7512,0.0414
-0.250,0.1933,0.04209,0.03511,-0.1069,0.7468,0.0417
0.000,0.2202,0.04026,0.03320,-0.1082,0.7429,0.0420
0.250,0.2422,0.03866,0.03153,-0.1084,0.7372,0.0429
0.500,0.2704,0.03663,0.02936,-0.1097,0.7292,0.0441
0.750,0.3057,0.03445,0.02694,-0.1117,0.7069,0.0447
1.000,0.3626,0.03242,0.02385,-0.1171,0.5570,0.0451
1.250,0.3430,0.03485,0.02424,-0.1092,0.1096,0.0452
1.500,0.3624,0.03411,0.02315,-0.1082,0.0567,0.0456
1.750,0.3861,0.03291,0.02177,-0.1077,0.0525,0.0467
2.000,0.4106,0.03152,0.02015,-0.1072,0.0500,0.0479
2.250,0.4344,0.03039,0.01882,-0.1065,0.0479,0.0484
2.500,0.4577,0.02946,0.01774,-0.1057,0.0464,0.0487
