Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-cp-180-050-gn-100000-n1
Airfoil,cp-180-050-gn
Reynolds number,100000
Ncrit,1
Mach,0
Max Cl/Cd,16.7115
Max Cl/Cd alpha,8.25
Url,http://airfoiltools.com/polar/csv?polar=xf-cp-180-050-gn-100000-n1

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.250,0.0837,0.15640,0.15021,-0.1348,0.7843,0.0077
-13.000,0.0839,0.15511,0.14892,-0.1337,0.7805,0.0077
-12.750,0.0866,0.15345,0.14726,-0.1334,0.7775,0.0078
-12.500,0.0908,0.15160,0.14539,-0.1334,0.7751,0.0079
-12.000,0.0911,0.14912,0.14293,-0.1312,0.7689,0.0079
-11.750,0.0901,0.14801,0.14184,-0.1298,0.7650,0.0080
-11.500,0.0922,0.14653,0.14035,-0.1292,0.7619,0.0083
-11.000,0.0998,0.14299,0.13679,-0.1289,0.7571,0.0092
-10.750,0.0939,0.14251,0.13636,-0.1263,0.7525,0.0095
-10.500,0.0925,0.14142,0.13529,-0.1248,0.7486,0.0096
-10.250,0.0940,0.13995,0.13381,-0.1240,0.7454,0.0096
-10.000,0.0971,0.13821,0.13206,-0.1236,0.7428,0.0097
-9.750,0.0972,0.13694,0.13079,-0.1225,0.7397,0.0097
-9.500,0.0922,0.13636,0.13025,-0.1201,0.7354,0.0098
-9.250,0.0910,0.13527,0.12918,-0.1187,0.7316,0.0099
-9.000,0.0925,0.13386,0.12777,-0.1178,0.7285,0.0099
-8.500,0.0913,0.13164,0.12556,-0.1151,0.7217,0.0105
-8.250,0.0874,0.13097,0.12493,-0.1130,0.7176,0.0107
-8.000,0.0865,0.12985,0.12382,-0.1116,0.7141,0.0112
-7.750,0.0877,0.12841,0.12238,-0.1107,0.7111,0.0116
-7.500,0.0886,0.12699,0.12094,-0.1098,0.7083,0.0117
-7.250,0.0803,0.12680,0.12081,-0.1067,0.7031,0.0118
-7.000,0.0769,0.12596,0.11998,-0.1048,0.6993,0.0118
-6.750,0.0759,0.12479,0.11882,-0.1034,0.6960,0.0118
-6.250,0.0679,0.12315,0.11722,-0.0992,0.6881,0.0119
-6.000,0.0615,0.12259,0.11670,-0.0967,0.6840,0.0120
-5.750,0.0575,0.12173,0.11584,-0.0946,0.6806,0.0120
-5.250,0.0484,0.12014,0.11430,-0.0902,0.6731,0.0123
-5.000,0.0423,0.11970,0.11390,-0.0878,0.6682,0.0126
-4.750,0.0415,0.11859,0.11278,-0.0866,0.6649,0.0129
-4.500,0.0434,0.11714,0.11134,-0.0860,0.6621,0.0135
-4.000,0.0417,0.11507,0.10930,-0.0837,0.6535,0.0140
-3.750,0.0431,0.11379,0.10803,-0.0831,0.6497,0.0140
-3.500,0.0480,0.11221,0.10645,-0.0831,0.6469,0.0141
-3.250,0.0556,0.11037,0.10459,-0.0837,0.6445,0.0141
-3.000,0.0601,0.10898,0.10319,-0.0837,0.6407,0.0142
-2.750,0.0625,0.10799,0.10221,-0.0834,0.6355,0.0143
-2.500,0.0708,0.10637,0.10059,-0.0842,0.6322,0.0143
-2.250,0.0823,0.10450,0.09871,-0.0857,0.6297,0.0144
-1.750,0.1073,0.10114,0.09532,-0.0888,0.6239,0.0155
-1.500,0.1174,0.09992,0.09410,-0.0901,0.6191,0.0162
-1.250,0.1332,0.09817,0.09232,-0.0924,0.6159,0.0164
-1.000,0.1527,0.09620,0.09031,-0.0954,0.6136,0.0165
-0.750,0.1752,0.09411,0.08817,-0.0989,0.6116,0.0166
-0.250,0.2175,0.09087,0.08487,-0.1055,0.6049,0.0169
0.000,0.2409,0.08935,0.08332,-0.1092,0.6013,0.0173
0.250,0.2677,0.08776,0.08169,-0.1134,0.5987,0.0182
0.500,0.2989,0.08594,0.07982,-0.1184,0.5967,0.0190
0.750,0.3332,0.08404,0.07785,-0.1239,0.5949,0.0191
1.000,0.3704,0.08211,0.07583,-0.1299,0.5933,0.0192
1.250,0.3983,0.08130,0.07500,-0.1344,0.5889,0.0194
1.500,0.4315,0.08023,0.07388,-0.1397,0.5854,0.0196
1.750,0.4683,0.07905,0.07265,-0.1454,0.5828,0.0204
2.000,0.5071,0.07791,0.07145,-0.1514,0.5808,0.0216
2.250,0.5492,0.07667,0.07014,-0.1579,0.5788,0.0219
2.500,0.5935,0.07544,0.06883,-0.1646,0.5771,0.0220
2.750,0.6321,0.07487,0.06820,-0.1704,0.5741,0.0222
3.000,0.6673,0.07479,0.06808,-0.1755,0.5700,0.0225
