Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-curtisc72-il-1000000
Airfoil,curtisc72-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,121
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-curtisc72-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.250,-0.7636,0.04425,0.04196,-0.0847,1.0000,0.0198
-14.000,-0.8081,0.03816,0.03570,-0.0882,1.0000,0.0198
-13.750,-0.8177,0.03571,0.03309,-0.0871,0.9994,0.0199
-13.500,-0.8066,0.02948,0.02635,-0.0939,0.9954,0.0204
-13.250,-0.7777,0.02805,0.02485,-0.0961,0.9940,0.0207
-13.000,-0.7485,0.02744,0.02421,-0.0973,0.9915,0.0210
-12.750,-0.7181,0.02686,0.02361,-0.0986,0.9891,0.0214
-12.500,-0.6872,0.02609,0.02279,-0.1001,0.9871,0.0218
-12.250,-0.6571,0.02475,0.02132,-0.1019,0.9852,0.0223
-12.000,-0.6263,0.02326,0.01964,-0.1039,0.9838,0.0228
-11.750,-0.5988,0.02202,0.01821,-0.1048,0.9801,0.0233
-11.500,-0.5698,0.02125,0.01729,-0.1056,0.9760,0.0238
-11.250,-0.5381,0.02109,0.01702,-0.1064,0.9728,0.0241
-11.000,-0.5174,0.01801,0.01366,-0.1069,0.9670,0.0249
-10.750,-0.4910,0.01718,0.01278,-0.1070,0.9609,0.0253
-10.500,-0.4629,0.01651,0.01204,-0.1072,0.9559,0.0257
-10.250,-0.4376,0.01590,0.01135,-0.1068,0.9480,0.0261
-10.000,-0.4103,0.01536,0.01073,-0.1067,0.9419,0.0266
-9.750,-0.3848,0.01486,0.01016,-0.1062,0.9338,0.0271
-9.250,-0.3324,0.01372,0.00882,-0.1054,0.9191,0.0280
-9.000,-0.3057,0.01326,0.00825,-0.1050,0.9121,0.0283
-8.750,-0.2791,0.01287,0.00779,-0.1047,0.9046,0.0286
-8.500,-0.2519,0.01261,0.00744,-0.1043,0.8974,0.0289
-8.250,-0.2274,0.01147,0.00621,-0.1038,0.8901,0.0296
-8.000,-0.2013,0.01091,0.00560,-0.1034,0.8825,0.0301
-7.750,-0.1745,0.01050,0.00515,-0.1031,0.8754,0.0306
-7.500,-0.1476,0.01015,0.00475,-0.1028,0.8676,0.0311
-7.250,-0.1204,0.00985,0.00440,-0.1025,0.8605,0.0316
-7.000,-0.0931,0.00955,0.00406,-0.1022,0.8523,0.0322
-6.750,-0.0657,0.00930,0.00375,-0.1019,0.8442,0.0328
-6.500,-0.0384,0.00907,0.00346,-0.1016,0.8343,0.0334
-6.250,-0.0108,0.00888,0.00322,-0.1014,0.8240,0.0340
-6.000,0.0166,0.00873,0.00300,-0.1011,0.8136,0.0345
-5.750,0.0439,0.00845,0.00265,-0.1008,0.8023,0.0352
-5.500,0.0712,0.00821,0.00236,-0.1005,0.7903,0.0364
-5.250,0.0988,0.00806,0.00215,-0.1003,0.7788,0.0377
-5.000,0.1265,0.00794,0.00198,-0.1000,0.7685,0.0390
-4.750,0.1545,0.00783,0.00183,-0.0999,0.7585,0.0406
-4.500,0.1823,0.00772,0.00168,-0.0997,0.7485,0.0439
-4.250,0.2100,0.00757,0.00157,-0.0995,0.7382,0.0565
-4.000,0.2377,0.00737,0.00147,-0.0994,0.7288,0.0895
-3.750,0.2652,0.00724,0.00139,-0.0993,0.7190,0.1179
-3.500,0.2927,0.00704,0.00133,-0.0992,0.7086,0.1681
-3.250,0.3201,0.00683,0.00127,-0.0992,0.6985,0.2283
-3.000,0.3471,0.00661,0.00124,-0.0990,0.6883,0.3035
-2.750,0.3747,0.00642,0.00123,-0.0990,0.6786,0.3720
-2.500,0.4021,0.00633,0.00125,-0.0989,0.6687,0.4276
-2.250,0.4297,0.00630,0.00127,-0.0988,0.6577,0.4678
-2.000,0.4576,0.00629,0.00129,-0.0987,0.6465,0.4936
-1.750,0.4854,0.00632,0.00131,-0.0986,0.6354,0.5124
-1.250,0.5406,0.00632,0.00138,-0.0984,0.6126,0.5649
-1.000,0.5680,0.00633,0.00142,-0.0983,0.6005,0.5935
-0.750,0.5952,0.00634,0.00147,-0.0981,0.5872,0.6221
-0.250,0.6481,0.00626,0.00160,-0.0976,0.5592,0.7298
0.000,0.6820,0.00583,0.00170,-0.0986,0.5433,1.0000
0.250,0.7086,0.00597,0.00176,-0.0984,0.5262,1.0000
