Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-davissm-il-50000
Airfoil,davissm-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,45.4253
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-davissm-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.500,-0.3381,0.11130,0.10472,-0.0264,1.0000,0.1008
-7.250,-0.3452,0.11044,0.10396,-0.0255,1.0000,0.1029
-7.000,-0.3523,0.11042,0.10405,-0.0264,1.0000,0.1044
-6.750,-0.3546,0.11104,0.10475,-0.0306,1.0000,0.1052
-6.500,-0.3509,0.10431,0.09808,-0.0242,1.0000,0.1078
-6.250,-0.3489,0.10142,0.09523,-0.0224,1.0000,0.1113
-6.000,-0.3470,0.09938,0.09324,-0.0227,1.0000,0.1153
-5.750,-0.3377,0.09920,0.09308,-0.0299,1.0000,0.1193
-5.500,-0.3352,0.09509,0.08905,-0.0278,1.0000,0.1214
-5.250,-0.3322,0.09178,0.08574,-0.0250,1.0000,0.1265
-5.000,-0.3075,0.09082,0.08474,-0.0359,1.0000,0.1345
-4.750,-0.3120,0.08640,0.08041,-0.0290,1.0000,0.1389
-4.500,-0.2859,0.08441,0.07836,-0.0376,1.0000,0.1495
-4.250,-0.2856,0.08071,0.07474,-0.0329,1.0000,0.1553
-4.000,-0.2624,0.07790,0.07188,-0.0384,1.0000,0.1657
-3.750,-0.2374,0.07523,0.06916,-0.0436,1.0000,0.1790
-3.500,-0.2155,0.07240,0.06629,-0.0469,1.0000,0.1932
-3.250,-0.1969,0.06938,0.06322,-0.0486,1.0000,0.2081
-3.000,-0.1807,0.06636,0.06021,-0.0492,1.0000,0.2242
-2.750,-0.1553,0.06383,0.05764,-0.0526,1.0000,0.2519
-2.500,-0.1385,0.06113,0.05495,-0.0527,1.0000,0.2820
-2.250,-0.1184,0.05876,0.05258,-0.0537,1.0000,0.3244
-1.500,-0.0909,0.05125,0.04530,-0.0442,1.0000,0.4985
-1.250,-0.0906,0.04847,0.04266,-0.0377,1.0000,0.5605
-1.000,-0.0811,0.04600,0.04026,-0.0338,1.0000,0.6285
-0.750,-0.0744,0.04326,0.03761,-0.0292,1.0000,0.6781
-0.500,-0.0538,0.04090,0.03528,-0.0284,1.0000,0.7306
-0.250,0.2290,0.04210,0.03352,-0.1018,1.0000,0.2171
0.000,0.2692,0.04095,0.03176,-0.1050,1.0000,0.1892
0.250,0.3020,0.04021,0.03066,-0.1070,1.0000,0.1829
0.500,0.3342,0.03980,0.02979,-0.1085,1.0000,0.1743
0.750,0.3652,0.03959,0.02923,-0.1100,1.0000,0.1708
1.000,0.3946,0.03971,0.02901,-0.1112,1.0000,0.1718
1.250,0.4211,0.04007,0.02910,-0.1120,1.0000,0.1825
1.500,0.4555,0.04045,0.02920,-0.1140,0.9975,0.1930
1.750,0.5131,0.04055,0.02920,-0.1201,0.9884,0.2184
2.000,0.5689,0.03902,0.02953,-0.1262,0.9796,0.8713
2.250,0.6114,0.04001,0.02956,-0.1292,0.9664,1.0000
2.500,0.6523,0.04107,0.03037,-0.1329,0.9528,1.0000
2.750,0.6906,0.04211,0.03128,-0.1360,0.9390,1.0000
3.000,0.7273,0.04312,0.03222,-0.1388,0.9248,1.0000
3.250,0.7627,0.04411,0.03318,-0.1411,0.9104,1.0000
3.500,0.7973,0.04506,0.03418,-0.1433,0.8958,1.0000
3.750,0.8311,0.04598,0.03514,-0.1451,0.8811,1.0000
4.000,0.8649,0.04684,0.03608,-0.1468,0.8664,1.0000
4.250,0.8968,0.04770,0.03704,-0.1481,0.8515,1.0000
4.500,0.9203,0.04876,0.03826,-0.1481,0.8354,1.0000
4.750,0.9457,0.04978,0.03942,-0.1483,0.8197,1.0000
5.000,0.9717,0.05077,0.04057,-0.1486,0.8042,1.0000
5.250,0.9977,0.05177,0.04176,-0.1487,0.7890,1.0000
5.500,1.0231,0.05281,0.04305,-0.1488,0.7741,1.0000
5.750,1.0555,0.05311,0.04361,-0.1490,0.7570,1.0000
6.000,1.1865,0.04232,0.03358,-0.1522,0.7237,1.0000
6.250,1.2462,0.03629,0.02814,-0.1488,0.6887,1.0000
6.500,1.2917,0.02900,0.02106,-0.1400,0.6076,1.0000
6.750,1.2869,0.02833,0.01968,-0.1293,0.4516,1.0000
7.000,1.2680,0.03132,0.02101,-0.1208,0.2535,1.0000
7.250,1.2586,0.03462,0.02342,-0.1153,0.1888,1.0000
7.500,1.2575,0.03729,0.02579,-0.1108,0.1625,1.0000
