Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-defcnd2-il-500000
Airfoil,defcnd2-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,89.5955
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-defcnd2-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.750,-0.2057,0.12265,0.12061,-0.0454,1.0000,0.0209
-12.500,-0.3128,0.12423,0.12195,-0.0431,1.0000,0.0203
-12.250,-0.3062,0.12171,0.11945,-0.0433,1.0000,0.0206
-12.000,-0.3012,0.11885,0.11661,-0.0439,1.0000,0.0208
-11.750,-0.2959,0.11617,0.11395,-0.0443,1.0000,0.0211
-11.500,-0.2923,0.11321,0.11101,-0.0450,1.0000,0.0216
-11.250,-0.2903,0.10998,0.10780,-0.0459,1.0000,0.0219
-11.000,-0.1809,0.08762,0.08555,-0.0689,0.9556,0.0257
-10.750,-0.1612,0.08428,0.08218,-0.0721,0.9453,0.0263
-10.500,-0.1445,0.08030,0.07816,-0.0760,0.9340,0.0270
-10.250,-0.1348,0.07545,0.07326,-0.0800,0.9209,0.0277
-10.000,-0.2773,0.07984,0.07775,-0.0710,0.9593,0.0259
-9.750,-0.2516,0.07636,0.07423,-0.0769,0.9500,0.0266
-9.500,-0.2298,0.07026,0.06809,-0.0866,0.9375,0.0272
-9.250,-0.2244,0.05947,0.05716,-0.1032,0.9129,0.0278
-9.000,-0.2465,0.05326,0.05072,-0.1075,0.8853,0.0278
-8.750,-0.2693,0.04997,0.04724,-0.1049,0.8681,0.0279
-8.500,-0.2823,0.04718,0.04427,-0.1022,0.8566,0.0286
-8.250,-0.2867,0.03365,0.03037,-0.0921,0.8327,0.0315
-8.000,-0.2926,0.03089,0.02738,-0.0893,0.8256,0.0316
-7.000,-0.3039,0.02347,0.01820,-0.0824,0.8131,0.0230
-6.750,-0.2917,0.01964,0.01371,-0.0794,0.8072,0.0213
-6.250,-0.2467,0.01733,0.01106,-0.0774,0.7952,0.0216
-6.000,-0.2231,0.01645,0.01006,-0.0766,0.7893,0.0220
-5.750,-0.1991,0.01568,0.00919,-0.0759,0.7832,0.0225
-5.500,-0.1753,0.01497,0.00839,-0.0751,0.7766,0.0231
-5.250,-0.1511,0.01439,0.00770,-0.0743,0.7707,0.0238
-5.000,-0.1269,0.01394,0.00719,-0.0735,0.7628,0.0248
-4.750,-0.1032,0.01345,0.00659,-0.0726,0.7548,0.0253
-4.500,-0.0832,0.01254,0.00564,-0.0711,0.7455,0.0263
-4.250,-0.0605,0.01208,0.00514,-0.0700,0.7365,0.0274
-4.000,-0.0371,0.01172,0.00473,-0.0691,0.7267,0.0288
-3.750,-0.0133,0.01139,0.00436,-0.0682,0.7161,0.0303
-3.500,0.0105,0.01109,0.00398,-0.0673,0.7054,0.0325
-3.250,0.0340,0.01077,0.00363,-0.0664,0.6933,0.0361
-3.000,0.0580,0.01053,0.00332,-0.0655,0.6796,0.0416
-2.750,0.0797,0.01011,0.00302,-0.0643,0.6646,0.0768
-2.500,0.1003,0.00967,0.00282,-0.0630,0.6484,0.1519
-2.250,0.1206,0.00927,0.00265,-0.0617,0.6317,0.2393
-2.000,0.1392,0.00878,0.00251,-0.0601,0.6155,0.3584
-1.750,0.1530,0.00809,0.00238,-0.0576,0.6008,0.5350
-1.500,0.1693,0.00779,0.00242,-0.0551,0.5865,0.6632
-1.250,0.1910,0.00777,0.00243,-0.0537,0.5730,0.7128
-1.000,0.2129,0.00777,0.00246,-0.0523,0.5602,0.7530
-0.750,0.2364,0.00780,0.00247,-0.0512,0.5485,0.7796
-0.500,0.2599,0.00782,0.00251,-0.0501,0.5384,0.8078
-0.250,0.2834,0.00787,0.00256,-0.0490,0.5292,0.8341
0.000,0.3080,0.00792,0.00260,-0.0482,0.5195,0.8563
0.250,0.3333,0.00799,0.00265,-0.0475,0.5104,0.8763
0.500,0.3598,0.00809,0.00273,-0.0471,0.5003,0.8962
0.750,0.3886,0.00819,0.00283,-0.0471,0.4896,0.9199
1.000,0.4206,0.00836,0.00295,-0.0478,0.4783,0.9388
1.250,0.4579,0.00856,0.00306,-0.0498,0.4663,0.9479
1.500,0.4927,0.00874,0.00315,-0.0514,0.4543,0.9559
1.750,0.5317,0.00892,0.00325,-0.0539,0.4419,0.9604
2.000,0.5663,0.00910,0.00335,-0.0555,0.4324,0.9672
2.250,0.6047,0.00930,0.00345,-0.0580,0.4241,0.9706
2.500,0.6439,0.00945,0.00355,-0.0606,0.4168,0.9740
2.750,0.6795,0.00965,0.00367,-0.0625,0.4105,0.9793
3.000,0.7164,0.00980,0.00378,-0.0647,0.4054,0.9835
3.250,0.7554,0.00995,0.00388,-0.0674,0.4007,0.9867
3.500,0.7923,0.01013,0.00400,-0.0696,0.3965,0.9909
3.750,0.8296,0.01028,0.00413,-0.0720,0.3931,0.9946
4.000,0.8687,0.01040,0.00424,-0.0747,0.3896,0.9978
4.250,0.9025,0.01053,0.00436,-0.0764,0.3862,1.0000
4.500,0.9185,0.01066,0.00446,-0.0743,0.3836,1.0000
4.750,0.9349,0.01084,0.00459,-0.0723,0.3807,1.0000
5.000,0.9534,0.01094,0.00472,-0.0707,0.3784,1.0000
5.250,0.9721,0.01106,0.00487,-0.0691,0.3758,1.0000
5.500,0.9907,0.01121,0.00502,-0.0674,0.3729,1.0000
5.750,1.0093,0.01140,0.00520,-0.0658,0.3700,1.0000
6.000,1.0281,0.01164,0.00540,-0.0643,0.3671,1.0000
6.250,1.0479,0.01183,0.00562,-0.0629,0.3646,1.0000
6.500,1.0679,0.01198,0.00581,-0.0615,0.3619,1.0000
6.750,1.0877,0.01215,0.00601,-0.0601,0.3589,1.0000
7.000,1.1074,0.01236,0.00623,-0.0588,0.3559,1.0000
7.250,1.1273,0.01264,0.00650,-0.0575,0.3527,1.0000
7.500,1.1479,0.01290,0.00677,-0.0563,0.3495,1.0000
7.750,1.1672,0.01306,0.00701,-0.0549,0.3464,1.0000
8.000,1.1864,0.01326,0.00725,-0.0534,0.3428,1.0000
8.250,1.2044,0.01352,0.00751,-0.0518,0.3381,1.0000
8.500,1.2215,0.01377,0.00779,-0.0501,0.3330,1.0000
8.750,1.2328,0.01385,0.00794,-0.0470,0.3266,1.0000
9.000,1.2461,0.01412,0.00818,-0.0446,0.3213,1.0000
9.250,1.2604,0.01423,0.00839,-0.0422,0.3153,1.0000
9.500,1.2766,0.01442,0.00863,-0.0404,0.3100,1.0000
9.750,1.2921,0.01465,0.00890,-0.0385,0.3039,1.0000
10.000,1.3093,0.01483,0.00915,-0.0370,0.2956,1.0000
10.250,1.3257,0.01510,0.00945,-0.0354,0.2877,1.0000
10.500,1.3396,0.01547,0.00983,-0.0335,0.2769,1.0000
10.750,1.3502,0.01604,0.01035,-0.0313,0.2657,1.0000
11.000,1.3593,0.01678,0.01104,-0.0291,0.2539,1.0000
11.250,1.3706,0.01748,0.01176,-0.0272,0.2445,1.0000
11.500,1.3797,0.01834,0.01260,-0.0252,0.2373,1.0000
11.750,1.3919,0.01909,0.01339,-0.0237,0.2271,1.0000
12.000,1.4026,0.01995,0.01428,-0.0221,0.2147,1.0000
12.250,1.3968,0.02188,0.01594,-0.0192,0.1651,1.0000
12.500,1.3908,0.02397,0.01790,-0.0166,0.1420,1.0000
12.750,1.3789,0.02662,0.02043,-0.0138,0.1169,1.0000
13.000,1.3695,0.02927,0.02299,-0.0116,0.0959,1.0000
13.250,1.3623,0.03188,0.02554,-0.0099,0.0809,1.0000
13.500,1.3527,0.03487,0.02848,-0.0085,0.0651,1.0000
13.750,1.3439,0.03799,0.03157,-0.0074,0.0523,1.0000
14.000,1.3312,0.04171,0.03526,-0.0066,0.0394,1.0000
14.250,1.3189,0.04563,0.03917,-0.0062,0.0295,1.0000
14.500,1.2980,0.05074,0.04427,-0.0061,0.0184,1.0000
14.750,1.2910,0.05445,0.04804,-0.0062,0.0155,1.0000
15.000,1.2824,0.05842,0.05208,-0.0065,0.0132,1.0000
15.250,1.2713,0.06278,0.05652,-0.0069,0.0114,1.0000
15.500,1.2625,0.06692,0.06076,-0.0074,0.0101,1.0000
15.750,1.2581,0.07055,0.06449,-0.0079,0.0100,1.0000
16.000,1.2509,0.07461,0.06864,-0.0085,0.0095,1.0000
16.250,1.2443,0.07867,0.07279,-0.0092,0.0093,1.0000
