Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-dsma523b-il-200000
Airfoil,dsma523b-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,29.7512
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-dsma523b-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.6224,0.09817,0.09405,-0.0262,1.0000,0.0891
-10.000,-0.8806,0.05190,0.04593,-0.0549,1.0000,0.0572
-9.750,-0.8626,0.04908,0.04326,-0.0536,1.0000,0.0565
-9.500,-0.8491,0.04516,0.03909,-0.0547,1.0000,0.0562
-9.250,-0.8316,0.04128,0.03479,-0.0567,1.0000,0.0562
-9.000,-0.8089,0.03784,0.03086,-0.0589,1.0000,0.0564
-8.750,-0.7829,0.03504,0.02761,-0.0608,1.0000,0.0566
-8.500,-0.7540,0.03300,0.02507,-0.0627,1.0000,0.0571
-8.250,-0.7306,0.03045,0.02248,-0.0628,1.0000,0.0579
-8.000,-0.7071,0.02894,0.02101,-0.0625,1.0000,0.0590
-7.750,-0.6810,0.02770,0.01968,-0.0628,1.0000,0.0608
-7.500,-0.6521,0.02655,0.01825,-0.0636,1.0000,0.0627
-7.250,-0.6246,0.02515,0.01667,-0.0640,1.0000,0.0643
-7.000,-0.5996,0.02393,0.01551,-0.0636,1.0000,0.0660
-6.750,-0.5730,0.02302,0.01460,-0.0635,1.0000,0.0680
-6.500,-0.5444,0.02234,0.01378,-0.0638,1.0000,0.0704
-6.250,-0.5192,0.02124,0.01288,-0.0634,1.0000,0.0734
-6.000,-0.4911,0.02060,0.01226,-0.0637,1.0000,0.0766
-5.750,-0.4621,0.01984,0.01158,-0.0641,1.0000,0.0797
-5.500,-0.4316,0.01933,0.01116,-0.0651,1.0000,0.0842
-5.250,-0.3994,0.01879,0.01070,-0.0664,1.0000,0.0893
-5.000,-0.3673,0.01843,0.01038,-0.0677,1.0000,0.0951
-4.750,-0.3328,0.01798,0.01003,-0.0696,1.0000,0.1025
-4.500,-0.2982,0.01762,0.00972,-0.0714,1.0000,0.1118
-4.250,-0.2617,0.01724,0.00945,-0.0738,1.0000,0.1258
-4.000,-0.2188,0.01663,0.00917,-0.0779,1.0000,0.1690
-3.750,-0.1409,0.01494,0.00890,-0.0911,1.0000,0.4412
-3.500,-0.1374,0.01580,0.01053,-0.0841,1.0000,0.5588
-3.250,-0.1134,0.01629,0.01101,-0.0830,1.0000,0.6113
-3.000,-0.0892,0.01678,0.01146,-0.0819,1.0000,0.6328
-2.750,-0.0656,0.01733,0.01195,-0.0806,1.0000,0.6495
-2.500,-0.0510,0.01792,0.01258,-0.0770,1.0000,0.6558
-2.250,-0.0218,0.01826,0.01286,-0.0773,1.0000,0.6677
-2.000,-0.0073,0.01876,0.01341,-0.0737,1.0000,0.6720
-1.750,0.0123,0.01919,0.01386,-0.0716,1.0000,0.6788
-1.500,0.0393,0.01950,0.01415,-0.0714,1.0000,0.6875
-1.250,0.0530,0.01994,0.01467,-0.0678,1.0000,0.6920
-1.000,0.0739,0.02039,0.01515,-0.0660,1.0000,0.7015
-0.750,0.0848,0.02091,0.01575,-0.0616,1.0000,0.7100
-0.500,0.1018,0.02154,0.01644,-0.0588,1.0000,0.7250
-0.250,0.1042,0.02197,0.01698,-0.0523,1.0000,0.7330
0.000,0.1363,0.02231,0.01735,-0.0531,0.9977,0.7448
0.250,0.1963,0.02203,0.01714,-0.0580,0.9826,0.7508
0.500,0.2674,0.02139,0.01654,-0.0658,0.9672,0.7584
0.750,0.3050,0.02059,0.01582,-0.0668,0.9490,0.7648
1.000,0.3426,0.01937,0.01469,-0.0667,0.9302,0.7723
1.250,0.4669,0.01777,0.01154,-0.0820,0.5268,0.7841
1.500,0.4688,0.01948,0.01190,-0.0767,0.2555,0.7884
1.750,0.4898,0.02058,0.01232,-0.0756,0.1430,0.7939
2.000,0.5235,0.02127,0.01282,-0.0774,0.1206,0.7995
2.250,0.5389,0.02147,0.01294,-0.0743,0.1111,0.8029
2.500,0.5642,0.02173,0.01320,-0.0737,0.1043,0.8052
2.750,0.5917,0.02235,0.01371,-0.0738,0.0975,0.8065
3.000,0.6220,0.02283,0.01419,-0.0745,0.0926,0.8074
3.250,0.6519,0.02333,0.01467,-0.0751,0.0883,0.8091
3.500,0.6827,0.02407,0.01533,-0.0759,0.0845,0.8106
3.750,0.7153,0.02509,0.01633,-0.0772,0.0809,0.8113
4.000,0.7478,0.02565,0.01695,-0.0782,0.0778,0.8118
4.250,0.7804,0.02642,0.01775,-0.0794,0.0751,0.8128
4.500,0.8131,0.02733,0.01861,-0.0807,0.0723,0.8140
