Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-du06-w-200-dt-200000
Airfoil,du06-w-200-dt
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,48.6354
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-du06-w-200-dt-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.000,-1.1669,0.10266,0.09730,-0.0052,1.0000,0.0540
-18.750,-1.1751,0.09775,0.09225,-0.0075,1.0000,0.0557
-18.500,-1.1864,0.09238,0.08665,-0.0100,1.0000,0.0572
-18.250,-1.1832,0.08977,0.08411,-0.0105,1.0000,0.0595
-18.000,-1.1845,0.08619,0.08052,-0.0119,1.0000,0.0615
-17.750,-1.1884,0.08221,0.07644,-0.0135,1.0000,0.0637
-17.500,-1.1951,0.07784,0.07187,-0.0152,1.0000,0.0658
-17.250,-1.1929,0.07512,0.06917,-0.0156,1.0000,0.0684
-17.000,-1.1930,0.07190,0.06594,-0.0166,1.0000,0.0709
-16.750,-1.1942,0.06853,0.06247,-0.0177,1.0000,0.0736
-16.500,-1.1976,0.06487,0.05860,-0.0188,1.0000,0.0761
-16.250,-1.1929,0.06264,0.05647,-0.0188,1.0000,0.0794
-16.000,-1.1917,0.05980,0.05359,-0.0195,1.0000,0.0825
-15.750,-1.1913,0.05687,0.05052,-0.0201,1.0000,0.0859
-15.500,-1.1876,0.05452,0.04816,-0.0201,1.0000,0.0895
-15.250,-1.1842,0.05217,0.04581,-0.0204,1.0000,0.0931
-15.000,-1.1812,0.04976,0.04330,-0.0206,1.0000,0.0970
-14.750,-1.1764,0.04764,0.04110,-0.0205,1.0000,0.1010
-14.500,-1.1710,0.04571,0.03921,-0.0203,1.0000,0.1050
-14.250,-1.1664,0.04373,0.03716,-0.0202,1.0000,0.1095
-14.000,-1.1597,0.04194,0.03529,-0.0198,1.0000,0.1140
-13.750,-1.1528,0.04025,0.03365,-0.0194,1.0000,0.1185
-13.500,-1.1455,0.03858,0.03189,-0.0192,1.0000,0.1236
-13.250,-1.1364,0.03706,0.03035,-0.0186,1.0000,0.1287
-13.000,-1.1277,0.03558,0.02889,-0.0182,1.0000,0.1339
-12.750,-1.1186,0.03412,0.02730,-0.0179,1.0000,0.1395
-12.500,-1.1072,0.03282,0.02610,-0.0173,1.0000,0.1454
-12.250,-1.0967,0.03151,0.02474,-0.0169,1.0000,0.1516
-12.000,-1.0846,0.03028,0.02351,-0.0164,1.0000,0.1580
-11.750,-1.0727,0.02910,0.02234,-0.0159,1.0000,0.1646
-11.500,-1.0596,0.02798,0.02115,-0.0155,1.0000,0.1716
-11.250,-1.0462,0.02689,0.02016,-0.0149,1.0000,0.1786
-11.000,-1.0324,0.02587,0.01903,-0.0146,1.0000,0.1863
-10.750,-1.0179,0.02487,0.01817,-0.0140,1.0000,0.1940
-10.500,-1.0033,0.02394,0.01715,-0.0136,1.0000,0.2025
-10.250,-0.9887,0.02301,0.01635,-0.0129,1.0000,0.2109
-10.000,-0.9739,0.02216,0.01548,-0.0123,1.0000,0.2199
-9.750,-0.9595,0.02134,0.01474,-0.0117,1.0000,0.2291
-9.500,-0.9425,0.02057,0.01403,-0.0113,1.0000,0.2389
-9.250,-0.9252,0.01993,0.01338,-0.0109,1.0000,0.2497
-9.000,-0.9123,0.01932,0.01293,-0.0098,1.0000,0.2596
-8.750,-0.8723,0.01857,0.01223,-0.0136,0.9754,0.2751
-8.500,-0.8350,0.01789,0.01158,-0.0165,0.9499,0.2911
-8.250,-0.8075,0.01735,0.01104,-0.0171,0.9218,0.3062
-8.000,-0.7856,0.01689,0.01056,-0.0165,0.8977,0.3213
-7.750,-0.7652,0.01649,0.01013,-0.0154,0.8758,0.3367
-7.500,-0.7441,0.01611,0.00973,-0.0145,0.8571,0.3528
-7.250,-0.7220,0.01576,0.00936,-0.0137,0.8405,0.3695
-7.000,-0.6990,0.01544,0.00903,-0.0131,0.8254,0.3868
-6.750,-0.6752,0.01515,0.00872,-0.0125,0.8106,0.4045
-6.500,-0.6505,0.01488,0.00846,-0.0122,0.7957,0.4225
-6.250,-0.6252,0.01464,0.00822,-0.0118,0.7815,0.4406
-6.000,-0.5995,0.01444,0.00802,-0.0115,0.7684,0.4588
-5.750,-0.5736,0.01429,0.00784,-0.0111,0.7566,0.4767
-5.500,-0.5468,0.01414,0.00773,-0.0109,0.7434,0.4944
-5.250,-0.5197,0.01406,0.00767,-0.0106,0.7313,0.5117
-5.000,-0.4926,0.01407,0.00767,-0.0103,0.7204,0.5280
-4.750,-0.4647,0.01414,0.00778,-0.0100,0.7082,0.5435
-4.500,-0.4363,0.01432,0.00795,-0.0098,0.6974,0.5579
-4.250,-0.4078,0.01453,0.00810,-0.0095,0.6880,0.5717
-4.000,-0.3788,0.01485,0.00842,-0.0093,0.6773,0.5829
-3.750,-0.3500,0.01524,0.00872,-0.0090,0.6690,0.5923
-3.500,-0.3206,0.01544,0.00887,-0.0091,0.6588,0.6037
-3.000,-0.2623,0.01616,0.00948,-0.0088,0.6423,0.6201
-2.750,-0.2335,0.01666,0.00994,-0.0081,0.6353,0.6246
-2.500,-0.2041,0.01679,0.00998,-0.0086,0.6273,0.6354
-2.250,-0.1755,0.01728,0.01048,-0.0079,0.6202,0.6387
-2.000,-0.1469,0.01771,0.01088,-0.0073,0.6137,0.6435
