Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e1214-il-500000
Airfoil,e1214-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,78.2977
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-e1214-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.250,-0.9022,0.08941,0.08458,-0.0332,1.0000,0.0249
-17.000,-0.9015,0.08622,0.08135,-0.0344,1.0000,0.0254
-16.750,-0.8991,0.08337,0.07847,-0.0353,1.0000,0.0256
-16.500,-0.8989,0.08015,0.07519,-0.0365,1.0000,0.0260
-16.250,-0.8984,0.07709,0.07210,-0.0376,1.0000,0.0261
-16.000,-0.8981,0.07393,0.06887,-0.0387,1.0000,0.0265
-15.750,-0.9028,0.07035,0.06528,-0.0399,1.0000,0.0268
-15.500,-0.9073,0.06679,0.06170,-0.0412,1.0000,0.0271
-15.250,-0.9150,0.06287,0.05774,-0.0427,1.0000,0.0274
-15.000,-0.9240,0.05896,0.05378,-0.0440,1.0000,0.0278
-14.750,-0.9312,0.05528,0.05005,-0.0453,1.0000,0.0279
-14.500,-0.9411,0.05132,0.04602,-0.0467,1.0000,0.0283
-14.250,-0.9506,0.04737,0.04200,-0.0480,1.0000,0.0287
-14.000,-0.9596,0.04348,0.03802,-0.0493,1.0000,0.0291
-13.750,-0.9672,0.03971,0.03417,-0.0507,1.0000,0.0293
-13.500,-0.9736,0.03604,0.03041,-0.0520,1.0000,0.0297
-13.250,-0.9770,0.03278,0.02705,-0.0532,1.0000,0.0302
-13.000,-0.9876,0.02904,0.02322,-0.0544,1.0000,0.0308
-12.750,-0.9915,0.02651,0.02062,-0.0543,1.0000,0.0313
-12.500,-0.9946,0.02455,0.01860,-0.0532,1.0000,0.0322
-12.250,-0.9947,0.02317,0.01716,-0.0512,1.0000,0.0331
-12.000,-0.9956,0.02204,0.01597,-0.0484,1.0000,0.0343
-11.750,-1.0000,0.02102,0.01494,-0.0444,1.0000,0.0356
-11.500,-1.0026,0.02031,0.01420,-0.0399,1.0000,0.0373
-11.250,-1.0022,0.01958,0.01346,-0.0358,1.0000,0.0395
-11.000,-0.9983,0.01881,0.01270,-0.0322,1.0000,0.0434
-10.750,-0.9879,0.01787,0.01182,-0.0300,0.9983,0.0511
-10.500,-0.9555,0.01648,0.01058,-0.0324,0.9803,0.0719
-10.250,-0.9151,0.01521,0.00947,-0.0360,0.9419,0.0979
-10.000,-0.8609,0.01410,0.00841,-0.0421,0.8897,0.1266
-9.500,-0.8225,0.01329,0.00744,-0.0391,0.8038,0.1613
-9.250,-0.8027,0.01299,0.00710,-0.0376,0.7771,0.1774
-9.000,-0.7808,0.01277,0.00682,-0.0364,0.7542,0.1914
-8.750,-0.7576,0.01260,0.00658,-0.0354,0.7338,0.2037
-8.500,-0.7340,0.01242,0.00637,-0.0344,0.7152,0.2139
-8.250,-0.7090,0.01231,0.00618,-0.0337,0.6977,0.2224
-8.000,-0.6840,0.01219,0.00601,-0.0329,0.6820,0.2305
-7.750,-0.6582,0.01213,0.00584,-0.0323,0.6672,0.2376
-7.500,-0.6327,0.01204,0.00572,-0.0316,0.6528,0.2454
-7.250,-0.6058,0.01202,0.00560,-0.0312,0.6393,0.2526
-7.000,-0.5805,0.01194,0.00549,-0.0305,0.6263,0.2597
-6.750,-0.5534,0.01193,0.00541,-0.0301,0.6139,0.2659
-6.500,-0.5270,0.01188,0.00529,-0.0296,0.6022,0.2723
-6.250,-0.5005,0.01188,0.00526,-0.0291,0.5902,0.2790
-6.000,-0.4732,0.01190,0.00519,-0.0287,0.5792,0.2842
-5.750,-0.4464,0.01182,0.00503,-0.0282,0.5685,0.2888
-5.500,-0.4195,0.01172,0.00492,-0.0278,0.5587,0.2931
-5.250,-0.3923,0.01169,0.00483,-0.0274,0.5482,0.2971
-5.000,-0.3648,0.01167,0.00473,-0.0270,0.5385,0.3011
-4.750,-0.3371,0.01169,0.00464,-0.0267,0.5285,0.3043
-4.500,-0.3103,0.01151,0.00447,-0.0263,0.5198,0.3089
-4.250,-0.2829,0.01145,0.00439,-0.0260,0.5108,0.3131
-4.000,-0.2556,0.01146,0.00432,-0.0256,0.5021,0.3171
-3.750,-0.2275,0.01144,0.00425,-0.0254,0.4934,0.3210
