Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e338-il-1000000
Airfoil,e338-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,114.047
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-e338-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.3487,0.10563,0.10402,-0.0236,1.0000,0.0080
-10.250,-0.3461,0.10236,0.10078,-0.0245,1.0000,0.0081
-10.000,-0.3441,0.09866,0.09710,-0.0260,1.0000,0.0080
-9.750,-0.3410,0.09581,0.09426,-0.0265,1.0000,0.0082
-9.500,-0.3399,0.09186,0.09034,-0.0284,0.9997,0.0081
-9.250,-0.2966,0.08478,0.08319,-0.0422,0.9368,0.0083
-9.000,-0.2572,0.07763,0.07551,-0.0567,0.8180,0.0084
-8.750,-0.2634,0.07443,0.07212,-0.0577,0.7670,0.0085
-8.500,-0.2768,0.06983,0.06742,-0.0610,0.7408,0.0085
-8.250,-0.2901,0.06623,0.06372,-0.0616,0.7189,0.0085
-8.000,-0.3049,0.06318,0.06058,-0.0599,0.6998,0.0085
-7.750,-0.3113,0.06034,0.05763,-0.0586,0.6841,0.0086
-7.500,-0.3143,0.05704,0.05421,-0.0576,0.6699,0.0086
-7.250,-0.3140,0.05388,0.05093,-0.0563,0.6565,0.0086
-7.000,-0.3110,0.05081,0.04773,-0.0548,0.6444,0.0088
-6.750,-0.3055,0.04783,0.04460,-0.0533,0.6327,0.0089
-6.250,-0.2904,0.04154,0.03795,-0.0493,0.6111,0.0095
-6.000,-0.2800,0.03835,0.03456,-0.0471,0.6012,0.0098
-5.750,-0.2661,0.03338,0.02921,-0.0435,0.5922,0.0103
-5.500,-0.2652,0.02808,0.02349,-0.0393,0.5852,0.0106
-5.250,-0.2413,0.01270,0.00829,-0.0364,0.5634,0.0108
-5.000,-0.2242,0.01145,0.00690,-0.0351,0.5544,0.0110
-4.750,-0.2059,0.01016,0.00544,-0.0338,0.5457,0.0113
-4.500,-0.1974,0.01712,0.01107,-0.0297,0.5503,0.0080
-4.250,-0.1748,0.01484,0.00854,-0.0285,0.5412,0.0074
-4.000,-0.1495,0.01350,0.00697,-0.0276,0.5323,0.0072
-3.750,-0.1242,0.01275,0.00604,-0.0268,0.5231,0.0076
-3.500,-0.0978,0.01245,0.00563,-0.0264,0.5146,0.0079
-3.250,-0.0751,0.01150,0.00458,-0.0253,0.5067,0.0084
