Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e377m-il-200000
Airfoil,e377m-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,86.4097
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-e377m-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.1995,0.10089,0.09787,-0.0169,1.0000,0.0147
-7.500,-0.1941,0.09890,0.09595,-0.0172,1.0000,0.0150
-7.250,-0.1898,0.09709,0.09424,-0.0174,1.0000,0.0153
-7.000,-0.1636,0.09357,0.09075,-0.0232,0.9802,0.0158
-6.750,-0.1250,0.08951,0.08664,-0.0320,0.9516,0.0165
-6.500,-0.0850,0.08678,0.08382,-0.0411,0.9168,0.0171
-6.250,-0.0567,0.08527,0.08218,-0.0469,0.8814,0.0173
-6.000,-0.0368,0.08388,0.08065,-0.0503,0.8523,0.0174
-5.750,-0.0161,0.08239,0.07903,-0.0537,0.8276,0.0175
-5.500,-0.0058,0.07764,0.07422,-0.0535,0.8109,0.0177
-5.250,0.0020,0.07321,0.06971,-0.0523,0.7953,0.0182
-5.000,0.0182,0.07053,0.06692,-0.0536,0.7796,0.0188
-4.750,0.0376,0.06807,0.06436,-0.0557,0.7662,0.0197
-4.500,0.0595,0.06574,0.06194,-0.0583,0.7530,0.0213
-4.250,0.0857,0.06351,0.05963,-0.0617,0.7412,0.0236
-4.000,0.1276,0.06300,0.05897,-0.0684,0.7295,0.0250
-3.750,0.1683,0.06222,0.05802,-0.0748,0.7194,0.0252
-3.500,0.1971,0.05917,0.05489,-0.0784,0.7103,0.0255
-3.250,0.2046,0.05395,0.04967,-0.0771,0.7024,0.0263
-3.000,0.2269,0.05121,0.04683,-0.0786,0.6945,0.0273
-2.750,0.2553,0.04896,0.04451,-0.0814,0.6858,0.0289
-2.500,0.2867,0.04685,0.04226,-0.0844,0.6791,0.0311
-2.250,0.3312,0.04592,0.04120,-0.0895,0.6705,0.0349
-2.000,0.3757,0.04430,0.03936,-0.0948,0.6641,0.0360
-1.750,0.3933,0.04061,0.03569,-0.0952,0.6568,0.0374
-1.500,0.4219,0.03864,0.03359,-0.0970,0.6508,0.0395
-1.250,0.4549,0.03694,0.03182,-0.0995,0.6438,0.0424
-1.000,0.5018,0.03702,0.03163,-0.1032,0.6374,0.0467
-0.750,0.5399,0.03535,0.02981,-0.1061,0.6310,0.0475
-0.500,0.5595,0.03213,0.02659,-0.1066,0.6252,0.0495
-0.250,0.5896,0.03087,0.02520,-0.1078,0.6200,0.0555
0.000,0.6381,0.03213,0.02617,-0.1103,0.6131,0.0588
0.250,0.6598,0.02852,0.02254,-0.1112,0.6082,0.0602
0.500,0.6877,0.02710,0.02107,-0.1121,0.6025,0.0626
0.750,0.7191,0.02617,0.02002,-0.1130,0.5968,0.0671
1.000,0.7598,0.02675,0.02023,-0.1138,0.5921,0.0704
1.250,0.7831,0.02418,0.01775,-0.1146,0.5861,0.0729
1.500,0.8184,0.02477,0.01808,-0.1147,0.5809,0.0815
1.750,0.8490,0.02343,0.01657,-0.1153,0.5764,0.0820
2.000,0.8760,0.02182,0.01495,-0.1158,0.5705,0.0834
2.250,0.9045,0.02105,0.01406,-0.1159,0.5658,0.0893
2.500,0.9366,0.02134,0.01410,-0.1156,0.5610,0.1051
2.750,0.9644,0.02027,0.01296,-0.1159,0.5554,0.1184
3.000,0.9926,0.01989,0.01240,-0.1157,0.5508,0.1299
3.250,1.0201,0.01958,0.01202,-0.1157,0.5458,0.1414
3.750,1.0738,0.01869,0.01103,-0.1156,0.5359,0.1596
4.000,1.1008,0.01871,0.01103,-0.1154,0.5304,0.1774
4.250,1.1273,0.01835,0.01067,-0.1153,0.5248,0.1915
4.500,1.1540,0.01821,0.01041,-0.1151,0.5204,0.2157
4.750,1.1796,0.01802,0.01032,-0.1150,0.5137,0.2536
5.000,1.2056,0.01755,0.00991,-0.1148,0.5081,0.2902
5.250,1.2318,0.01739,0.00980,-0.1146,0.5019,0.3125
5.500,1.2582,0.01736,0.00978,-0.1142,0.4952,0.3210
5.750,1.2845,0.01736,0.00979,-0.1138,0.4893,0.3183
6.000,1.3107,0.01756,0.01004,-0.1132,0.4820,0.2900
6.250,1.3373,0.01777,0.01023,-0.1127,0.4759,0.2647
6.500,1.3629,0.01789,0.01045,-0.1121,0.4678,0.2360
6.750,1.3887,0.01795,0.01051,-0.1115,0.4607,0.2190
7.000,1.4139,0.01798,0.01063,-0.1109,0.4520,0.2104
7.250,1.4393,0.01801,0.01075,-0.1104,0.4433,0.2063
7.500,1.4646,0.01799,0.01078,-0.1099,0.4346,0.2091
7.750,1.4886,0.01801,0.01098,-0.1092,0.4236,0.2100
8.000,1.5125,0.01803,0.01112,-0.1085,0.4122,0.2086
8.250,1.5361,0.01808,0.01127,-0.1078,0.3999,0.2087
8.500,1.5593,0.01818,0.01147,-0.1070,0.3857,0.2097
8.750,1.5818,0.01832,0.01175,-0.1062,0.3684,0.2116
9.000,1.6029,0.01855,0.01201,-0.1052,0.3433,0.2141
9.250,1.6213,0.01903,0.01241,-0.1040,0.3070,0.2209
9.500,1.6365,0.01999,0.01318,-0.1026,0.2591,0.2258
9.750,1.6462,0.02153,0.01441,-0.1007,0.2094,0.2284
10.000,1.6533,0.02329,0.01590,-0.0987,0.1668,0.2316
10.250,1.6581,0.02512,0.01751,-0.0965,0.1299,0.2350
10.500,1.6610,0.02693,0.01922,-0.0940,0.1024,0.2386
10.750,1.6590,0.02876,0.02095,-0.0908,0.0801,0.2421
11.000,1.6488,0.03118,0.02324,-0.0873,0.0569,0.2449
11.250,1.6324,0.03462,0.02653,-0.0846,0.0350,0.2461
11.500,1.6177,0.03850,0.03037,-0.0829,0.0244,0.2480
11.750,1.6056,0.04256,0.03450,-0.0820,0.0204,0.2501
12.000,1.5995,0.04617,0.03830,-0.0815,0.0184,0.2556
12.250,1.5923,0.05007,0.04236,-0.0813,0.0169,0.2639
12.750,1.5755,0.05805,0.05127,-0.0818,0.0153,1.0000
13.000,1.5638,0.06286,0.05621,-0.0821,0.0147,1.0000
13.250,1.5522,0.06770,0.06119,-0.0824,0.0143,1.0000
13.500,1.5400,0.07268,0.06630,-0.0827,0.0139,1.0000
13.750,1.5358,0.07667,0.07040,-0.0828,0.0136,1.0000
14.000,1.5339,0.08045,0.07432,-0.0831,0.0131,1.0000
14.250,1.5321,0.08432,0.07832,-0.0835,0.0124,1.0000
14.500,1.5299,0.08832,0.08246,-0.0841,0.0117,1.0000
14.750,1.5275,0.09239,0.08665,-0.0847,0.0112,1.0000
15.000,1.5254,0.09641,0.09080,-0.0851,0.0109,1.0000
15.250,1.5237,0.10046,0.09499,-0.0856,0.0106,1.0000
15.500,1.5216,0.10466,0.09934,-0.0862,0.0104,1.0000
15.750,1.5190,0.10904,0.10393,-0.0870,0.0103,1.0000
16.000,1.5152,0.11377,0.10885,-0.0881,0.0102,1.0000
16.250,1.5100,0.11895,0.11423,-0.0897,0.0101,1.0000
16.500,1.5031,0.12460,0.12009,-0.0918,0.0101,1.0000
16.750,1.4946,0.13076,0.12648,-0.0945,0.0101,1.0000
17.000,1.4846,0.13743,0.13337,-0.0979,0.0101,1.0000
17.250,1.4735,0.14463,0.14080,-0.1018,0.0103,1.0000
17.500,1.4614,0.15235,0.14876,-0.1063,0.0104,1.0000
17.750,1.4485,0.16056,0.15718,-0.1115,0.0106,1.0000
18.000,1.4340,0.16962,0.16646,-0.1175,0.0107,1.0000
18.250,1.4190,0.17933,0.17636,-0.1241,0.0109,1.0000
18.500,1.4029,0.19014,0.18736,-0.1316,0.0111,1.0000
18.750,1.3858,0.20221,0.19955,-0.1399,0.0114,1.0000
