Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e863-il-50000
Airfoil,e863-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,2.45118
Max Cl/Cd alpha,-7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-e863-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-0.3795,0.22318,0.21377,0.0204,1.0000,0.3361
-19.500,-0.3548,0.21747,0.20811,0.0187,1.0000,0.3385
-19.250,-0.3372,0.21458,0.20526,0.0170,1.0000,0.3423
-19.000,-0.3265,0.21319,0.20389,0.0151,1.0000,0.3474
-18.500,-0.3076,0.20963,0.20042,0.0112,1.0000,0.3529
-18.250,-0.2873,0.20619,0.19704,0.0093,1.0000,0.3563
-18.000,-0.2731,0.20424,0.19515,0.0074,1.0000,0.3613
-17.750,-0.2787,0.20690,0.19785,0.0055,1.0000,0.3660
-17.500,-0.2592,0.20222,0.19326,0.0032,1.0000,0.3678
-17.250,-0.2343,0.19781,0.18896,0.0008,1.0000,0.3708
-17.000,-0.2151,0.19525,0.18652,-0.0018,1.0000,0.3753
-16.750,-0.2079,0.19526,0.18663,-0.0047,1.0000,0.3811
-16.500,-0.2028,0.19512,0.18662,-0.0081,1.0000,0.3834
-16.250,-0.1644,0.18884,0.18054,-0.0141,1.0000,0.3860
-16.000,-0.1317,0.18648,0.17833,-0.0213,0.9864,0.3905
-15.750,-0.1061,0.18628,0.17800,-0.0279,0.9303,0.3972
-15.500,-0.1121,0.18883,0.18040,-0.0299,0.9038,0.4002
-15.000,-0.0659,0.18032,0.17159,-0.0308,0.8528,0.4057
-14.750,-0.0521,0.17867,0.16984,-0.0315,0.8374,0.4105
-14.500,-0.0522,0.17943,0.17050,-0.0319,0.8259,0.4163
-14.250,-0.0577,0.18045,0.17143,-0.0321,0.8173,0.4186
-14.000,-0.0267,0.17477,0.16572,-0.0342,0.8035,0.4210
-13.750,-0.0077,0.17215,0.16300,-0.0345,0.7936,0.4247
-13.500,0.0092,0.17039,0.16123,-0.0364,0.7844,0.4298
-13.250,0.0067,0.17193,0.16272,-0.0373,0.7778,0.4358
-13.000,0.0086,0.17141,0.16216,-0.0380,0.7717,0.4381
-12.750,0.0368,0.16658,0.15724,-0.0391,0.7644,0.4406
-12.500,0.0627,0.16370,0.15439,-0.0420,0.7568,0.4446
-12.250,0.0788,0.16218,0.15286,-0.0436,0.7501,0.4498
-12.000,0.0682,0.16515,0.15577,-0.0436,0.7460,0.4565
-11.750,0.0766,0.16322,0.15379,-0.0442,0.7409,0.4586
-11.500,0.1069,0.15872,0.14925,-0.0461,0.7350,0.4612
-11.250,0.1329,0.15613,0.14671,-0.0490,0.7293,0.4653
-11.000,0.1498,0.15482,0.14540,-0.0510,0.7245,0.4709
-10.750,0.1288,0.15966,0.15019,-0.0502,0.7222,0.4782
