Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ea61009-il-1000000
Airfoil,ea61009-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,72.8591
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-ea61009-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.750,-1.0154,0.13127,0.12944,0.0304,1.0000,0.0097
-16.500,-1.1581,0.09418,0.09202,0.0082,1.0000,0.0088
-16.250,-1.2393,0.07197,0.06951,-0.0064,1.0000,0.0084
-16.000,-1.2731,0.06087,0.05821,-0.0144,1.0000,0.0085
-15.750,-1.3032,0.05210,0.04922,-0.0203,1.0000,0.0083
-15.500,-1.3158,0.04712,0.04409,-0.0229,1.0000,0.0084
-15.250,-1.3292,0.04262,0.03943,-0.0246,1.0000,0.0085
-15.000,-1.3388,0.03907,0.03573,-0.0251,1.0000,0.0085
-14.750,-1.3444,0.03625,0.03278,-0.0249,1.0000,0.0087
-14.500,-1.3496,0.03376,0.03015,-0.0240,1.0000,0.0087
-14.250,-1.3515,0.03178,0.02804,-0.0226,1.0000,0.0088
-14.000,-1.3481,0.03039,0.02653,-0.0210,1.0000,0.0090
-13.750,-1.3482,0.02894,0.02495,-0.0185,1.0000,0.0091
-13.500,-1.3403,0.02794,0.02385,-0.0165,1.0000,0.0092
-13.250,-1.3392,0.02585,0.02156,-0.0143,1.0000,0.0096
-13.000,-1.3292,0.02434,0.01993,-0.0128,1.0000,0.0100
-12.750,-1.3137,0.02324,0.01875,-0.0117,1.0000,0.0104
-12.500,-1.2961,0.02229,0.01771,-0.0108,1.0000,0.0107
-12.250,-1.2773,0.02141,0.01672,-0.0100,1.0000,0.0111
-12.000,-1.2576,0.02056,0.01578,-0.0092,1.0000,0.0115
-11.750,-1.2368,0.01980,0.01492,-0.0086,1.0000,0.0119
-11.500,-1.2168,0.01887,0.01387,-0.0078,1.0000,0.0124
-11.250,-1.1968,0.01788,0.01281,-0.0071,1.0000,0.0133
-11.000,-1.1744,0.01721,0.01210,-0.0066,1.0000,0.0141
-10.750,-1.1512,0.01660,0.01142,-0.0061,1.0000,0.0149
-10.500,-1.1280,0.01598,0.01073,-0.0056,1.0000,0.0158
-10.250,-1.1045,0.01535,0.01009,-0.0052,1.0000,0.0175
-10.000,-1.0795,0.01495,0.00966,-0.0050,1.0000,0.0191
-9.750,-1.0548,0.01448,0.00919,-0.0047,1.0000,0.0211
-9.500,-1.0283,0.01430,0.00902,-0.0045,1.0000,0.0231
-9.250,-1.0015,0.01416,0.00885,-0.0044,1.0000,0.0244
-9.000,-0.9756,0.01385,0.00857,-0.0042,1.0000,0.0265
-8.750,-0.9478,0.01391,0.00865,-0.0043,1.0000,0.0280
-8.500,-0.9199,0.01395,0.00869,-0.0043,1.0000,0.0294
-8.250,-0.8920,0.01402,0.00874,-0.0043,1.0000,0.0303
-8.000,-0.8670,0.01347,0.00814,-0.0041,1.0000,0.0317
-7.750,-0.8401,0.01330,0.00799,-0.0040,1.0000,0.0329
-7.500,-0.8126,0.01325,0.00795,-0.0040,1.0000,0.0339
-7.250,-0.7851,0.01318,0.00788,-0.0040,1.0000,0.0350
-7.000,-0.7575,0.01311,0.00779,-0.0040,1.0000,0.0362
-6.750,-0.7301,0.01296,0.00762,-0.0040,1.0000,0.0371
-6.500,-0.7021,0.01295,0.00758,-0.0041,1.0000,0.0378
-6.250,-0.6700,0.01214,0.00672,-0.0054,0.9701,0.0392
-6.000,-0.6392,0.01165,0.00620,-0.0062,0.9427,0.0408
-5.750,-0.6140,0.01144,0.00593,-0.0056,0.9249,0.0418
-5.500,-0.5885,0.01119,0.00564,-0.0052,0.9132,0.0427
-5.250,-0.5624,0.01097,0.00537,-0.0048,0.9043,0.0438
-4.750,-0.5100,0.01044,0.00476,-0.0041,0.8880,0.0457
-4.500,-0.4837,0.01023,0.00449,-0.0037,0.8806,0.0464
-4.250,-0.4566,0.01001,0.00425,-0.0035,0.8738,0.0470
-4.000,-0.4296,0.00987,0.00407,-0.0033,0.8675,0.0475
-3.750,-0.4029,0.00953,0.00370,-0.0031,0.8615,0.0483
-3.500,-0.3769,0.00903,0.00313,-0.0028,0.8547,0.0500
-3.250,-0.3501,0.00874,0.00282,-0.0025,0.8472,0.0515
-3.000,-0.3230,0.00854,0.00258,-0.0023,0.8388,0.0529
-2.750,-0.2957,0.00835,0.00237,-0.0020,0.8284,0.0543
-2.500,-0.2684,0.00821,0.00219,-0.0018,0.8200,0.0556
-2.250,-0.2405,0.00806,0.00203,-0.0017,0.8115,0.0570
-2.000,-0.2128,0.00795,0.00188,-0.0016,0.8030,0.0583
-1.750,-0.1852,0.00784,0.00175,-0.0014,0.7919,0.0591
-1.500,-0.1575,0.00770,0.00157,-0.0012,0.7774,0.0612
-1.250,-0.1298,0.00757,0.00141,-0.0010,0.7625,0.0658
-1.000,-0.1020,0.00745,0.00129,-0.0009,0.7472,0.0711
-0.750,-0.0756,0.00696,0.00112,-0.0008,0.7303,0.1793
-0.500,-0.0504,0.00623,0.00094,-0.0007,0.7064,0.3514
-0.250,-0.0258,0.00558,0.00079,-0.0004,0.6701,0.5240
0.000,0.0000,0.00540,0.00076,0.0000,0.6203,0.6202
0.250,0.0258,0.00557,0.00079,0.0004,0.5246,0.6704
0.500,0.0504,0.00623,0.00094,0.0007,0.3502,0.7061
0.750,0.0757,0.00697,0.00112,0.0008,0.1786,0.7299
1.000,0.1020,0.00745,0.00129,0.0009,0.0711,0.7471
1.250,0.1298,0.00757,0.00141,0.0010,0.0657,0.7624
1.500,0.1575,0.00770,0.00157,0.0012,0.0611,0.7774
1.750,0.1851,0.00784,0.00175,0.0014,0.0591,0.7920
2.000,0.2128,0.00794,0.00188,0.0016,0.0583,0.8030
2.250,0.2405,0.00806,0.00203,0.0017,0.0570,0.8115
2.500,0.2684,0.00821,0.00219,0.0018,0.0556,0.8200
2.750,0.2957,0.00836,0.00237,0.0020,0.0543,0.8283
3.000,0.3230,0.00854,0.00258,0.0023,0.0529,0.8387
3.250,0.3501,0.00875,0.00282,0.0025,0.0515,0.8473
3.500,0.3769,0.00903,0.00314,0.0028,0.0499,0.8547
3.750,0.4028,0.00954,0.00371,0.0031,0.0483,0.8615
4.000,0.4295,0.00988,0.00407,0.0033,0.0475,0.8675
4.250,0.4566,0.01001,0.00425,0.0036,0.0470,0.8738
4.500,0.4837,0.01023,0.00449,0.0037,0.0464,0.8807
4.750,0.5100,0.01044,0.00476,0.0041,0.0457,0.8880
5.250,0.5624,0.01097,0.00537,0.0048,0.0439,0.9043
5.500,0.5886,0.01119,0.00563,0.0052,0.0427,0.9133
5.750,0.6140,0.01144,0.00593,0.0056,0.0418,0.9250
6.000,0.6392,0.01165,0.00620,0.0062,0.0409,0.9430
6.250,0.6703,0.01212,0.00670,0.0053,0.0393,0.9702
6.500,0.7023,0.01293,0.00756,0.0040,0.0378,1.0000
6.750,0.7303,0.01295,0.00761,0.0040,0.0371,1.0000
7.000,0.7576,0.01312,0.00779,0.0040,0.0362,1.0000
7.250,0.7852,0.01320,0.00789,0.0040,0.0350,1.0000
7.500,0.8127,0.01325,0.00795,0.0040,0.0339,1.0000
7.750,0.8403,0.01329,0.00798,0.0040,0.0329,1.0000
8.000,0.8671,0.01348,0.00815,0.0040,0.0316,1.0000
8.250,0.8922,0.01401,0.00873,0.0043,0.0303,1.0000
8.500,0.9203,0.01392,0.00866,0.0042,0.0293,1.0000
8.750,0.9480,0.01390,0.00864,0.0042,0.0279,1.0000
9.000,0.9759,0.01385,0.00856,0.0042,0.0265,1.0000
9.250,1.0019,0.01415,0.00884,0.0044,0.0244,1.0000
