Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eh3012-il-100000
Airfoil,eh3012-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,39.5558
Max Cl/Cd alpha,11.75
Url,http://airfoiltools.com/polar/csv?polar=xf-eh3012-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4152,0.10732,0.10281,-0.0109,1.0000,0.0933
-9.250,-0.4348,0.10436,0.09996,-0.0177,1.0000,0.0940
-9.000,-0.4591,0.10106,0.09673,-0.0234,1.0000,0.0943
-8.750,-0.4018,0.09517,0.09083,-0.0141,1.0000,0.0977
-8.500,-0.3943,0.09187,0.08757,-0.0145,1.0000,0.1004
-8.250,-0.3943,0.08838,0.08415,-0.0165,1.0000,0.1035
-8.000,-0.4089,0.08440,0.08028,-0.0215,1.0000,0.1066
-7.750,-0.4428,0.08200,0.07785,-0.0259,1.0000,0.1086
-7.500,-0.4497,0.07755,0.07339,-0.0271,1.0000,0.1100
-7.250,-0.4238,0.07321,0.06925,-0.0252,1.0000,0.1128
-7.000,-0.4168,0.07022,0.06632,-0.0251,1.0000,0.1164
-6.750,-0.4238,0.06771,0.06381,-0.0258,1.0000,0.1217
-6.500,-0.4245,0.06403,0.06003,-0.0292,0.9823,0.1262
-6.250,-0.3928,0.06048,0.05607,-0.0358,0.9547,0.1405
-6.000,-0.3544,0.05512,0.05095,-0.0384,0.9331,0.1474
-5.750,-0.3347,0.05159,0.04714,-0.0404,0.9053,0.1598
-5.500,-0.3225,0.04924,0.04447,-0.0397,0.8798,0.1735
-5.250,-0.3069,0.04663,0.04179,-0.0381,0.8564,0.1806
-5.000,-0.2867,0.03588,0.02914,-0.0356,0.8432,0.0779
-4.750,-0.2690,0.03306,0.02593,-0.0336,0.8254,0.0755
-4.500,-0.2492,0.03089,0.02328,-0.0316,0.8090,0.0766
-4.250,-0.2277,0.02888,0.02076,-0.0297,0.7937,0.0778
-4.000,-0.2042,0.02699,0.01840,-0.0280,0.7794,0.0787
-3.750,-0.1798,0.02521,0.01628,-0.0267,0.7658,0.0821
-3.500,-0.1553,0.02423,0.01519,-0.0257,0.7526,0.0891
-3.250,-0.1284,0.02296,0.01357,-0.0245,0.7403,0.0953
-3.000,-0.1027,0.02203,0.01260,-0.0237,0.7271,0.1078
-2.750,-0.0769,0.02102,0.01157,-0.0229,0.7148,0.1251
-2.500,-0.0527,0.02018,0.01085,-0.0220,0.7038,0.1510
-2.250,-0.0294,0.01944,0.01019,-0.0208,0.6936,0.1827
-2.000,-0.0069,0.01875,0.00970,-0.0196,0.6822,0.2209
-1.750,0.0119,0.01773,0.00914,-0.0178,0.6729,0.2987
-1.500,0.2346,0.01751,0.01018,-0.0461,0.6512,0.9977
-1.250,0.2618,0.01748,0.00993,-0.0464,0.6413,1.0000
-1.000,0.2830,0.01751,0.00977,-0.0455,0.6319,1.0000
-0.750,0.3048,0.01760,0.00974,-0.0448,0.6220,1.0000
-0.500,0.3260,0.01766,0.00959,-0.0437,0.6144,1.0000
-0.250,0.3480,0.01778,0.00964,-0.0431,0.6042,1.0000
0.000,0.3697,0.01788,0.00958,-0.0422,0.5969,1.0000
0.250,0.3917,0.01803,0.00968,-0.0415,0.5877,1.0000
0.500,0.4136,0.01817,0.00968,-0.0406,0.5805,1.0000
0.750,0.4355,0.01834,0.00979,-0.0399,0.5716,1.0000
1.000,0.4573,0.01850,0.00985,-0.0390,0.5644,1.0000
1.250,0.4792,0.01870,0.01000,-0.0382,0.5560,1.0000
1.500,0.5010,0.01890,0.01010,-0.0372,0.5494,1.0000
1.750,0.5225,0.01916,0.01037,-0.0364,0.5411,1.0000
