Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-eiffel385-il-100000
Airfoil,eiffel385-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,52.4645
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-eiffel385-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.3108,0.09951,0.09446,-0.0292,1.0000,0.1697
-11.000,-0.3427,0.09903,0.09413,-0.0279,1.0000,0.1732
-10.750,-0.4586,0.08861,0.08393,-0.0325,1.0000,0.1325
-10.500,-0.4599,0.08677,0.08216,-0.0291,1.0000,0.1333
-10.250,-0.4656,0.08536,0.08081,-0.0262,1.0000,0.1339
-10.000,-0.4502,0.08327,0.07873,-0.0266,0.9967,0.1357
-9.750,-0.4438,0.06800,0.06330,-0.0475,0.9832,0.1262
-9.500,-0.4538,0.03962,0.03359,-0.0782,0.9694,0.1358
-9.250,-0.4217,0.03689,0.03042,-0.0817,0.9590,0.1473
-9.000,-0.3767,0.03980,0.03372,-0.0819,0.9505,0.1540
-8.750,-0.3383,0.03867,0.03240,-0.0849,0.9418,0.1648
-8.500,-0.3077,0.03663,0.02996,-0.0875,0.9313,0.1767
-8.250,-0.2633,0.03741,0.03084,-0.0895,0.9249,0.1866
-8.000,-0.2344,0.03705,0.03044,-0.0900,0.9142,0.1950
-7.750,-0.1940,0.03479,0.02763,-0.0941,0.9081,0.2075
-7.500,-0.1660,0.03519,0.02831,-0.0933,0.8977,0.2125
-7.250,-0.1260,0.03329,0.02603,-0.0966,0.8920,0.2209
-7.000,-0.0985,0.03172,0.02419,-0.0975,0.8828,0.2265
-6.750,-0.0608,0.03098,0.02345,-0.0991,0.8763,0.2318
-6.500,-0.0152,0.02925,0.02123,-0.1028,0.8727,0.2406
-6.250,0.0052,0.02851,0.02045,-0.1018,0.8617,0.2449
-6.000,0.0485,0.02766,0.01954,-0.1043,0.8572,0.2522
-5.750,0.0811,0.02671,0.01831,-0.1052,0.8502,0.2612
-5.500,0.1109,0.02629,0.01794,-0.1054,0.8420,0.2684
-5.250,0.1538,0.02525,0.01669,-0.1078,0.8379,0.2797
-5.000,0.1745,0.02517,0.01665,-0.1064,0.8276,0.2874
-4.750,0.2128,0.02456,0.01596,-0.1078,0.8221,0.2998
-4.500,0.2433,0.02430,0.01558,-0.1080,0.8146,0.3116
-4.250,0.2721,0.02402,0.01535,-0.1078,0.8064,0.3204
-4.000,0.3144,0.02337,0.01455,-0.1098,0.8019,0.3321
-3.750,0.3326,0.02345,0.01470,-0.1079,0.7907,0.3394
-3.500,0.3725,0.02289,0.01402,-0.1094,0.7852,0.3507
-3.250,0.3932,0.02293,0.01410,-0.1080,0.7747,0.3586
-3.000,0.4302,0.02245,0.01356,-0.1090,0.7683,0.3700
-2.750,0.4527,0.02251,0.01362,-0.1079,0.7585,0.3806
-2.500,0.4866,0.02210,0.01322,-0.1085,0.7514,0.3917
-2.250,0.5113,0.02209,0.01316,-0.1077,0.7422,0.4016
-2.000,0.5432,0.02171,0.01282,-0.1080,0.7343,0.4109
-1.750,0.5695,0.02164,0.01274,-0.1075,0.7255,0.4201
-1.500,0.6006,0.02135,0.01247,-0.1077,0.7170,0.4320
-1.250,0.6269,0.02123,0.01244,-0.1073,0.7079,0.4463
-1.000,0.6570,0.02093,0.01223,-0.1073,0.6992,0.4668
-0.750,0.6842,0.02080,0.01226,-0.1070,0.6895,0.4941
-0.500,0.7168,0.02030,0.01206,-0.1074,0.6808,0.5530
-0.250,0.7679,0.01938,0.01210,-0.1116,0.6696,1.0000
0.000,0.8020,0.01942,0.01189,-0.1123,0.6612,1.0000
0.250,0.8219,0.01987,0.01230,-0.1108,0.6493,1.0000
0.500,0.8522,0.02002,0.01230,-0.1108,0.6402,1.0000
0.750,0.8750,0.02036,0.01260,-0.1098,0.6287,1.0000
1.000,0.8989,0.02073,0.01292,-0.1089,0.6180,1.0000
1.250,0.9284,0.02089,0.01297,-0.1089,0.6080,1.0000
1.500,0.9480,0.02136,0.01346,-0.1074,0.5959,1.0000
1.750,0.9781,0.02155,0.01354,-0.1075,0.5866,1.0000
2.000,0.9983,0.02196,0.01399,-0.1061,0.5746,1.0000
2.250,1.0210,0.02235,0.01438,-0.1051,0.5636,1.0000
2.500,1.0496,0.02251,0.01446,-0.1050,0.5539,1.0000
2.750,1.0678,0.02303,0.01506,-0.1034,0.5423,1.0000
3.000,1.0983,0.02319,0.01512,-0.1036,0.5338,1.0000
3.250,1.1162,0.02363,0.01566,-0.1019,0.5220,1.0000
3.500,1.1387,0.02391,0.01595,-0.1009,0.5112,1.0000
3.750,1.1676,0.02391,0.01586,-0.1008,0.5013,1.0000
4.000,1.1847,0.02430,0.01634,-0.0990,0.4893,1.0000
4.250,1.2086,0.02441,0.01643,-0.0982,0.4783,1.0000
4.500,1.2350,0.02442,0.01637,-0.0977,0.4675,1.0000
4.750,1.2514,0.02477,0.01680,-0.0958,0.4553,1.0000
5.000,1.2721,0.02486,0.01688,-0.0944,0.4426,1.0000
5.250,1.2948,0.02488,0.01682,-0.0934,0.4299,1.0000
5.500,1.3144,0.02508,0.01702,-0.0920,0.4175,1.0000
5.750,1.3290,0.02550,0.01753,-0.0899,0.4054,1.0000
6.000,1.3477,0.02583,0.01786,-0.0885,0.3941,1.0000
6.250,1.3688,0.02609,0.01806,-0.0874,0.3824,1.0000
6.500,1.3789,0.02661,0.01872,-0.0847,0.3704,1.0000
6.750,1.3918,0.02706,0.01923,-0.0824,0.3583,1.0000
7.000,1.4048,0.02745,0.01962,-0.0802,0.3457,1.0000
7.250,1.4142,0.02787,0.02003,-0.0774,0.3320,1.0000
7.500,1.4123,0.02846,0.02075,-0.0728,0.3184,1.0000
7.750,1.4102,0.02915,0.02150,-0.0685,0.3033,1.0000
8.000,1.4052,0.03001,0.02240,-0.0641,0.2860,1.0000
8.250,1.3971,0.03117,0.02353,-0.0598,0.2660,1.0000
8.500,1.3831,0.03292,0.02533,-0.0555,0.2405,1.0000
8.750,1.3661,0.03532,0.02758,-0.0517,0.2119,1.0000
9.000,1.3500,0.03818,0.03020,-0.0487,0.1881,1.0000
9.250,1.3383,0.04116,0.03304,-0.0465,0.1684,1.0000
9.500,1.3312,0.04398,0.03572,-0.0448,0.1555,1.0000
9.750,1.3281,0.04658,0.03815,-0.0434,0.1460,1.0000
10.000,1.3307,0.04884,0.04044,-0.0423,0.1377,1.0000
10.250,1.3375,0.05075,0.04217,-0.0412,0.1310,1.0000
10.500,1.3443,0.05276,0.04427,-0.0403,0.1250,1.0000
10.750,1.3638,0.05382,0.04506,-0.0394,0.1188,1.0000
11.000,1.3699,0.05600,0.04746,-0.0387,0.1149,1.0000
11.250,1.3806,0.05781,0.04929,-0.0380,0.1103,1.0000
11.500,1.4074,0.05878,0.05010,-0.0375,0.1053,1.0000
11.750,1.4083,0.06140,0.05296,-0.0369,0.1024,1.0000
12.000,1.4157,0.06362,0.05529,-0.0364,0.0989,1.0000
12.250,1.4511,0.06448,0.05592,-0.0362,0.0939,1.0000
12.500,1.4433,0.06775,0.05949,-0.0356,0.0921,1.0000
12.750,1.4402,0.07092,0.06291,-0.0352,0.0900,1.0000
13.000,1.4386,0.07404,0.06622,-0.0350,0.0877,1.0000
13.250,1.4767,0.07500,0.06691,-0.0348,0.0831,1.0000
13.500,1.4579,0.07933,0.07157,-0.0347,0.0823,1.0000
13.750,1.4387,0.08409,0.07666,-0.0350,0.0815,1.0000
14.000,1.4194,0.08926,0.08213,-0.0358,0.0807,1.0000
14.250,1.3970,0.09507,0.08823,-0.0371,0.0800,1.0000
14.500,1.3717,0.10164,0.09508,-0.0392,0.0796,1.0000
14.750,1.3407,0.10946,0.10320,-0.0421,0.0795,1.0000
15.000,1.3004,0.11941,0.11346,-0.0467,0.0800,1.0000
15.250,1.2489,0.13254,0.12689,-0.0536,0.0812,1.0000
15.500,1.1900,0.14918,0.14373,-0.0627,0.0828,1.0000
