Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fg1-il-500000
Airfoil,fg1-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,93.5635
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fg1-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4175,0.08916,0.08687,-0.0238,1.0000,0.0224
-8.500,-0.4268,0.08674,0.08450,-0.0233,1.0000,0.0231
-8.250,-0.4460,0.08540,0.08323,-0.0200,1.0000,0.0230
-8.000,-0.4383,0.07865,0.07644,-0.0332,0.9956,0.0237
-7.750,-0.4148,0.07139,0.06904,-0.0438,0.9910,0.0238
-7.500,-0.3985,0.06517,0.06274,-0.0487,0.9875,0.0240
-7.250,-0.3812,0.06161,0.05916,-0.0508,0.9856,0.0242
-7.000,-0.3637,0.05848,0.05600,-0.0527,0.9825,0.0245
-6.750,-0.3452,0.05545,0.05292,-0.0546,0.9785,0.0248
-6.500,-0.3216,0.05204,0.04942,-0.0576,0.9758,0.0254
-6.250,-0.2949,0.04836,0.04562,-0.0610,0.9739,0.0263
-6.000,-0.2771,0.04498,0.04208,-0.0616,0.9679,0.0274
-5.750,-0.2431,0.04052,0.03698,-0.0636,0.9640,0.0289
-5.500,-0.2209,0.03536,0.03169,-0.0655,0.9621,0.0294
-5.250,-0.2039,0.03322,0.02951,-0.0647,0.9560,0.0297
-5.000,-0.1771,0.03114,0.02735,-0.0659,0.9528,0.0302
-4.750,-0.1471,0.02916,0.02525,-0.0673,0.9507,0.0311
-4.500,-0.1153,0.02706,0.02296,-0.0686,0.9492,0.0326
-4.250,-0.0900,0.02687,0.02228,-0.0663,0.9426,0.0350
-4.000,-0.0663,0.02271,0.01795,-0.0668,0.9397,0.0361
-3.750,-0.0341,0.02105,0.01623,-0.0682,0.9378,0.0371
-3.500,0.0014,0.01967,0.01475,-0.0701,0.9362,0.0387
-3.250,0.0296,0.01945,0.01429,-0.0694,0.9308,0.0421
-3.000,0.0600,0.01721,0.01184,-0.0703,0.9273,0.0447
