Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx049915-il-100000
Airfoil,fx049915-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,6.18341
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx049915-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.1705,0.11706,0.11103,-0.0521,0.6394,0.0742
-10.750,-0.1657,0.11425,0.10826,-0.0536,0.6377,0.0765
-10.500,-0.1691,0.11222,0.10630,-0.0563,0.6363,0.0791
-10.250,-0.1803,0.11080,0.10498,-0.0600,0.6353,0.0801
-10.000,-0.1942,0.10912,0.10340,-0.0640,0.6341,0.0805
-9.750,-0.1549,0.10246,0.09665,-0.0599,0.6309,0.0832
-9.500,-0.1442,0.09961,0.09381,-0.0601,0.6291,0.0856
-9.250,-0.1400,0.09688,0.09110,-0.0611,0.6277,0.0884
-9.000,-0.1419,0.09431,0.08857,-0.0630,0.6266,0.0913
-8.750,-0.1592,0.09221,0.08658,-0.0674,0.6259,0.0932
-8.500,-0.1839,0.09001,0.08446,-0.0714,0.6255,0.0937
-8.250,-0.2063,0.08831,0.08271,-0.0737,0.6249,0.0941
-8.000,-0.1404,0.08232,0.07675,-0.0680,0.6225,0.0986
-7.750,-0.1398,0.07971,0.07421,-0.0688,0.6215,0.1015
-7.500,-0.1497,0.07733,0.07190,-0.0700,0.6208,0.1044
-7.250,-0.1780,0.07550,0.06992,-0.0744,0.6206,0.1082
-7.000,-0.1679,0.07111,0.06564,-0.0741,0.6194,0.1106
-6.750,-0.1492,0.06901,0.06364,-0.0724,0.6176,0.1165
-6.500,-0.1677,0.06860,0.06274,-0.0746,0.6170,0.1241
-6.250,-0.1444,0.06364,0.05817,-0.0734,0.6151,0.1289
-6.000,-0.1477,0.06223,0.05640,-0.0739,0.6141,0.1411
-5.750,-0.1279,0.05916,0.05357,-0.0727,0.6127,0.1463
-5.500,-0.1205,0.05712,0.05141,-0.0723,0.6118,0.1602
-5.250,-0.1099,0.05542,0.04966,-0.0715,0.6110,0.1762
-5.000,-0.0964,0.05403,0.04832,-0.0701,0.6101,0.1970
-4.750,-0.0870,0.05277,0.04703,-0.0687,0.6094,0.2260
-4.250,-0.0648,0.05048,0.04486,-0.0643,0.6079,0.2936
-3.750,-0.0097,0.04199,0.03405,-0.0662,0.6061,0.1380
-3.500,0.0109,0.04109,0.03248,-0.0645,0.6052,0.1241
-3.250,0.0302,0.04007,0.03125,-0.0637,0.6048,0.1239
-3.000,0.0496,0.03957,0.03050,-0.0629,0.6047,0.1244
-2.750,0.0685,0.03848,0.02939,-0.0627,0.6048,0.1279
-2.500,0.0881,0.03844,0.02925,-0.0623,0.6049,0.1301
-2.250,0.1056,0.03881,0.02954,-0.0619,0.6047,0.1343
-2.000,-0.1493,0.05737,0.04969,-0.0514,0.7458,0.1231
-1.750,-0.1200,0.05624,0.04821,-0.0513,0.7410,0.1222
-1.500,-0.1082,0.05573,0.04743,-0.0490,0.7310,0.1221
-1.250,-0.0796,0.05555,0.04681,-0.0485,0.7249,0.1247
-1.000,-0.0429,0.05526,0.04640,-0.0500,0.7223,0.1289
-0.750,-0.0426,0.05480,0.04585,-0.0465,0.7096,0.1312
-0.500,-0.0083,0.05536,0.04622,-0.0473,0.7066,0.1357
-0.250,-0.0060,0.05532,0.04604,-0.0442,0.6951,0.1377
0.000,0.0264,0.05579,0.04641,-0.0449,0.6910,0.1423
0.250,0.0327,0.05596,0.04658,-0.0426,0.6814,0.1444
0.500,0.0597,0.05648,0.04710,-0.0427,0.6757,0.1501
0.750,0.0940,0.05766,0.04823,-0.0436,0.6732,0.1555
1.000,0.0884,0.05764,0.04818,-0.0400,0.6618,0.1569
1.250,0.1183,0.05847,0.04909,-0.0404,0.6581,0.1644
1.500,0.1213,0.05904,0.04961,-0.0380,0.6488,0.1690
1.750,0.1470,0.05988,0.05044,-0.0381,0.6432,0.1784
2.000,0.1855,0.06144,0.05204,-0.0402,0.6407,0.1989
2.250,0.3128,0.06374,0.05657,-0.0617,0.6395,1.0000
2.500,0.2969,0.06353,0.05628,-0.0574,0.6262,1.0000
2.750,0.3319,0.06559,0.05812,-0.0583,0.6239,1.0000
3.000,0.3187,0.06596,0.05842,-0.0548,0.6121,1.0000
3.250,0.3487,0.06767,0.05997,-0.0552,0.6088,1.0000
3.500,0.3856,0.07013,0.06229,-0.0564,0.6070,1.0000
3.750,0.3668,0.07009,0.06221,-0.0526,0.5943,1.0000
4.000,0.3980,0.07209,0.06410,-0.0532,0.5918,1.0000
4.250,0.4288,0.07477,0.06667,-0.0541,0.5901,1.0000
4.500,0.4129,0.07453,0.06641,-0.0507,0.5771,1.0000
4.750,0.4465,0.07684,0.06864,-0.0515,0.5750,1.0000
5.000,0.4285,0.07744,0.06922,-0.0487,0.5638,1.0000
5.250,0.4558,0.07925,0.07098,-0.0490,0.5603,1.0000
5.500,0.4917,0.08186,0.07353,-0.0499,0.5584,1.0000
5.750,0.4696,0.08225,0.07392,-0.0471,0.5465,1.0000
6.000,0.4973,0.08427,0.07590,-0.0474,0.5436,1.0000
6.250,0.5323,0.08709,0.07869,-0.0483,0.5420,1.0000
6.500,0.5073,0.08739,0.07899,-0.0456,0.5299,1.0000
6.750,0.5368,0.08957,0.08115,-0.0461,0.5271,1.0000
7.000,0.5723,0.09263,0.08421,-0.0470,0.5257,1.0000
7.250,0.5413,0.09284,0.08444,-0.0444,0.5138,1.0000
7.500,0.5708,0.09510,0.08669,-0.0448,0.5109,1.0000
7.750,0.6082,0.09836,0.08997,-0.0458,0.5095,1.0000
