Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx05h126-il-100000
Airfoil,fx05h126-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,25.074
Max Cl/Cd alpha,11.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx05h126-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.3907,0.13935,0.13487,-0.0019,0.7613,0.0669
-11.000,-0.3959,0.13803,0.13360,-0.0071,0.7603,0.0676
-10.750,-0.3993,0.13614,0.13176,-0.0120,0.7594,0.0679
-10.500,-0.3737,0.12797,0.12354,-0.0100,0.7578,0.0695
-10.250,-0.3558,0.12372,0.11925,-0.0096,0.7563,0.0718
-10.000,-0.3463,0.12050,0.11602,-0.0109,0.7550,0.0746
-9.750,-0.3410,0.11752,0.11304,-0.0130,0.7537,0.0778
-9.500,-0.3439,0.11528,0.11082,-0.0172,0.7527,0.0809
-9.250,-0.3543,0.11366,0.10928,-0.0244,0.7518,0.0820
-9.000,-0.3631,0.11112,0.10682,-0.0322,0.7509,0.0824
-8.750,-0.3182,0.10377,0.09940,-0.0248,0.7495,0.0862
-8.500,-0.3066,0.10054,0.09618,-0.0268,0.7485,0.0892
-8.250,-0.3007,0.09738,0.09305,-0.0303,0.7476,0.0928
-8.000,-0.3071,0.09451,0.09025,-0.0377,0.7469,0.0960
-7.750,-0.3272,0.09248,0.08818,-0.0476,0.7465,0.0971
-7.500,-0.3064,0.08704,0.08282,-0.0459,0.7453,0.0993
-7.250,-0.2871,0.08416,0.07994,-0.0446,0.7438,0.1030
-7.000,-0.2814,0.08118,0.07694,-0.0481,0.7427,0.1076
-6.750,-0.2944,0.07857,0.07401,-0.0581,0.7423,0.1129
-6.500,-0.2701,0.07431,0.06995,-0.0559,0.7414,0.1160
-6.250,-0.2560,0.07181,0.06742,-0.0574,0.7409,0.1222
-6.000,-0.2493,0.06860,0.06403,-0.0615,0.7407,0.1303
-5.750,-0.2412,0.06812,0.06312,-0.0645,0.7404,0.1435
-5.500,-0.2214,0.06380,0.05912,-0.0631,0.7393,0.1486
-5.250,-0.2110,0.06167,0.05678,-0.0643,0.7384,0.1616
-5.000,-0.1979,0.05999,0.05493,-0.0651,0.7380,0.1763
-4.750,-0.1822,0.05811,0.05298,-0.0661,0.7383,0.1922
-4.500,-0.1667,0.05623,0.05110,-0.0667,0.7386,0.2087
-4.250,-0.1527,0.05451,0.04940,-0.0660,0.7381,0.2266
-3.000,-0.0711,0.04581,0.03799,-0.0655,0.7538,0.0965
-1.250,-0.0954,0.04522,0.03630,-0.0433,0.8315,0.0817
-1.000,-0.0553,0.04525,0.03608,-0.0452,0.8272,0.0814
-0.750,-0.0392,0.04471,0.03538,-0.0433,0.8147,0.0828
-0.500,-0.0206,0.04428,0.03498,-0.0423,0.8054,0.0863
-0.250,0.0124,0.04458,0.03526,-0.0432,0.7989,0.0909
0.000,0.0274,0.04451,0.03516,-0.0414,0.7876,0.0945
0.250,0.0615,0.04516,0.03585,-0.0423,0.7832,0.1020
0.500,0.0706,0.04504,0.03571,-0.0398,0.7717,0.1133
0.750,0.1908,0.04439,0.03757,-0.0597,0.7699,1.0000
1.000,0.2021,0.04512,0.03812,-0.0578,0.7587,1.0000
1.250,0.2370,0.04675,0.03954,-0.0592,0.7537,1.0000
1.500,0.2411,0.04720,0.03987,-0.0564,0.7423,1.0000
1.750,0.2788,0.04913,0.04163,-0.0583,0.7383,1.0000
2.000,0.2812,0.04941,0.04181,-0.0553,0.7261,1.0000
2.250,0.2941,0.05056,0.04286,-0.0540,0.7186,1.0000
2.500,0.3182,0.05168,0.04388,-0.0539,0.7106,1.0000
2.750,0.3267,0.05265,0.04477,-0.0522,0.7013,1.0000
3.000,0.3548,0.05402,0.04606,-0.0526,0.6952,1.0000
3.250,0.3603,0.05500,0.04698,-0.0508,0.6864,1.0000
3.500,0.3890,0.05640,0.04831,-0.0512,0.6801,1.0000
3.750,0.3936,0.05743,0.04930,-0.0494,0.6711,1.0000
4.000,0.4213,0.05885,0.05068,-0.0498,0.6651,1.0000
4.250,0.4263,0.05997,0.05177,-0.0482,0.6563,1.0000
4.500,0.4536,0.06138,0.05315,-0.0485,0.6500,1.0000
4.750,0.4587,0.06267,0.05442,-0.0471,0.6421,1.0000
5.000,0.4855,0.06402,0.05575,-0.0473,0.6349,1.0000
5.250,0.4918,0.06552,0.05726,-0.0462,0.6282,1.0000
5.500,0.5151,0.06675,0.05848,-0.0461,0.6199,1.0000
5.750,0.5216,0.06829,0.06003,-0.0450,0.6125,1.0000
6.000,0.5483,0.06956,0.06132,-0.0451,0.6043,1.0000
6.250,0.5509,0.07103,0.06280,-0.0439,0.5954,1.0000
6.750,0.6327,0.07049,0.06230,-0.0428,0.5580,1.0000
7.000,0.6744,0.06962,0.06148,-0.0420,0.5424,1.0000
7.250,0.6803,0.07041,0.06230,-0.0406,0.5297,1.0000
7.500,0.6946,0.07103,0.06296,-0.0395,0.5175,1.0000
7.750,0.7144,0.07151,0.06349,-0.0387,0.5069,1.0000
8.000,0.7561,0.07081,0.06290,-0.0382,0.5005,1.0000
8.250,0.7601,0.07227,0.06442,-0.0373,0.4894,1.0000
8.500,0.7987,0.07174,0.06399,-0.0368,0.4844,1.0000
8.750,0.8082,0.07280,0.06516,-0.0359,0.4738,1.0000
9.000,0.8194,0.07377,0.06621,-0.0351,0.4629,1.0000
9.250,0.8767,0.07038,0.06298,-0.0338,0.4582,1.0000
9.500,0.8952,0.06986,0.06256,-0.0324,0.4458,1.0000
9.750,0.9187,0.06874,0.06158,-0.0309,0.4340,1.0000
10.000,0.9799,0.06355,0.05661,-0.0290,0.4305,1.0000
10.250,0.9943,0.06347,0.05668,-0.0277,0.4184,1.0000
10.500,1.0544,0.05787,0.05136,-0.0257,0.4157,1.0000
10.750,1.0740,0.05685,0.05050,-0.0243,0.4034,1.0000
11.000,1.1043,0.05434,0.04822,-0.0225,0.3911,1.0000
11.250,1.1559,0.04915,0.04327,-0.0205,0.3744,1.0000
11.500,1.1792,0.04745,0.04157,-0.0185,0.3343,1.0000
11.750,1.1865,0.04732,0.04084,-0.0158,0.2636,1.0000
12.000,1.1786,0.04961,0.04250,-0.0137,0.2162,1.0000
12.250,1.1775,0.05163,0.04408,-0.0119,0.1866,1.0000
12.500,1.1848,0.05305,0.04527,-0.0103,0.1665,1.0000
12.750,1.1955,0.05428,0.04636,-0.0089,0.1508,1.0000
13.000,1.2056,0.05569,0.04769,-0.0077,0.1377,1.0000
13.250,1.2119,0.05754,0.04947,-0.0069,0.1261,1.0000
13.500,1.2158,0.05963,0.05148,-0.0063,0.1150,1.0000
13.750,1.2159,0.06226,0.05420,-0.0061,0.1057,1.0000
14.000,1.2196,0.06457,0.05656,-0.0055,0.0960,1.0000
14.250,1.2256,0.06669,0.05865,-0.0047,0.0858,1.0000
14.500,1.2338,0.06872,0.06060,-0.0036,0.0754,1.0000
14.750,1.2442,0.07087,0.06266,-0.0022,0.0647,1.0000
15.000,1.2403,0.07431,0.06640,-0.0022,0.0599,1.0000
15.250,1.2552,0.07620,0.06818,-0.0010,0.0535,1.0000
15.500,1.2516,0.07991,0.07224,-0.0010,0.0509,1.0000
15.750,1.2526,0.08329,0.07586,-0.0008,0.0485,1.0000
16.000,1.2538,0.08664,0.07938,-0.0007,0.0468,1.0000
16.250,1.2686,0.08942,0.08211,0.0002,0.0441,1.0000
16.500,1.2552,0.09435,0.08733,-0.0007,0.0437,1.0000
16.750,1.2387,0.09969,0.09297,-0.0021,0.0433,1.0000
17.000,1.2213,0.10553,0.09909,-0.0040,0.0431,1.0000
17.250,1.2003,0.11209,0.10593,-0.0065,0.0429,1.0000
17.500,1.1829,0.11865,0.11271,-0.0092,0.0431,1.0000
17.750,1.1601,0.12631,0.12060,-0.0129,0.0432,1.0000
18.000,1.1366,0.13467,0.12916,-0.0172,0.0434,1.0000
