Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx08s176-il-200000
Airfoil,fx08s176-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,29.118
Max Cl/Cd alpha,12.25
Url,http://airfoiltools.com/polar/csv?polar=xf-fx08s176-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.0764,0.11342,0.10836,-0.0883,0.6597,0.0402
-11.250,-0.0833,0.11053,0.10551,-0.0921,0.6589,0.0408
-11.000,-0.0821,0.10729,0.10230,-0.0943,0.6580,0.0409
-10.750,-0.0735,0.10199,0.09705,-0.0939,0.6570,0.0418
-10.500,-0.0589,0.09940,0.09445,-0.0932,0.6558,0.0428
-10.250,-0.0472,0.09724,0.09231,-0.0931,0.6547,0.0457
-10.000,-0.0435,0.09431,0.08942,-0.0944,0.6536,0.0468
-9.750,-0.0426,0.09113,0.08629,-0.0963,0.6527,0.0487
-9.500,-0.0540,0.08738,0.08262,-0.1012,0.6519,0.0511
-9.250,-0.0681,0.08278,0.07809,-0.1071,0.6511,0.0516
-9.000,-0.0884,0.07903,0.07434,-0.1101,0.6502,0.0518
-8.750,-0.1053,0.07675,0.07203,-0.1095,0.6492,0.0519
-8.500,-0.1202,0.07475,0.06994,-0.1081,0.6482,0.0520
-8.250,-0.1141,0.06800,0.06329,-0.1089,0.6470,0.0532
-8.000,-0.0994,0.06549,0.06082,-0.1083,0.6458,0.0545
-7.750,-0.0967,0.06332,0.05862,-0.1075,0.6448,0.0557
-7.500,-0.0974,0.06104,0.05628,-0.1066,0.6439,0.0573
-7.250,-0.0984,0.05868,0.05386,-0.1056,0.6429,0.0592
-7.000,-0.0997,0.05639,0.05142,-0.1044,0.6419,0.0623
-6.750,-0.1065,0.05747,0.05190,-0.1007,0.6408,0.0650
-6.500,-0.1025,0.05072,0.04528,-0.1008,0.6397,0.0669
-6.250,-0.0886,0.04839,0.04302,-0.1002,0.6382,0.0687
-6.000,-0.0755,0.04669,0.04127,-0.0992,0.6367,0.0722
-5.500,-0.0530,0.04256,0.03665,-0.0963,0.6338,0.0834
-5.250,-0.0357,0.04090,0.03488,-0.0954,0.6326,0.0873
-5.000,-0.0154,0.03522,0.02794,-0.0910,0.6317,0.0513
-4.750,0.0056,0.03315,0.02556,-0.0901,0.6307,0.0511
-4.500,0.0284,0.03157,0.02368,-0.0892,0.6297,0.0512
-4.250,0.0518,0.03003,0.02188,-0.0885,0.6286,0.0508
-4.000,0.0721,0.02922,0.02097,-0.0875,0.6265,0.0510
-3.750,0.0934,0.02902,0.02065,-0.0866,0.6242,0.0520
-3.500,0.1150,0.02770,0.01933,-0.0860,0.6225,0.0548
-3.250,0.1374,0.02732,0.01895,-0.0854,0.6209,0.0565
-3.000,0.1602,0.02701,0.01862,-0.0847,0.6193,0.0588
-2.750,0.1837,0.02668,0.01825,-0.0840,0.6178,0.0617
-2.500,0.2081,0.02630,0.01780,-0.0835,0.6165,0.0663
-2.250,0.2318,0.02580,0.01733,-0.0829,0.6153,0.0736
-2.000,0.2556,0.02538,0.01690,-0.0823,0.6143,0.0855
-1.750,0.2604,0.02630,0.01805,-0.0800,0.6108,0.1030
-1.500,0.2699,0.02657,0.01877,-0.0785,0.6072,0.1789
-1.250,0.2559,0.02540,0.02002,-0.0708,0.6049,0.7560
-1.000,0.2641,0.02651,0.02111,-0.0659,0.6032,0.8466
-0.750,0.2727,0.02717,0.02170,-0.0605,0.6017,0.8771
-0.500,0.2807,0.02759,0.02204,-0.0545,0.6005,0.9058
-0.250,0.2401,0.03088,0.02559,-0.0481,0.5911,0.9102
0.000,0.2607,0.03122,0.02584,-0.0446,0.5889,0.9421
0.250,0.4564,0.03041,0.02455,-0.0722,0.5896,0.9617
0.500,0.5254,0.02981,0.02376,-0.0795,0.5881,0.9674
0.750,0.5894,0.02918,0.02295,-0.0860,0.5867,0.9756
1.000,0.6348,0.02875,0.02237,-0.0893,0.5856,0.9795
1.250,0.6698,0.02851,0.02200,-0.0907,0.5847,0.9828
1.500,0.6651,0.03156,0.02531,-0.0899,0.5751,0.9906
1.750,0.7003,0.03133,0.02500,-0.0915,0.5734,0.9936
2.000,0.7396,0.03097,0.02456,-0.0939,0.5721,0.9959
2.250,0.7786,0.03060,0.02410,-0.0960,0.5711,0.9981
2.500,0.8164,0.03026,0.02369,-0.0980,0.5702,1.0000
2.750,0.8431,0.03007,0.02343,-0.0978,0.5695,1.0000
3.000,0.6445,0.03931,0.03315,-0.0703,0.5454,1.0000
3.250,0.6677,0.03899,0.03278,-0.0693,0.5439,1.0000
3.500,0.6301,0.04068,0.03446,-0.0610,0.5373,1.0000
3.750,0.6762,0.03953,0.03326,-0.0624,0.5381,1.0000
4.000,0.7223,0.03850,0.03217,-0.0641,0.5386,1.0000
4.250,0.7693,0.03758,0.03121,-0.0664,0.5391,1.0000
4.500,0.8151,0.03659,0.03018,-0.0684,0.5395,1.0000
4.750,0.8598,0.03558,0.02912,-0.0702,0.5400,1.0000
5.000,0.6246,0.04448,0.03814,-0.0406,0.5108,1.0000
5.250,0.6636,0.04354,0.03717,-0.0412,0.5115,1.0000
5.500,0.6050,0.04909,0.04277,-0.0370,0.4910,1.0000
5.750,0.6296,0.04931,0.04298,-0.0372,0.4885,1.0000
6.000,0.6585,0.04921,0.04287,-0.0375,0.4870,1.0000
6.250,0.6891,0.04900,0.04265,-0.0379,0.4860,1.0000
6.500,0.6755,0.05245,0.04612,-0.0369,0.4751,1.0000
6.750,0.7026,0.05255,0.04624,-0.0373,0.4734,1.0000
7.000,0.7327,0.05239,0.04608,-0.0378,0.4724,1.0000
7.250,0.7641,0.05210,0.04580,-0.0383,0.4717,1.0000
7.500,0.7963,0.05173,0.04546,-0.0388,0.4711,1.0000
7.750,0.8283,0.05134,0.04509,-0.0393,0.4705,1.0000
8.000,0.7534,0.06108,0.05489,-0.0371,0.4483,1.0000
8.250,0.7758,0.06170,0.05553,-0.0374,0.4462,1.0000
8.500,0.8032,0.06177,0.05563,-0.0378,0.4450,1.0000
8.750,0.7813,0.06704,0.06094,-0.0374,0.4351,1.0000
9.000,0.7999,0.06811,0.06205,-0.0377,0.4327,1.0000
9.250,0.8250,0.06845,0.06244,-0.0380,0.4313,1.0000
9.500,0.8053,0.07380,0.06784,-0.0379,0.4227,1.0000
9.750,0.8189,0.07542,0.06951,-0.0382,0.4193,1.0000
10.000,0.8441,0.07569,0.06983,-0.0385,0.4176,1.0000
10.250,0.8712,0.07576,0.06995,-0.0388,0.4165,1.0000
10.500,0.9007,0.07551,0.06978,-0.0392,0.4157,1.0000
10.750,0.9322,0.07499,0.06933,-0.0395,0.4151,1.0000
11.250,1.0410,0.06660,0.06111,-0.0399,0.4146,1.0000
11.500,1.1687,0.05241,0.04705,-0.0413,0.4170,1.0000
11.750,1.2408,0.04652,0.04124,-0.0426,0.4098,1.0000
12.000,1.2762,0.04491,0.03965,-0.0429,0.3957,1.0000
12.250,1.2975,0.04456,0.03913,-0.0425,0.3696,1.0000
12.500,1.2961,0.04679,0.04129,-0.0417,0.3487,1.0000
12.750,1.2909,0.04943,0.04378,-0.0407,0.3221,1.0000
13.000,1.2792,0.05295,0.04717,-0.0398,0.2918,1.0000
13.250,1.2627,0.05709,0.05109,-0.0389,0.2487,1.0000
13.500,1.2380,0.06230,0.05598,-0.0381,0.2073,1.0000
13.750,1.2077,0.06843,0.06181,-0.0376,0.1639,1.0000
14.000,1.1840,0.07412,0.06726,-0.0374,0.1249,1.0000
14.250,1.1573,0.08039,0.07322,-0.0375,0.0782,1.0000
14.500,1.1369,0.08613,0.07871,-0.0379,0.0442,1.0000
14.750,1.1306,0.09028,0.08282,-0.0383,0.0306,1.0000
15.000,1.1278,0.09408,0.08663,-0.0389,0.0250,1.0000
15.250,1.1293,0.09737,0.09002,-0.0395,0.0229,1.0000
15.500,1.1301,0.10081,0.09354,-0.0402,0.0215,1.0000
15.750,1.1300,0.10441,0.09725,-0.0410,0.0205,1.0000
16.000,1.1275,0.10838,0.10133,-0.0419,0.0195,1.0000
