Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx08s176-il-50000
Airfoil,fx08s176-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,4.23358
Max Cl/Cd alpha,13
Url,http://airfoiltools.com/polar/csv?polar=xf-fx08s176-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.0935,0.14794,0.14211,-0.0882,0.9122,0.1329
-13.500,-0.0907,0.14641,0.14057,-0.0917,0.9070,0.1380
-13.250,-0.1024,0.14722,0.14140,-0.0962,0.9029,0.1396
-13.000,-0.0611,0.13850,0.13256,-0.0963,0.8972,0.1485
-12.750,-0.0657,0.13789,0.13197,-0.0993,0.8931,0.1541
-12.500,-0.0466,0.13289,0.12694,-0.1005,0.8885,0.1597
-12.250,-0.0388,0.13054,0.12455,-0.1026,0.8848,0.1677
-12.000,-0.0583,0.13158,0.12568,-0.1061,0.8819,0.1707
-11.750,-0.0211,0.12459,0.11860,-0.1054,0.8777,0.1803
-11.500,-0.0367,0.12493,0.11901,-0.1084,0.8752,0.1859
-11.250,-0.0069,0.11927,0.11329,-0.1083,0.8721,0.1954
-11.000,-0.0248,0.11971,0.11380,-0.1112,0.8700,0.2016
-10.750,0.0033,0.11464,0.10868,-0.1108,0.8670,0.2134
-10.500,0.0048,0.11247,0.10656,-0.1117,0.8643,0.2209
-10.250,-0.0053,0.11210,0.10627,-0.1128,0.8617,0.2322
-10.000,0.0111,0.10888,0.10303,-0.1126,0.8588,0.2461
-9.750,0.0167,0.10678,0.10095,-0.1127,0.8566,0.2614
-9.500,0.0213,0.10481,0.09900,-0.1130,0.8548,0.2772
-9.250,0.0221,0.10331,0.09754,-0.1129,0.8533,0.2934
-9.000,0.0217,0.10207,0.09634,-0.1118,0.8516,0.3090
-8.750,0.0229,0.10086,0.09518,-0.1102,0.8497,0.3242
-8.500,0.0168,0.10029,0.09468,-0.1078,0.8479,0.3400
