Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx2-il-500000
Airfoil,fx2-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,51.5969
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-fx2-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.500,-0.4217,0.09730,0.09327,-0.1684,0.8556,0.0170
-19.250,-0.4534,0.08825,0.08402,-0.1733,0.8553,0.0169
-19.000,-0.4707,0.08201,0.07763,-0.1768,0.8549,0.0168
-18.750,-0.4909,0.07560,0.07102,-0.1803,0.8546,0.0171
-18.500,-0.5009,0.07098,0.06626,-0.1828,0.8542,0.0171
-18.250,-0.5125,0.06639,0.06149,-0.1849,0.8538,0.0173
-18.000,-0.5187,0.06271,0.05765,-0.1869,0.8533,0.0175
-17.750,-0.5316,0.05855,0.05333,-0.1879,0.8530,0.0179
-17.500,-0.5323,0.05586,0.05051,-0.1887,0.8525,0.0178
-17.250,-0.5312,0.05353,0.04814,-0.1893,0.8522,0.0183
-17.000,-0.5289,0.05138,0.04592,-0.1896,0.8519,0.0185
-16.750,-0.5257,0.04937,0.04384,-0.1899,0.8517,0.0188
-16.500,-0.5210,0.04759,0.04201,-0.1901,0.8514,0.0192
-16.250,-0.5165,0.04583,0.04017,-0.1901,0.8511,0.0196
-16.000,-0.5116,0.04414,0.03839,-0.1900,0.8508,0.0200
-15.750,-0.5052,0.04265,0.03681,-0.1898,0.8505,0.0205
-15.500,-0.4977,0.04125,0.03532,-0.1895,0.8502,0.0208
-15.250,-0.4900,0.03994,0.03390,-0.1891,0.8498,0.0212
-15.000,-0.4814,0.03869,0.03257,-0.1884,0.8495,0.0216
-14.750,-0.4733,0.03750,0.03138,-0.1878,0.8492,0.0224
-14.500,-0.4639,0.03645,0.03031,-0.1872,0.8488,0.0230
-14.250,-0.4533,0.03554,0.02937,-0.1867,0.8484,0.0238
-14.000,-0.4426,0.03464,0.02842,-0.1860,0.8478,0.0245
-13.750,-0.4311,0.03381,0.02751,-0.1853,0.8472,0.0254
-13.500,-0.4213,0.03290,0.02656,-0.1843,0.8467,0.0263
-13.250,-0.4117,0.03205,0.02571,-0.1833,0.8463,0.0271
-13.000,-0.4007,0.03132,0.02497,-0.1824,0.8459,0.0281
-12.750,-0.3885,0.03068,0.02430,-0.1815,0.8455,0.0291
-12.500,-0.3764,0.03006,0.02363,-0.1805,0.8450,0.0304
-12.250,-0.3655,0.02940,0.02294,-0.1793,0.8446,0.0314
-12.000,-0.3562,0.02872,0.02229,-0.1779,0.8442,0.0329
-11.750,-0.3431,0.02826,0.02182,-0.1770,0.8437,0.0348
-11.500,-0.3298,0.02782,0.02134,-0.1759,0.8433,0.0366
-11.250,-0.3212,0.02720,0.02073,-0.1742,0.8429,0.0387
-11.000,-0.3093,0.02677,0.02032,-0.1729,0.8424,0.0407
-10.750,-0.2952,0.02647,0.02000,-0.1718,0.8420,0.0434
-10.500,-0.2866,0.02597,0.01949,-0.1700,0.8415,0.0462
-10.250,-0.2744,0.02560,0.01913,-0.1686,0.8409,0.0489
-10.000,-0.2596,0.02534,0.01886,-0.1675,0.8403,0.0519
-9.750,-0.2481,0.02502,0.01851,-0.1659,0.8397,0.0542
-9.500,-0.2412,0.02460,0.01811,-0.1636,0.8392,0.0573
-9.250,-0.2300,0.02436,0.01786,-0.1619,0.8387,0.0599
-9.000,-0.2171,0.02423,0.01770,-0.1603,0.8382,0.0627
-8.750,-0.2092,0.02401,0.01747,-0.1580,0.8377,0.0651
-8.500,-0.2073,0.02378,0.01725,-0.1548,0.8370,0.0679
-8.250,-0.2051,0.02391,0.01739,-0.1514,0.8363,0.0703
-8.000,-0.4847,0.03036,0.02394,-0.0962,0.8249,0.0542
-7.750,-0.4971,0.02995,0.02352,-0.0904,0.8235,0.0560
-7.500,-0.5211,0.02990,0.02343,-0.0825,0.8225,0.0566
-7.250,-0.6081,0.03077,0.02420,-0.0641,0.8143,0.0528
-7.000,-0.6112,0.03037,0.02376,-0.0601,0.8122,0.0548
-6.750,-0.5919,0.02984,0.02323,-0.0596,0.8102,0.0583
-6.500,-0.5646,0.02952,0.02288,-0.0603,0.8089,0.0621
-6.250,-0.5362,0.02899,0.02231,-0.0612,0.8078,0.0658
-6.000,-0.5081,0.02845,0.02177,-0.0621,0.8071,0.0703
-5.750,-0.4769,0.02816,0.02144,-0.0634,0.8065,0.0744
-5.500,-0.4457,0.02774,0.02100,-0.0649,0.8060,0.0798
-5.250,-0.4137,0.02739,0.02066,-0.0664,0.8055,0.0865
-5.000,-0.3807,0.02702,0.02035,-0.0681,0.8051,0.1001
-4.750,-0.3490,0.02611,0.01986,-0.0704,0.8047,0.1812
-4.000,-0.3362,0.02321,0.01863,-0.0625,0.7912,0.5685
-3.750,-0.3345,0.02359,0.01907,-0.0585,0.7846,0.5880
-3.500,-0.3163,0.02385,0.01941,-0.0571,0.7812,0.6080
-3.250,-0.2873,0.02408,0.01963,-0.0574,0.7796,0.6234
-3.000,-0.2556,0.02427,0.01976,-0.0583,0.7784,0.6347
-2.750,-0.2234,0.02458,0.02001,-0.0592,0.7776,0.6457
-2.500,-0.1915,0.02497,0.02039,-0.0599,0.7769,0.6519
-2.250,-0.1586,0.02534,0.02072,-0.0608,0.7763,0.6587
-2.000,-0.1538,0.02588,0.02123,-0.0574,0.7695,0.6636
-1.750,-0.1322,0.02624,0.02161,-0.0565,0.7663,0.6664
-1.500,-0.1035,0.02646,0.02181,-0.0568,0.7649,0.6691
-1.250,-0.0730,0.02668,0.02201,-0.0574,0.7638,0.6734
-1.000,-0.0402,0.02678,0.02203,-0.0586,0.7630,0.6784
-0.750,-0.0082,0.02679,0.02205,-0.0595,0.7624,0.6802
-0.500,0.0238,0.02689,0.02216,-0.0603,0.7618,0.6821
-0.250,0.0238,0.02755,0.02284,-0.0561,0.7537,0.6846
0.000,0.0515,0.02756,0.02283,-0.0565,0.7517,0.6865
0.250,0.0817,0.02752,0.02276,-0.0573,0.7505,0.6884
0.500,0.1133,0.02744,0.02264,-0.0584,0.7496,0.6905
0.750,0.1462,0.02732,0.02248,-0.0598,0.7488,0.6928
1.000,0.1791,0.02718,0.02230,-0.0611,0.7482,0.6946
1.250,0.2118,0.02700,0.02213,-0.0622,0.7477,0.6958
1.500,0.2450,0.02684,0.02198,-0.0635,0.7473,0.6970
1.750,0.2785,0.02670,0.02185,-0.0647,0.7469,0.6983
2.000,0.3122,0.02654,0.02170,-0.0660,0.7465,0.6998
2.250,0.3060,0.02711,0.02228,-0.0610,0.7354,0.7018
2.500,0.3398,0.02687,0.02205,-0.0623,0.7348,0.7037
2.750,0.3740,0.02662,0.02180,-0.0637,0.7342,0.7060
