Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx6617a2-il-200000
Airfoil,fx6617a2-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,65.0317
Max Cl/Cd alpha,10.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx6617a2-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.1511,0.08964,0.08554,-0.0896,0.7380,0.0721
-11.500,-0.1311,0.08818,0.08402,-0.0878,0.7289,0.0735
-11.250,-0.2173,0.08371,0.07955,-0.1029,0.7583,0.0727
-11.000,-0.1957,0.08360,0.07934,-0.1004,0.7462,0.0743
-10.750,-0.1923,0.08053,0.07619,-0.1012,0.7382,0.0762
-10.500,-0.2023,0.07511,0.07078,-0.1044,0.7314,0.0780
-10.250,-0.2371,0.06701,0.06264,-0.1104,0.7267,0.0791
-10.000,-0.2689,0.06174,0.05727,-0.1134,0.7218,0.0797
-9.750,-0.3011,0.05773,0.05317,-0.1144,0.7158,0.0803
-9.500,-0.4246,0.04311,0.03705,-0.1065,0.7147,0.0383
-9.250,-0.4206,0.03911,0.03282,-0.1053,0.7097,0.0370
-9.000,-0.4158,0.03597,0.02932,-0.1036,0.7048,0.0361
-8.750,-0.4060,0.03322,0.02621,-0.1019,0.6993,0.0356
-8.500,-0.3915,0.03094,0.02357,-0.1006,0.6944,0.0357
-8.250,-0.3734,0.02906,0.02135,-0.0995,0.6902,0.0364
-8.000,-0.3541,0.02785,0.01986,-0.0984,0.6851,0.0380
-7.750,-0.3327,0.02594,0.01776,-0.0978,0.6808,0.0402
-7.500,-0.3094,0.02481,0.01656,-0.0975,0.6771,0.0424
-7.250,-0.2857,0.02384,0.01549,-0.0969,0.6735,0.0445
-7.000,-0.2625,0.02316,0.01470,-0.0963,0.6694,0.0470
-6.750,-0.2400,0.02199,0.01348,-0.0956,0.6656,0.0499
-6.500,-0.2180,0.02131,0.01280,-0.0950,0.6621,0.0532
-6.250,-0.1956,0.02072,0.01212,-0.0942,0.6590,0.0558
-6.000,-0.1743,0.02017,0.01154,-0.0933,0.6552,0.0581
-5.750,-0.1561,0.01936,0.01076,-0.0921,0.6518,0.0616
-5.500,-0.1358,0.01879,0.01017,-0.0912,0.6487,0.0655
-5.250,-0.1138,0.01834,0.00961,-0.0904,0.6460,0.0708
-5.000,-0.0937,0.01771,0.00895,-0.0895,0.6436,0.0843
-4.500,-0.0776,0.01481,0.00809,-0.0847,0.6376,0.4666
-4.250,-0.0525,0.01517,0.00848,-0.0838,0.6343,0.5310
-4.000,-0.0256,0.01557,0.00877,-0.0832,0.6315,0.5569
-3.750,0.0017,0.01601,0.00908,-0.0828,0.6292,0.5759
-3.500,0.0283,0.01658,0.00958,-0.0822,0.6268,0.5942
-3.250,0.0539,0.01709,0.01012,-0.0813,0.6238,0.6090
-3.000,0.0799,0.01751,0.01054,-0.0806,0.6207,0.6210
-2.750,0.1060,0.01802,0.01103,-0.0796,0.6179,0.6356
-2.500,0.1323,0.01839,0.01136,-0.0789,0.6154,0.6484
-2.250,0.1596,0.01863,0.01151,-0.0786,0.6134,0.6563
-2.000,0.1861,0.01869,0.01144,-0.0787,0.6113,0.6620
-1.750,0.2109,0.01878,0.01157,-0.0782,0.6084,0.6658
-1.500,0.2364,0.01890,0.01166,-0.0779,0.6054,0.6716
-1.250,0.2622,0.01896,0.01164,-0.0778,0.6027,0.6783
-1.000,0.2888,0.01905,0.01171,-0.0775,0.6004,0.6830
-0.750,0.3162,0.01912,0.01169,-0.0776,0.5984,0.6880
-0.500,0.3440,0.01922,0.01165,-0.0781,0.5966,0.6927
-0.250,0.3678,0.01935,0.01183,-0.0776,0.5942,0.6956
0.000,0.3918,0.01949,0.01201,-0.0773,0.5913,0.6990
0.250,0.4174,0.01959,0.01209,-0.0772,0.5885,0.7028
0.500,0.4440,0.01967,0.01210,-0.0774,0.5860,0.7068
0.750,0.4711,0.01972,0.01211,-0.0776,0.5840,0.7098
1.000,0.4987,0.01982,0.01218,-0.0777,0.5822,0.7128
1.250,0.5265,0.02003,0.01233,-0.0780,0.5805,0.7165
1.500,0.5470,0.02035,0.01274,-0.0772,0.5776,0.7203
1.750,0.5700,0.02062,0.01303,-0.0769,0.5745,0.7240
2.000,0.5946,0.02075,0.01320,-0.0766,0.5718,0.7271
2.250,0.6207,0.02089,0.01336,-0.0766,0.5696,0.7304
2.500,0.6480,0.02104,0.01348,-0.0768,0.5677,0.7338
2.750,0.6767,0.02118,0.01356,-0.0773,0.5660,0.7373
3.000,0.7008,0.02152,0.01393,-0.0772,0.5637,0.7406
3.250,0.7169,0.02202,0.01460,-0.0757,0.5599,0.7436
3.500,0.7387,0.02239,0.01503,-0.0752,0.5570,0.7467
3.750,0.7642,0.02260,0.01527,-0.0752,0.5546,0.7502
4.000,0.7920,0.02274,0.01538,-0.0755,0.5526,0.7542
4.250,0.8204,0.02282,0.01548,-0.0758,0.5508,0.7576
4.500,0.8495,0.02304,0.01571,-0.0763,0.5493,0.7611
4.750,0.8542,0.02414,0.01703,-0.0734,0.5449,0.7650
5.000,0.8702,0.02483,0.01782,-0.0722,0.5415,0.7691
5.250,0.8937,0.02512,0.01817,-0.0719,0.5390,0.7732
5.500,0.9219,0.02521,0.01832,-0.0722,0.5372,0.7777
5.750,0.9515,0.02527,0.01841,-0.0727,0.5355,0.7829
6.000,0.9819,0.02544,0.01859,-0.0735,0.5340,0.7877
6.250,0.9614,0.02772,0.02119,-0.0674,0.5273,0.7929
6.500,0.9754,0.02849,0.02207,-0.0659,0.5242,0.7991
6.750,1.0025,0.02865,0.02231,-0.0661,0.5222,0.8053
7.000,1.0344,0.02857,0.02229,-0.0669,0.5208,0.8129
7.250,1.0678,0.02846,0.02226,-0.0679,0.5194,0.8213
7.500,1.1022,0.02854,0.02240,-0.0692,0.5182,0.8310
7.750,0.9413,0.03782,0.03208,-0.0486,0.4988,0.8528
8.000,1.0007,0.03633,0.03076,-0.0523,0.4991,0.8771
8.250,1.0869,0.03479,0.02949,-0.0614,0.4993,0.9536
8.500,1.1789,0.03136,0.02606,-0.0687,0.5004,1.0000
8.750,1.0980,0.03709,0.03185,-0.0575,0.4904,1.0000
9.000,1.1013,0.03852,0.03332,-0.0557,0.4853,1.0000
9.250,1.1613,0.03536,0.03021,-0.0577,0.4818,1.0000
9.500,1.3317,0.02654,0.02131,-0.0730,0.4793,1.0000
9.750,1.3833,0.02372,0.01837,-0.0751,0.4693,1.0000
10.000,1.4133,0.02225,0.01683,-0.0746,0.4588,1.0000
10.250,1.4099,0.02274,0.01748,-0.0699,0.4514,1.0000
10.500,1.4346,0.02206,0.01679,-0.0689,0.4434,1.0000
10.750,1.4237,0.02294,0.01785,-0.0634,0.4358,1.0000
11.000,1.4294,0.02310,0.01805,-0.0603,0.4251,1.0000
11.250,1.4327,0.02360,0.01858,-0.0574,0.4134,1.0000
11.500,1.4271,0.02486,0.01992,-0.0541,0.4000,1.0000
11.750,1.4209,0.02654,0.02167,-0.0514,0.3858,1.0000
12.000,1.4111,0.02882,0.02397,-0.0491,0.3675,1.0000
12.250,1.3976,0.03166,0.02676,-0.0470,0.3429,1.0000
12.500,1.3809,0.03499,0.02996,-0.0451,0.3141,1.0000
12.750,1.3566,0.03917,0.03396,-0.0432,0.2798,1.0000
13.000,1.3319,0.04358,0.03818,-0.0415,0.2519,1.0000
13.250,1.3050,0.04846,0.04288,-0.0402,0.2228,1.0000
13.500,1.2802,0.05342,0.04766,-0.0392,0.1948,1.0000
13.750,1.2567,0.05847,0.05254,-0.0385,0.1660,1.0000
14.000,1.2311,0.06396,0.05780,-0.0380,0.1331,1.0000
14.250,1.2077,0.06938,0.06297,-0.0377,0.1018,1.0000
14.500,1.1890,0.07445,0.06783,-0.0377,0.0764,1.0000
14.750,1.1732,0.07930,0.07251,-0.0376,0.0576,1.0000
15.000,1.1630,0.08363,0.07678,-0.0377,0.0478,1.0000
15.250,1.1544,0.08785,0.08099,-0.0380,0.0421,1.0000
15.500,1.1526,0.09126,0.08446,-0.0382,0.0386,1.0000
15.750,1.1471,0.09513,0.08833,-0.0385,0.0361,1.0000
