Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx66196v-il-100000
Airfoil,fx66196v-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,5.74474
Max Cl/Cd alpha,9.25
Url,http://airfoiltools.com/polar/csv?polar=xf-fx66196v-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.1440,0.10743,0.10300,-0.0975,0.9143,0.1545
-11.500,-0.1271,0.10413,0.09957,-0.1007,0.8987,0.1646
-11.250,-0.1252,0.09967,0.09506,-0.1037,0.8846,0.1696
-11.000,-0.1082,0.09649,0.09177,-0.1045,0.8709,0.1730
-10.750,-0.1063,0.09269,0.08792,-0.1063,0.8592,0.1760
-10.500,-0.3921,0.05595,0.05035,-0.1293,0.8514,0.0676
-10.250,-0.3974,0.05401,0.04810,-0.1274,0.8398,0.0656
-10.000,-0.3970,0.05053,0.04439,-0.1263,0.8314,0.0645
-9.750,-0.4001,0.04787,0.04148,-0.1244,0.8209,0.0638
-9.500,-0.3991,0.04535,0.03863,-0.1226,0.8126,0.0633
-9.250,-0.3957,0.04318,0.03610,-0.1207,0.8042,0.0638
-9.000,-0.3882,0.04125,0.03377,-0.1190,0.7969,0.0646
-8.750,-0.3783,0.03967,0.03177,-0.1173,0.7894,0.0657
-8.500,-0.3618,0.03770,0.02937,-0.1161,0.7842,0.0665
-8.250,-0.3417,0.03518,0.02678,-0.1155,0.7769,0.0679
-8.000,-0.3181,0.03356,0.02510,-0.1151,0.7717,0.0711
-7.750,-0.2967,0.03252,0.02391,-0.1143,0.7661,0.0755
-7.500,-0.2757,0.03164,0.02278,-0.1133,0.7598,0.0791
-7.250,-0.2479,0.02992,0.02123,-0.1129,0.7555,0.0851
-7.000,-0.2279,0.02930,0.02050,-0.1118,0.7503,0.0930
-6.750,-0.2104,0.02841,0.01985,-0.1103,0.7447,0.1027
-6.500,-0.1943,0.02759,0.01912,-0.1086,0.7406,0.1174
-6.250,-0.1820,0.02661,0.01832,-0.1067,0.7373,0.1417
-6.000,-0.1827,0.02568,0.01787,-0.1042,0.7314,0.1892
-5.750,-0.1858,0.02472,0.01849,-0.1006,0.7271,0.4618
-5.500,-0.1606,0.02640,0.01993,-0.0985,0.7240,0.5221
-5.250,-0.1347,0.02828,0.02180,-0.0956,0.7211,0.5473
-5.000,-0.1212,0.02998,0.02351,-0.0925,0.7159,0.5655
-4.750,-0.1019,0.03132,0.02476,-0.0899,0.7123,0.5848
-4.500,-0.0783,0.03260,0.02595,-0.0871,0.7095,0.6024
-4.250,-0.0514,0.03387,0.02714,-0.0841,0.7074,0.6190
-4.000,-0.0425,0.03528,0.02857,-0.0803,0.7030,0.6322
-3.750,-0.0363,0.03680,0.03013,-0.0758,0.6986,0.6418
-3.500,-0.0255,0.03749,0.03075,-0.0733,0.6956,0.6540
-3.250,-0.0101,0.03773,0.03085,-0.0722,0.6934,0.6666
-3.000,0.0134,0.03818,0.03123,-0.0701,0.6918,0.6738
-2.750,-0.0145,0.03988,0.03296,-0.0666,0.6879,0.6822
-2.500,-0.1023,0.04368,0.03703,-0.0557,0.6840,0.6835
-2.250,-0.2597,0.05234,0.04618,-0.0512,0.8000,0.6631
-2.000,-0.2699,0.05198,0.04584,-0.0454,0.7922,0.6730
-1.750,-0.2544,0.05298,0.04679,-0.0427,0.7888,0.6892
-1.500,-0.2298,0.05404,0.04772,-0.0424,0.7865,0.7016
-1.250,-0.1984,0.05545,0.04898,-0.0437,0.7850,0.7091
-1.000,-0.2032,0.05456,0.04797,-0.0413,0.7769,0.7140
-0.750,-0.1789,0.05520,0.04852,-0.0413,0.7727,0.7181
-0.500,-0.1451,0.05646,0.04964,-0.0432,0.7702,0.7233
-0.250,-0.1422,0.05638,0.04946,-0.0417,0.7645,0.7274
0.000,-0.1188,0.05684,0.04978,-0.0428,0.7589,0.7307
0.250,-0.0908,0.05778,0.05063,-0.0438,0.7559,0.7337
0.500,-0.0549,0.05937,0.05211,-0.0462,0.7540,0.7368
0.750,-0.0599,0.05880,0.05150,-0.0434,0.7447,0.7396
1.000,-0.0295,0.05981,0.05237,-0.0453,0.7408,0.7433
1.250,0.0052,0.06133,0.05378,-0.0478,0.7387,0.7469
1.500,0.0019,0.06123,0.05367,-0.0450,0.7309,0.7496
1.750,0.0282,0.06212,0.05450,-0.0460,0.7259,0.7528
2.000,0.0629,0.06368,0.05597,-0.0482,0.7233,0.7563
2.250,0.0638,0.06394,0.05619,-0.0466,0.7160,0.7598
2.500,0.0893,0.06487,0.05706,-0.0476,0.7104,0.7634
2.750,0.1226,0.06646,0.05861,-0.0493,0.7077,0.7669
3.000,0.1593,0.06875,0.06086,-0.0517,0.7063,0.7710
3.250,0.1454,0.06783,0.05994,-0.0483,0.6951,0.7745
3.500,0.1788,0.06947,0.06153,-0.0502,0.6921,0.7790
3.750,0.2165,0.07190,0.06395,-0.0524,0.6906,0.7838
4.000,0.2006,0.07110,0.06318,-0.0489,0.6795,0.7882
4.250,0.2325,0.07280,0.06485,-0.0506,0.6766,0.7946
4.500,0.2693,0.07523,0.06730,-0.0527,0.6750,0.8008
4.750,0.2568,0.07470,0.06680,-0.0498,0.6635,0.8062
5.000,0.2890,0.07654,0.06864,-0.0514,0.6608,0.8132
5.250,0.3244,0.07917,0.07129,-0.0536,0.6591,0.8220
5.500,0.3125,0.07864,0.07081,-0.0508,0.6473,0.8286
5.750,0.3482,0.08075,0.07296,-0.0527,0.6447,0.8400
6.000,0.3400,0.08122,0.07350,-0.0506,0.6348,0.8491
6.250,0.3692,0.08277,0.07514,-0.0518,0.6305,0.8644
6.500,0.4065,0.08516,0.07764,-0.0538,0.6285,0.8869
6.750,0.3968,0.08532,0.07796,-0.0521,0.6171,0.9133
7.000,0.4381,0.08745,0.08019,-0.0560,0.6136,1.0000
