Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx73cl2152-il-50000
Airfoil,fx73cl2152-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,16.335
Max Cl/Cd alpha,0
Url,http://airfoiltools.com/polar/csv?polar=xf-fx73cl2152-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.1916,0.13248,0.12625,-0.0254,1.0000,0.1959
-8.500,-0.2177,0.13500,0.12896,-0.0245,1.0000,0.1979
-8.250,-0.2191,0.13215,0.12626,-0.0231,1.0000,0.1994
-8.000,-0.2019,0.12733,0.12152,-0.0209,1.0000,0.2028
-7.750,-0.2076,0.12635,0.12071,-0.0182,1.0000,0.2062
-7.500,-0.2294,0.12762,0.12222,-0.0143,1.0000,0.2080
-7.250,-0.2251,0.12790,0.12258,-0.0213,0.9898,0.2156
-7.000,-0.1779,0.12098,0.11563,-0.0288,0.9771,0.2221
-6.750,-0.1466,0.11765,0.11226,-0.0368,0.9594,0.2334
-6.500,-0.1212,0.11358,0.10819,-0.0443,0.9423,0.2388
-6.250,-0.0748,0.10783,0.10237,-0.0500,0.9275,0.2489
-6.000,-0.0980,0.11059,0.10518,-0.0550,0.9004,0.2559
-5.750,-0.0172,0.09993,0.09441,-0.0607,0.8953,0.2694
-5.500,-0.0487,0.10291,0.09745,-0.0625,0.8684,0.2760
-5.250,0.0294,0.09293,0.08735,-0.0679,0.8638,0.2877
-5.000,0.0069,0.09459,0.08907,-0.0711,0.8446,0.2968
-4.750,0.0668,0.08698,0.08135,-0.0726,0.8356,0.3075
-4.500,0.0891,0.08370,0.07802,-0.0770,0.8261,0.3214
-4.250,0.0971,0.08244,0.07673,-0.0779,0.8106,0.3354
-4.000,0.1270,0.07836,0.07259,-0.0799,0.8001,0.3444
-3.750,0.1433,0.07629,0.07047,-0.0847,0.7899,0.3599
-3.500,0.1630,0.07383,0.06798,-0.0829,0.7783,0.3711
-3.250,0.2041,0.05832,0.05181,-0.1294,0.7693,0.2163
-3.000,0.1880,0.05955,0.05319,-0.1214,0.7558,0.2202
-2.750,0.3273,0.04594,0.03858,-0.1567,0.7517,0.2138
-2.500,0.3640,0.04376,0.03614,-0.1619,0.7412,0.2220
-2.250,0.4335,0.04066,0.03264,-0.1711,0.7339,0.2432
-2.000,0.4773,0.03951,0.03129,-0.1751,0.7263,0.2674
-1.750,0.5134,0.03890,0.03046,-0.1782,0.7173,0.2986
-1.500,0.5609,0.03812,0.02965,-0.1803,0.7114,0.3421
-1.250,0.5590,0.03961,0.03118,-0.1771,0.7018,0.3608
-1.000,0.5916,0.03969,0.03122,-0.1774,0.6953,0.3995
-0.750,0.6221,0.03977,0.03133,-0.1764,0.6903,0.4321
-0.500,0.6023,0.04256,0.03418,-0.1724,0.6811,0.4402
-0.250,0.6269,0.04287,0.03453,-0.1712,0.6753,0.4661
0.000,0.6846,0.04191,0.03336,-0.1748,0.6709,0.5033
0.250,0.6015,0.04842,0.04019,-0.1646,0.6616,0.4848
0.500,0.6264,0.04915,0.04089,-0.1647,0.6562,0.5084
0.750,0.7033,0.04710,0.03864,-0.1695,0.6522,0.5524
1.000,0.5971,0.05691,0.04874,-0.1611,0.6452,0.5246
1.250,0.5834,0.06083,0.05272,-0.1599,0.6410,0.5328
1.500,0.6093,0.06218,0.05399,-0.1611,0.6362,0.5594
1.750,0.6757,0.05988,0.05159,-0.1621,0.6312,0.6057
2.000,0.6359,0.06629,0.05812,-0.1605,0.6297,0.6037
2.250,0.6244,0.07044,0.06230,-0.1602,0.6288,0.6170
2.500,0.6197,0.07381,0.06575,-0.1595,0.6286,0.6337
2.750,0.6260,0.07671,0.06870,-0.1596,0.6297,0.6591
3.000,0.6401,0.07923,0.07127,-0.1598,0.6312,0.6947
3.250,0.4634,0.09355,0.08609,-0.1605,0.7773,0.5927
3.500,0.4965,0.09613,0.08865,-0.1622,0.7706,0.6331
3.750,0.5003,0.09734,0.08991,-0.1608,0.7591,0.6596
4.000,0.5306,0.09962,0.09225,-0.1616,0.7514,0.7147
4.250,0.5308,0.10049,0.09325,-0.1592,0.7393,0.7541
4.500,0.5444,0.10117,0.09418,-0.1561,0.7324,0.8524
4.750,0.5529,0.10228,0.09523,-0.1572,0.7197,1.0000
5.000,0.6059,0.10689,0.09938,-0.1644,0.7122,1.0000
5.250,0.6093,0.10860,0.10096,-0.1642,0.6996,1.0000
5.500,0.6496,0.11252,0.10462,-0.1675,0.6924,1.0000
5.750,0.6485,0.11397,0.10600,-0.1665,0.6795,1.0000
6.000,0.6839,0.11771,0.10956,-0.1688,0.6730,1.0000
6.250,0.6813,0.11936,0.11117,-0.1679,0.6622,1.0000
6.500,0.7102,0.12257,0.11425,-0.1694,0.6544,1.0000
