Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx74cl5140-il-1000000
Airfoil,fx74cl5140-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,156.911
Max Cl/Cd alpha,8.25
Url,http://airfoiltools.com/polar/csv?polar=xf-fx74cl5140-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.000,0.0698,0.13688,0.13385,-0.1025,0.6830,0.0036
-15.750,0.0754,0.13514,0.13193,-0.1032,0.6468,0.0036
-9.750,0.1999,0.09452,0.09035,-0.1285,0.5086,0.0047
-9.250,0.2187,0.08996,0.08580,-0.1303,0.5049,0.0050
-9.000,0.2281,0.08772,0.08356,-0.1312,0.5031,0.0052
-7.750,0.2741,0.07702,0.07286,-0.1349,0.4939,0.0055
-7.500,0.2833,0.07495,0.07081,-0.1356,0.4929,0.0055
-7.250,0.2919,0.07288,0.06875,-0.1361,0.4919,0.0055
-7.000,0.3005,0.07084,0.06674,-0.1367,0.4904,0.0055
-6.750,0.3083,0.06885,0.06476,-0.1370,0.4890,0.0055
-6.500,0.3151,0.06691,0.06285,-0.1372,0.4878,0.0056
-6.250,0.3198,0.06512,0.06107,-0.1368,0.4866,0.0056
-6.000,0.3251,0.06336,0.05934,-0.1370,0.4853,0.0057
-5.750,0.3353,0.06135,0.05732,-0.1381,0.4841,0.0056
-5.500,0.3470,0.05920,0.05518,-0.1398,0.4826,0.0056
-5.250,0.3608,0.05693,0.05291,-0.1422,0.4811,0.0057
-5.000,0.3779,0.05440,0.05038,-0.1458,0.4798,0.0057
-4.750,0.3977,0.05174,0.04773,-0.1497,0.4790,0.0057
-4.500,0.4227,0.04861,0.04460,-0.1553,0.4781,0.0057
-4.250,0.4510,0.04540,0.04136,-0.1613,0.4772,0.0057
-4.000,0.4824,0.04212,0.03804,-0.1672,0.4761,0.0057
-3.750,0.5179,0.03867,0.03452,-0.1735,0.4750,0.0057
-3.500,0.5550,0.03538,0.03114,-0.1794,0.4738,0.0058
-3.250,0.5954,0.03197,0.02761,-0.1853,0.4726,0.0058
-3.000,0.6384,0.02855,0.02402,-0.1911,0.4714,0.0058
-1.750,0.8546,0.01611,0.01031,-0.2141,0.4643,0.0089
-1.500,0.8904,0.01513,0.00918,-0.2163,0.4634,0.0097
-1.250,0.9228,0.01510,0.00889,-0.2168,0.4624,0.0114
-1.000,0.9606,0.01395,0.00748,-0.2192,0.4613,0.0118
-0.750,0.9943,0.01300,0.00653,-0.2209,0.4601,0.0127
-0.500,1.0262,0.01258,0.00602,-0.2219,0.4590,0.0140
-0.250,1.0545,0.01292,0.00619,-0.2217,0.4578,0.0156
0.000,1.0900,0.01179,0.00512,-0.2239,0.4567,0.0192
0.250,1.1228,0.01139,0.00472,-0.2252,0.4554,0.0262
1.000,1.2172,0.01115,0.00429,-0.2275,0.4501,0.0164
1.250,1.2490,0.01102,0.00413,-0.2284,0.4491,0.0125
1.500,1.2799,0.01096,0.00403,-0.2292,0.4480,0.0138
1.750,1.3093,0.01097,0.00402,-0.2297,0.4469,0.0181
2.000,1.3379,0.01102,0.00405,-0.2301,0.4457,0.0212
2.250,1.3834,0.01039,0.00464,-0.2348,0.4443,0.7573
2.500,1.4097,0.01049,0.00479,-0.2345,0.4430,0.7924
2.750,1.4372,0.01058,0.00487,-0.2347,0.4416,0.7985
3.000,1.4645,0.01069,0.00497,-0.2348,0.4403,0.8036
3.250,1.4918,0.01083,0.00511,-0.2350,0.4388,0.8063
3.500,1.5191,0.01104,0.00529,-0.2352,0.4370,0.8086
3.750,1.5466,0.01122,0.00546,-0.2354,0.4355,0.8111
4.000,1.5740,0.01129,0.00556,-0.2356,0.4347,0.8136
4.250,1.6013,0.01137,0.00570,-0.2357,0.4337,0.8163
4.500,1.6285,0.01146,0.00582,-0.2359,0.4324,0.8192
4.750,1.6556,0.01155,0.00594,-0.2361,0.4310,0.8221
5.000,1.6826,0.01165,0.00607,-0.2362,0.4294,0.8250
5.250,1.7095,0.01175,0.00620,-0.2364,0.4280,0.8283
5.500,1.7361,0.01186,0.00636,-0.2365,0.4265,0.8321
5.750,1.7626,0.01200,0.00653,-0.2366,0.4249,0.8366
6.000,1.7889,0.01219,0.00674,-0.2367,0.4229,0.8416
6.250,1.8153,0.01241,0.00701,-0.2368,0.4209,0.8481
6.500,1.8415,0.01244,0.00714,-0.2368,0.4195,0.8572
6.750,1.8673,0.01242,0.00723,-0.2368,0.4168,0.8735
7.000,1.8859,0.01232,0.00730,-0.2351,0.4144,1.0000
7.250,1.9117,0.01241,0.00743,-0.2351,0.4116,1.0000
7.500,1.9362,0.01255,0.00756,-0.2349,0.4062,1.0000
7.750,1.9625,0.01254,0.00764,-0.2350,0.4009,1.0000
8.000,1.9864,0.01270,0.00778,-0.2346,0.3938,1.0000
8.250,2.0116,0.01282,0.00796,-0.2346,0.3858,1.0000
8.500,2.0338,0.01311,0.00822,-0.2339,0.3718,1.0000
8.750,2.0481,0.01398,0.00886,-0.2320,0.3330,1.0000
9.000,2.0374,0.01649,0.01081,-0.2258,0.2555,1.0000
9.250,2.0095,0.01933,0.01322,-0.2166,0.1901,1.0000
9.500,1.9783,0.02248,0.01607,-0.2075,0.1381,1.0000
9.750,1.9485,0.02591,0.01932,-0.1999,0.0967,1.0000
10.000,1.9191,0.02990,0.02321,-0.1937,0.0650,1.0000
10.250,1.8901,0.03468,0.02795,-0.1891,0.0393,1.0000
10.500,1.8654,0.03997,0.03326,-0.1864,0.0214,1.0000
10.750,1.8473,0.04523,0.03860,-0.1850,0.0138,1.0000
11.000,1.8348,0.05021,0.04369,-0.1843,0.0110,1.0000
11.250,1.8244,0.05509,0.04870,-0.1839,0.0095,1.0000
11.500,1.8132,0.06017,0.05389,-0.1835,0.0087,1.0000
11.750,1.7979,0.06588,0.05972,-0.1832,0.0076,1.0000
12.000,1.7839,0.07149,0.06546,-0.1830,0.0068,1.0000
12.250,1.7773,0.07606,0.07012,-0.1830,0.0062,1.0000
12.500,1.7684,0.08107,0.07524,-0.1830,0.0058,1.0000
12.750,1.7594,0.08615,0.08040,-0.1831,0.0053,1.0000
