Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx84w218-il-200000
Airfoil,fx84w218-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,57.4134
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-fx84w218-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.500,-0.7230,0.08134,0.07639,-0.0967,1.0000,0.0713
-17.250,-0.7825,0.07096,0.06567,-0.1029,1.0000,0.0713
-17.000,-0.8244,0.06403,0.05846,-0.1065,1.0000,0.0714
-16.750,-0.8062,0.06311,0.05766,-0.1063,1.0000,0.0725
-16.500,-0.8117,0.06124,0.05580,-0.1060,1.0000,0.0732
-16.250,-0.8224,0.05900,0.05352,-0.1062,0.9954,0.0739
-16.000,-0.8161,0.05550,0.04987,-0.1102,0.9867,0.0751
-15.750,-0.8145,0.05154,0.04568,-0.1145,0.9812,0.0764
-15.500,-0.8173,0.04756,0.04138,-0.1185,0.9746,0.0776
-15.250,-0.8178,0.04407,0.03757,-0.1219,0.9673,0.0787
-15.000,-0.7774,0.04318,0.03683,-0.1242,0.9629,0.0805
-14.750,-0.7601,0.04152,0.03509,-0.1260,0.9544,0.0821
-14.500,-0.7499,0.03971,0.03310,-0.1274,0.9460,0.0838
-14.250,-0.7497,0.03796,0.03111,-0.1270,0.9357,0.0852
-14.000,-0.7456,0.03662,0.02962,-0.1258,0.9257,0.0867
-13.750,-0.7242,0.03598,0.02907,-0.1253,0.9185,0.0885
-13.500,-0.7145,0.03515,0.02820,-0.1241,0.9099,0.0901
-13.250,-0.7106,0.03417,0.02707,-0.1223,0.9021,0.0918
-13.000,-0.7097,0.03319,0.02590,-0.1204,0.8941,0.0936
-12.750,-0.6938,0.03227,0.02496,-0.1194,0.8873,0.0956
-12.500,-0.6788,0.03169,0.02440,-0.1181,0.8816,0.0977
-12.250,-0.6673,0.03096,0.02363,-0.1169,0.8745,0.0999
-12.000,-0.6618,0.03018,0.02267,-0.1149,0.8677,0.1023
-11.750,-0.6449,0.02939,0.02185,-0.1138,0.8629,0.1047
-11.500,-0.6277,0.02884,0.02135,-0.1130,0.8569,0.1074
-11.250,-0.6162,0.02823,0.02067,-0.1115,0.8502,0.1103
-11.000,-0.6075,0.02756,0.01982,-0.1093,0.8449,0.1131
-10.750,-0.5858,0.02694,0.01930,-0.1087,0.8410,0.1163
-10.500,-0.5708,0.02644,0.01880,-0.1077,0.8346,0.1198
-10.250,-0.5613,0.02593,0.01812,-0.1056,0.8285,0.1233
-10.000,-0.5401,0.02524,0.01754,-0.1048,0.8242,0.1273
-9.750,-0.5260,0.02480,0.01704,-0.1031,0.8201,0.1314
-9.500,-0.5102,0.02433,0.01654,-0.1020,0.8140,0.1359
