Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fxs02196-il-100000
Airfoil,fxs02196-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,16.7639
Max Cl/Cd alpha,13.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fxs02196-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.1702,0.10556,0.10118,-0.0874,0.9408,0.1832
-11.250,-0.1767,0.10114,0.09674,-0.0943,0.9274,0.1955
-11.000,-0.4501,0.05789,0.05233,-0.1240,0.9046,0.0746
-10.750,-0.4554,0.05498,0.04915,-0.1234,0.8897,0.0740
-10.500,-0.4564,0.05195,0.04581,-0.1228,0.8784,0.0738
-10.250,-0.4647,0.04978,0.04334,-0.1205,0.8638,0.0738
-10.000,-0.4705,0.04763,0.04073,-0.1184,0.8531,0.0742
-9.750,-0.4512,0.04548,0.03865,-0.1181,0.8432,0.0766
-9.500,-0.4461,0.04297,0.03563,-0.1163,0.8358,0.0758
-9.250,-0.4400,0.04107,0.03333,-0.1144,0.8249,0.0752
-9.000,-0.4202,0.03925,0.03133,-0.1137,0.8180,0.0765
-8.750,-0.4030,0.03758,0.02938,-0.1126,0.8101,0.0765
-8.500,-0.3831,0.03593,0.02744,-0.1116,0.8020,0.0761
-8.250,-0.3575,0.03434,0.02560,-0.1110,0.7964,0.0761
-8.000,-0.3326,0.03316,0.02432,-0.1104,0.7897,0.0766
-7.750,-0.3068,0.03214,0.02324,-0.1099,0.7828,0.0773
-7.500,-0.2781,0.03111,0.02215,-0.1095,0.7778,0.0785
-7.250,-0.2489,0.03023,0.02117,-0.1090,0.7738,0.0803
-7.000,-0.2281,0.02982,0.02092,-0.1081,0.7670,0.0826
-6.750,-0.2070,0.02942,0.02060,-0.1070,0.7614,0.0855
-6.500,-0.1855,0.02897,0.02016,-0.1057,0.7570,0.0887
-6.250,-0.1662,0.02852,0.01972,-0.1043,0.7535,0.0927
-6.000,-0.1562,0.02851,0.01975,-0.1024,0.7478,0.0972
-5.750,-0.1459,0.02826,0.01949,-0.1007,0.7423,0.1043
-5.500,-0.1361,0.02737,0.01872,-0.0993,0.7378,0.1162
-5.250,-0.1260,0.02572,0.01751,-0.0987,0.7343,0.1740
-5.000,-0.1184,0.02524,0.01846,-0.0970,0.7303,0.4693
-4.750,-0.1044,0.02666,0.01980,-0.0953,0.7246,0.5068
-4.500,-0.0848,0.02787,0.02095,-0.0936,0.7205,0.5270
-4.250,-0.0605,0.02859,0.02153,-0.0927,0.7172,0.5427
-4.000,-0.0332,0.02922,0.02203,-0.0919,0.7147,0.5573
-3.750,-0.0062,0.02992,0.02268,-0.0904,0.7123,0.5672
-3.500,-0.0026,0.03128,0.02403,-0.0883,0.7070,0.5758
-3.250,-0.0028,0.03275,0.02551,-0.0858,0.7022,0.5820
-3.000,0.0046,0.03402,0.02680,-0.0832,0.6988,0.5876
-2.750,0.0213,0.03479,0.02746,-0.0824,0.6963,0.5957
-2.500,0.0416,0.03543,0.02805,-0.0816,0.6943,0.6028
-2.250,0.0632,0.03621,0.02880,-0.0802,0.6928,0.6111
-2.000,0.0925,0.03659,0.02906,-0.0805,0.6915,0.6215
-1.750,0.0113,0.04087,0.03344,-0.0720,0.6864,0.6181
-1.500,0.0048,0.04272,0.03532,-0.0689,0.6861,0.6231
-1.250,0.0069,0.04434,0.03696,-0.0665,0.6865,0.6294
-1.000,0.0194,0.04571,0.03824,-0.0663,0.6874,0.6390
-0.750,-0.0222,0.04906,0.04164,-0.0629,0.7043,0.6395
-0.500,-0.0073,0.05058,0.04324,-0.0612,0.7084,0.6471
-0.250,0.0202,0.05199,0.04458,-0.0619,0.7103,0.6579
