Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-geminism-il-1000000
Airfoil,geminism-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,110.582
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-geminism-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-0.8964,0.11279,0.11036,-0.0356,1.0000,0.0122
-18.250,-0.9293,0.10282,0.10024,-0.0409,1.0000,0.0122
-18.000,-0.9582,0.09380,0.09109,-0.0458,1.0000,0.0122
-17.750,-0.9839,0.08559,0.08274,-0.0502,1.0000,0.0122
-17.500,-1.0066,0.07803,0.07506,-0.0543,1.0000,0.0122
-17.250,-1.0261,0.07121,0.06811,-0.0581,1.0000,0.0123
-17.000,-1.0428,0.06500,0.06177,-0.0615,1.0000,0.0123
-16.750,-1.0564,0.05952,0.05615,-0.0644,1.0000,0.0124
-16.500,-1.0666,0.05470,0.05121,-0.0669,1.0000,0.0124
-16.250,-1.0742,0.05042,0.04680,-0.0690,1.0000,0.0125
-16.000,-1.0786,0.04671,0.04299,-0.0707,1.0000,0.0125
-15.750,-1.0805,0.04346,0.03963,-0.0720,1.0000,0.0126
-15.500,-1.0942,0.03915,0.03516,-0.0731,1.0000,0.0128
-15.250,-1.1049,0.03548,0.03135,-0.0736,1.0000,0.0130
-15.000,-1.1091,0.03275,0.02852,-0.0734,1.0000,0.0132
-14.750,-1.1082,0.03069,0.02639,-0.0728,1.0000,0.0134
-14.500,-1.1044,0.02906,0.02469,-0.0719,1.0000,0.0136
-14.250,-1.0987,0.02771,0.02328,-0.0707,1.0000,0.0138
-14.000,-1.0923,0.02654,0.02205,-0.0692,1.0000,0.0141
-13.750,-1.0857,0.02550,0.02095,-0.0674,1.0000,0.0143
-13.500,-1.0793,0.02457,0.01996,-0.0652,1.0000,0.0146
-13.250,-1.0734,0.02377,0.01909,-0.0626,1.0000,0.0149
-13.000,-1.0682,0.02310,0.01836,-0.0595,1.0000,0.0151
-12.750,-1.0652,0.02256,0.01776,-0.0557,1.0000,0.0154
-12.500,-1.0673,0.02216,0.01731,-0.0507,1.0000,0.0156
-12.250,-1.0702,0.02184,0.01694,-0.0454,1.0000,0.0157
-12.000,-1.0498,0.02077,0.01577,-0.0452,0.9986,0.0162
-11.750,-1.0232,0.01960,0.01455,-0.0464,0.9958,0.0169
-11.500,-0.9942,0.01895,0.01389,-0.0474,0.9926,0.0175
-11.250,-0.9644,0.01839,0.01328,-0.0485,0.9891,0.0180
-11.000,-0.9341,0.01783,0.01268,-0.0497,0.9859,0.0187
-10.750,-0.9033,0.01730,0.01210,-0.0509,0.9832,0.0193
-10.500,-0.8706,0.01686,0.01161,-0.0523,0.9812,0.0197
-10.250,-0.8411,0.01575,0.01043,-0.0537,0.9794,0.0208
-10.000,-0.8084,0.01522,0.00989,-0.0553,0.9760,0.0217
-9.750,-0.7744,0.01482,0.00947,-0.0571,0.9716,0.0226
-9.500,-0.7372,0.01439,0.00900,-0.0595,0.9683,0.0236
-9.250,-0.7061,0.01404,0.00860,-0.0605,0.9590,0.0242
-9.000,-0.6763,0.01331,0.00780,-0.0616,0.9496,0.0254
-8.750,-0.6441,0.01280,0.00726,-0.0629,0.9403,0.0266
-8.500,-0.6128,0.01248,0.00689,-0.0640,0.9297,0.0278
-8.250,-0.5860,0.01223,0.00658,-0.0639,0.9164,0.0290
-8.000,-0.5599,0.01203,0.00631,-0.0637,0.9028,0.0298
-7.750,-0.5381,0.01155,0.00575,-0.0627,0.8883,0.0314
-7.500,-0.5144,0.01128,0.00542,-0.0620,0.8746,0.0331
-7.250,-0.4901,0.01108,0.00516,-0.0613,0.8617,0.0347
-7.000,-0.4658,0.01092,0.00491,-0.0607,0.8493,0.0360
-6.750,-0.4428,0.01065,0.00457,-0.0597,0.8373,0.0379
-6.500,-0.4197,0.01039,0.00429,-0.0589,0.8262,0.0407
-6.250,-0.3954,0.01024,0.00408,-0.0582,0.8157,0.0432
-6.000,-0.3716,0.01003,0.00382,-0.0574,0.8050,0.0464
-5.750,-0.3479,0.00981,0.00360,-0.0566,0.7952,0.0513
-5.500,-0.3240,0.00964,0.00338,-0.0558,0.7856,0.0571
-5.250,-0.2998,0.00944,0.00319,-0.0551,0.7762,0.0645
-5.000,-0.2764,0.00921,0.00298,-0.0543,0.7673,0.0783
-4.750,-0.2539,0.00891,0.00276,-0.0533,0.7580,0.1013
-4.500,-0.2331,0.00850,0.00253,-0.0520,0.7494,0.1501
-4.250,-0.2109,0.00821,0.00237,-0.0510,0.7406,0.1917
-4.000,-0.1873,0.00800,0.00224,-0.0502,0.7322,0.2211
-3.750,-0.1636,0.00784,0.00212,-0.0494,0.7235,0.2463
-3.500,-0.1395,0.00766,0.00201,-0.0486,0.7153,0.2736
-3.250,-0.1166,0.00746,0.00190,-0.0477,0.7069,0.3088
-3.000,-0.0933,0.00724,0.00180,-0.0468,0.6989,0.3498
-2.750,-0.0706,0.00705,0.00171,-0.0458,0.6907,0.3909
-2.500,-0.0474,0.00685,0.00164,-0.0449,0.6827,0.4358
-2.250,-0.0251,0.00668,0.00159,-0.0437,0.6746,0.4830
-2.000,-0.0014,0.00654,0.00155,-0.0428,0.6666,0.5203
-1.750,0.0218,0.00645,0.00152,-0.0418,0.6584,0.5540
-1.500,0.0463,0.00636,0.00150,-0.0411,0.6504,0.5823
-1.250,0.0699,0.00632,0.00148,-0.0402,0.6421,0.6094
-0.750,0.1199,0.00627,0.00145,-0.0389,0.6256,0.6449
-0.500,0.1454,0.00624,0.00144,-0.0383,0.6171,0.6610
0.000,0.1954,0.00622,0.00144,-0.0370,0.5996,0.6927
0.500,0.2445,0.00621,0.00146,-0.0356,0.5814,0.7273
0.750,0.2690,0.00620,0.00148,-0.0348,0.5724,0.7460
1.250,0.3177,0.00620,0.00154,-0.0333,0.5532,0.7843
1.500,0.3419,0.00622,0.00158,-0.0324,0.5438,0.8052
1.750,0.3658,0.00622,0.00164,-0.0315,0.5338,0.8319
2.000,0.3907,0.00621,0.00171,-0.0308,0.5242,0.8629
