Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiif-il-200000
Airfoil,giiif-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,61.6508
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-giiif-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.5696,0.08859,0.08525,-0.0104,1.0000,0.0385
-8.250,-0.5738,0.08336,0.08005,-0.0167,1.0000,0.0391
-8.000,-0.5761,0.07853,0.07512,-0.0227,1.0000,0.0402
-7.750,-0.5738,0.07461,0.07101,-0.0263,1.0000,0.0408
-7.500,-0.5115,0.05733,0.05414,-0.0286,1.0000,0.0440
-7.250,-0.5086,0.05367,0.05045,-0.0284,1.0000,0.0462
-7.000,-0.5074,0.04936,0.04605,-0.0289,1.0000,0.0480
-6.750,-0.5046,0.04500,0.04153,-0.0291,1.0000,0.0507
-6.500,-0.5002,0.04292,0.03888,-0.0279,1.0000,0.0535
-6.000,-0.5203,0.04560,0.04110,-0.0255,1.0000,0.0556
-5.750,-0.5081,0.04281,0.03825,-0.0242,1.0000,0.0573
-5.500,-0.4958,0.04030,0.03561,-0.0225,1.0000,0.0600
-5.250,-0.4861,0.03903,0.03362,-0.0189,1.0000,0.0674
-5.000,-0.4744,0.03050,0.02453,-0.0151,1.0000,0.0424
-4.750,-0.4609,0.02701,0.02088,-0.0127,1.0000,0.0363
-4.500,-0.4455,0.02373,0.01712,-0.0101,1.0000,0.0347
-4.250,-0.4281,0.02228,0.01538,-0.0083,1.0000,0.0375
-4.000,-0.4073,0.02008,0.01280,-0.0067,1.0000,0.0376
-3.750,-0.3788,0.01821,0.01059,-0.0065,0.9988,0.0389
-3.500,-0.3417,0.01642,0.00856,-0.0082,0.9957,0.0425
-3.250,-0.3045,0.01544,0.00755,-0.0103,0.9915,0.0507
-3.000,-0.2685,0.01424,0.00635,-0.0121,0.9870,0.0616
-2.750,-0.2302,0.01342,0.00558,-0.0147,0.9830,0.0865
-2.500,-0.1955,0.01276,0.00502,-0.0165,0.9766,0.1174
-2.250,-0.1583,0.01200,0.00446,-0.0190,0.9716,0.1670
-2.000,-0.1403,0.00945,0.00437,-0.0175,0.9665,0.7644
-1.750,-0.1139,0.00946,0.00458,-0.0158,0.9599,0.8604
-1.500,-0.0799,0.00963,0.00472,-0.0158,0.9559,0.9040
-1.250,-0.0454,0.00982,0.00482,-0.0162,0.9502,0.9324
-1.000,-0.0010,0.01000,0.00491,-0.0189,0.9471,0.9534
-0.750,0.0557,0.01013,0.00494,-0.0244,0.9467,0.9685
-0.500,0.1305,0.01013,0.00485,-0.0338,0.9509,0.9846
-0.250,0.1787,0.00999,0.00466,-0.0383,0.9451,0.9908
0.000,0.2172,0.00985,0.00449,-0.0408,0.9346,0.9948
0.250,0.2545,0.00967,0.00428,-0.0428,0.9219,0.9990
0.500,0.2785,0.00957,0.00415,-0.0422,0.9069,1.0000
0.750,0.2990,0.00950,0.00405,-0.0408,0.8923,1.0000
1.000,0.3202,0.00946,0.00399,-0.0396,0.8793,1.0000
1.250,0.3424,0.00944,0.00398,-0.0386,0.8676,1.0000
1.500,0.3648,0.00943,0.00395,-0.0376,0.8564,1.0000
1.750,0.3872,0.00943,0.00396,-0.0366,0.8448,1.0000
2.000,0.4097,0.00945,0.00400,-0.0356,0.8328,1.0000
2.250,0.4323,0.00948,0.00406,-0.0346,0.8208,1.0000
2.500,0.4549,0.00952,0.00416,-0.0336,0.8086,1.0000
2.750,0.4775,0.00955,0.00422,-0.0324,0.7951,1.0000
3.000,0.4979,0.00946,0.00409,-0.0303,0.7719,1.0000
3.250,0.5179,0.00935,0.00394,-0.0281,0.7399,1.0000
3.500,0.5396,0.00932,0.00393,-0.0264,0.7095,1.0000
3.750,0.5617,0.00934,0.00393,-0.0250,0.6763,1.0000
4.000,0.5826,0.00945,0.00392,-0.0232,0.6232,1.0000
4.250,0.6009,0.00983,0.00396,-0.0210,0.5190,1.0000
4.500,0.6104,0.01127,0.00435,-0.0179,0.3180,1.0000
4.750,0.6167,0.01375,0.00547,-0.0151,0.0867,1.0000
5.000,0.6347,0.01492,0.00656,-0.0135,0.0606,1.0000
5.250,0.6522,0.01622,0.00783,-0.0118,0.0501,1.0000
5.500,0.6735,0.01715,0.00885,-0.0105,0.0454,1.0000
5.750,0.6943,0.01826,0.00994,-0.0093,0.0402,1.0000
6.000,0.7152,0.02010,0.01182,-0.0081,0.0368,1.0000
6.250,0.7393,0.02161,0.01349,-0.0071,0.0349,1.0000
6.500,0.7637,0.02357,0.01570,-0.0061,0.0336,1.0000
6.750,0.7868,0.02507,0.01737,-0.0053,0.0308,1.0000
7.000,0.8084,0.02703,0.01949,-0.0045,0.0287,1.0000
7.250,0.8297,0.02995,0.02279,-0.0031,0.0288,1.0000
7.500,0.8451,0.03564,0.02937,0.0000,0.0336,1.0000
11.250,0.7555,0.11996,0.11651,-0.0199,0.0462,1.0000
11.500,0.7530,0.12525,0.12178,-0.0227,0.0442,1.0000
11.750,0.7543,0.12937,0.12588,-0.0243,0.0418,1.0000
12.000,0.7614,0.13182,0.12835,-0.0234,0.0398,1.0000
12.250,0.7648,0.13561,0.13216,-0.0202,0.0381,1.0000
12.500,0.6029,0.13213,0.12880,-0.0100,0.0490,1.0000
12.750,0.5923,0.13635,0.13300,-0.0132,0.0474,1.0000
