Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiim-il-1000000
Airfoil,giiim-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,85.8829
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-giiim-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.5584,0.08955,0.08790,0.0065,1.0000,0.0172
-8.250,-0.5569,0.08543,0.08380,0.0033,1.0000,0.0174
-8.000,-0.5579,0.08058,0.07898,-0.0021,1.0000,0.0177
-7.750,-0.5544,0.07494,0.07330,-0.0086,1.0000,0.0183
-7.500,-0.5509,0.06474,0.06289,-0.0185,1.0000,0.0191
-7.250,-0.5409,0.05989,0.05793,-0.0204,1.0000,0.0191
-7.000,-0.5295,0.05525,0.05316,-0.0216,1.0000,0.0191
-6.750,-0.5232,0.05022,0.04803,-0.0225,1.0000,0.0194
-6.500,-0.5074,0.04781,0.04555,-0.0226,1.0000,0.0195
-6.250,-0.4904,0.04554,0.04322,-0.0227,1.0000,0.0197
-6.000,-0.4727,0.04340,0.04102,-0.0225,1.0000,0.0200
-5.750,-0.4549,0.04124,0.03879,-0.0222,1.0000,0.0204
-4.750,-0.3492,0.02485,0.02131,-0.0252,0.9665,0.0211
-4.500,-0.3309,0.01373,0.00890,-0.0228,0.9481,0.0231
-4.250,-0.3038,0.01364,0.00879,-0.0225,0.9306,0.0235
-4.000,-0.2778,0.01358,0.00869,-0.0220,0.9135,0.0240
-3.750,-0.2520,0.01304,0.00803,-0.0214,0.8981,0.0247
-3.500,-0.2263,0.01207,0.00687,-0.0206,0.8842,0.0259
-3.250,-0.2006,0.01121,0.00582,-0.0200,0.8710,0.0269
-3.000,-0.1743,0.01084,0.00540,-0.0195,0.8580,0.0275
-2.750,-0.1473,0.01062,0.00515,-0.0192,0.8455,0.0282
-2.500,-0.1203,0.01032,0.00480,-0.0188,0.8337,0.0290
-2.250,-0.0934,0.00998,0.00439,-0.0184,0.8209,0.0299
-2.000,-0.0664,0.00980,0.00412,-0.0180,0.8054,0.0307
-1.750,-0.0407,0.00917,0.00342,-0.0174,0.7887,0.0316
-1.500,-0.0141,0.00890,0.00312,-0.0170,0.7693,0.0324
-1.250,0.0126,0.00876,0.00291,-0.0166,0.7448,0.0333
-1.000,0.0393,0.00864,0.00271,-0.0161,0.7149,0.0344
-0.750,0.0658,0.00858,0.00251,-0.0157,0.6784,0.0354
-0.500,0.0926,0.00853,0.00234,-0.0153,0.6461,0.0361
-0.250,0.1186,0.00824,0.00195,-0.0148,0.6176,0.0374
0.000,0.1455,0.00820,0.00183,-0.0145,0.5899,0.0387
0.250,0.1727,0.00820,0.00175,-0.0143,0.5640,0.0403
0.500,0.1999,0.00822,0.00169,-0.0140,0.5403,0.0418
0.750,0.2271,0.00812,0.00152,-0.0138,0.5216,0.0437
1.000,0.2546,0.00809,0.00145,-0.0136,0.5056,0.0461
1.250,0.2822,0.00809,0.00142,-0.0134,0.4906,0.0487
1.500,0.3097,0.00806,0.00135,-0.0132,0.4753,0.0525
2.000,0.3649,0.00806,0.00129,-0.0129,0.4434,0.0641
2.250,0.3923,0.00803,0.00130,-0.0127,0.4253,0.0964
2.500,0.4040,0.00598,0.00136,-0.0100,0.4090,0.8623
2.750,0.4279,0.00591,0.00147,-0.0085,0.3839,0.9538
3.000,0.4667,0.00627,0.00158,-0.0109,0.3200,0.9847
3.250,0.5084,0.00672,0.00175,-0.0141,0.2611,0.9950
3.500,0.5488,0.00707,0.00189,-0.0170,0.2221,0.9997
3.750,0.5744,0.00730,0.00202,-0.0166,0.2004,1.0000
4.000,0.5991,0.00752,0.00214,-0.0160,0.1817,1.0000
4.250,0.6237,0.00775,0.00228,-0.0153,0.1621,1.0000
4.500,0.6483,0.00801,0.00242,-0.0147,0.1434,1.0000
4.750,0.6731,0.00826,0.00258,-0.0141,0.1273,1.0000
5.000,0.6979,0.00852,0.00276,-0.0135,0.1137,1.0000
5.250,0.7230,0.00876,0.00294,-0.0129,0.1037,1.0000
5.500,0.7483,0.00898,0.00313,-0.0124,0.0957,1.0000
5.750,0.7736,0.00925,0.00334,-0.0119,0.0874,1.0000
6.000,0.7993,0.00947,0.00354,-0.0115,0.0815,1.0000
6.250,0.8248,0.00974,0.00378,-0.0111,0.0755,1.0000
6.500,0.8507,0.00997,0.00399,-0.0107,0.0709,1.0000
6.750,0.8761,0.01028,0.00426,-0.0103,0.0653,1.0000
7.000,0.9021,0.01051,0.00449,-0.0100,0.0617,1.0000
7.250,0.9272,0.01088,0.00482,-0.0096,0.0566,1.0000
7.500,0.9533,0.01110,0.00506,-0.0093,0.0542,1.0000
7.750,0.9788,0.01142,0.00535,-0.0090,0.0508,1.0000
8.000,1.0040,0.01177,0.00571,-0.0086,0.0476,1.0000
8.250,1.0297,0.01205,0.00600,-0.0083,0.0454,1.0000
8.500,1.0547,0.01244,0.00637,-0.0080,0.0429,1.0000
8.750,1.0794,0.01286,0.00681,-0.0076,0.0408,1.0000
9.000,1.1048,0.01317,0.00715,-0.0073,0.0394,1.0000
9.250,1.1297,0.01353,0.00753,-0.0069,0.0378,1.0000
9.500,1.1535,0.01405,0.00804,-0.0065,0.0359,1.0000
9.750,1.1775,0.01451,0.00854,-0.0060,0.0347,1.0000
10.000,1.2021,0.01488,0.00896,-0.0057,0.0337,1.0000
10.250,1.2263,0.01529,0.00941,-0.0053,0.0327,1.0000
10.500,1.2499,0.01577,0.00990,-0.0048,0.0317,1.0000
10.750,1.2719,0.01643,0.01059,-0.0042,0.0305,1.0000
11.000,1.2931,0.01716,0.01138,-0.0035,0.0296,1.0000
11.250,1.3165,0.01760,0.01188,-0.0031,0.0291,1.0000
11.500,1.3393,0.01808,0.01242,-0.0026,0.0284,1.0000
11.750,1.3615,0.01861,0.01299,-0.0020,0.0277,1.0000
12.000,1.3829,0.01919,0.01361,-0.0014,0.0270,1.0000
12.250,1.4031,0.01988,0.01434,-0.0007,0.0264,1.0000
12.500,1.4199,0.02088,0.01540,0.0003,0.0257,1.0000
12.750,1.4348,0.02199,0.01660,0.0015,0.0251,1.0000
13.000,1.4542,0.02262,0.01731,0.0023,0.0248,1.0000
13.250,1.4725,0.02329,0.01806,0.0032,0.0244,1.0000
13.500,1.4893,0.02404,0.01888,0.0042,0.0239,1.0000
13.750,1.5033,0.02487,0.01978,0.0055,0.0235,1.0000
14.000,1.5146,0.02579,0.02078,0.0071,0.0231,1.0000
14.250,1.5244,0.02684,0.02190,0.0085,0.0228,1.0000
14.500,1.5325,0.02808,0.02321,0.0098,0.0225,1.0000
14.750,1.5384,0.02960,0.02481,0.0109,0.0221,1.0000
15.000,1.5403,0.03160,0.02690,0.0117,0.0218,1.0000
15.250,1.5356,0.03448,0.02988,0.0121,0.0214,1.0000
15.500,1.5305,0.03765,0.03319,0.0120,0.0211,1.0000
15.750,1.5356,0.03993,0.03558,0.0115,0.0210,1.0000
16.000,1.5372,0.04273,0.03849,0.0107,0.0208,1.0000
16.250,1.5364,0.04601,0.04190,0.0095,0.0207,1.0000
16.500,1.5330,0.04976,0.04577,0.0079,0.0205,1.0000
16.750,1.5269,0.05401,0.05015,0.0060,0.0203,1.0000
17.000,1.5180,0.05876,0.05503,0.0038,0.0202,1.0000
17.250,1.5065,0.06393,0.06033,0.0014,0.0200,1.0000
17.500,1.4920,0.06963,0.06616,-0.0014,0.0199,1.0000
17.750,1.4749,0.07583,0.07248,-0.0044,0.0198,1.0000
18.000,1.4561,0.08254,0.07932,-0.0077,0.0198,1.0000
18.250,1.4356,0.08973,0.08663,-0.0114,0.0197,1.0000
18.500,1.4138,0.09740,0.09443,-0.0153,0.0196,1.0000
18.750,1.3909,0.10542,0.10257,-0.0195,0.0195,1.0000
19.000,1.3674,0.11370,0.11098,-0.0239,0.0195,1.0000
19.250,1.3446,0.12205,0.11944,-0.0284,0.0194,1.0000
