Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-giiin-il-50000
Airfoil,giiin-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.5851
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-giiin-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.5346,0.10901,0.10202,0.0139,1.0000,0.1637
-8.250,-0.5288,0.10582,0.09887,0.0133,1.0000,0.1737
-8.000,-0.5519,0.10400,0.09719,0.0048,1.0000,0.1769
-7.750,-0.5270,0.09915,0.09234,0.0101,1.0000,0.1918
-7.500,-0.5156,0.09516,0.08841,0.0112,1.0000,0.2032
-7.000,-0.5319,0.08945,0.08281,0.0013,1.0000,0.2287
-6.750,-0.5150,0.08512,0.07861,0.0056,1.0000,0.2481
-6.500,-0.4980,0.08196,0.07550,0.0100,1.0000,0.2726
-6.250,-0.4951,0.07899,0.07262,0.0107,1.0000,0.3023
-6.000,-0.4813,0.07649,0.07020,0.0157,1.0000,0.3418
-5.500,-0.4255,0.07288,0.06666,0.0357,1.0000,0.5182
-5.250,-0.3313,0.06873,0.06237,0.0461,1.0000,0.7268
-5.000,-0.1159,0.05177,0.04509,0.0167,1.0000,1.0000
-4.750,-0.1024,0.04926,0.04263,0.0152,1.0000,1.0000
-4.500,-0.0887,0.04682,0.04024,0.0136,1.0000,1.0000
-4.250,-0.0748,0.04444,0.03793,0.0120,1.0000,1.0000
-4.000,-0.1149,0.04591,0.03956,0.0224,1.0000,0.9667
-3.750,-0.2027,0.04915,0.04306,0.0377,1.0000,0.8589
-3.500,-0.2720,0.04917,0.04337,0.0423,1.0000,0.7538
-3.250,-0.3272,0.04732,0.04182,0.0432,1.0000,0.6859
-3.000,-0.3693,0.04183,0.03643,0.0264,1.0000,0.5716
-2.750,-0.2782,0.03403,0.02646,-0.0102,1.0000,0.3300
-2.500,-0.2421,0.03220,0.02390,-0.0122,1.0000,0.2732
-2.250,-0.2121,0.03090,0.02203,-0.0123,1.0000,0.2390
-2.000,-0.1862,0.02970,0.02043,-0.0117,1.0000,0.2209
-1.750,-0.1611,0.02880,0.01916,-0.0110,1.0000,0.2073
-1.500,-0.1362,0.02836,0.01827,-0.0101,1.0000,0.1938
-1.250,-0.1133,0.02703,0.01693,-0.0096,1.0000,0.1872
-1.000,-0.0905,0.02633,0.01605,-0.0091,1.0000,0.1831
-0.750,-0.0681,0.02585,0.01541,-0.0087,1.0000,0.1811
-0.500,-0.0455,0.02567,0.01506,-0.0083,1.0000,0.1782
-0.250,-0.0239,0.02546,0.01478,-0.0080,1.0000,0.1766
0.000,-0.0027,0.02527,0.01456,-0.0078,1.0000,0.1776
0.250,0.0339,0.02488,0.01424,-0.0103,0.9945,0.1816
0.500,0.0922,0.02465,0.01402,-0.0164,0.9772,0.1862
0.750,0.1498,0.02446,0.01389,-0.0226,0.9594,0.1986
1.000,0.2064,0.02428,0.01386,-0.0285,0.9398,0.2180
1.250,0.2799,0.02184,0.01400,-0.0349,0.9162,1.0000
1.500,0.3465,0.02206,0.01388,-0.0400,0.8874,1.0000
1.750,0.3949,0.02225,0.01383,-0.0421,0.8616,1.0000
2.000,0.4270,0.02255,0.01397,-0.0417,0.8358,1.0000
2.250,0.4580,0.02268,0.01398,-0.0405,0.8106,1.0000
2.500,0.4826,0.02283,0.01405,-0.0383,0.7841,1.0000
2.750,0.5070,0.02279,0.01393,-0.0355,0.7575,1.0000
3.000,0.5279,0.02280,0.01388,-0.0324,0.7280,1.0000
3.250,0.5493,0.02263,0.01363,-0.0288,0.6974,1.0000
3.500,0.5700,0.02244,0.01332,-0.0250,0.6637,1.0000
3.750,0.5902,0.02234,0.01309,-0.0213,0.6249,1.0000
4.000,0.6108,0.02231,0.01280,-0.0175,0.5830,1.0000
4.250,0.6308,0.02261,0.01286,-0.0144,0.5341,1.0000
4.500,0.6515,0.02308,0.01306,-0.0118,0.4859,1.0000
4.750,0.6732,0.02359,0.01322,-0.0095,0.4434,1.0000
5.000,0.6948,0.02432,0.01378,-0.0078,0.4021,1.0000
5.250,0.7172,0.02509,0.01435,-0.0063,0.3674,1.0000
5.500,0.7400,0.02599,0.01505,-0.0050,0.3377,1.0000
5.750,0.7633,0.02700,0.01584,-0.0039,0.3121,1.0000
6.000,0.7865,0.02836,0.01712,-0.0030,0.2903,1.0000
6.250,0.8095,0.02988,0.01863,-0.0021,0.2712,1.0000
6.500,0.8325,0.03163,0.02041,-0.0014,0.2557,1.0000
6.750,0.8553,0.03348,0.02225,-0.0007,0.2421,1.0000
7.000,0.8777,0.03544,0.02428,-0.0001,0.2305,1.0000
7.250,0.8963,0.03796,0.02717,0.0005,0.2204,1.0000
7.500,0.9196,0.04011,0.02918,0.0011,0.2118,1.0000
7.750,0.9315,0.04344,0.03321,0.0017,0.2053,1.0000
8.000,0.9514,0.04575,0.03556,0.0023,0.1980,1.0000
8.250,0.9635,0.04947,0.03960,0.0027,0.1938,1.0000
8.500,0.9641,0.05439,0.04511,0.0027,0.1912,1.0000
8.750,0.9581,0.06000,0.05118,0.0020,0.1895,1.0000
9.000,0.9412,0.06688,0.05842,0.0003,0.1899,1.0000
9.250,0.9175,0.07474,0.06648,-0.0026,0.1922,1.0000
9.500,0.9022,0.08180,0.07360,-0.0053,0.1944,1.0000
