Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe11k-il-50000
Airfoil,goe11k-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.1604
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-goe11k-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.4948,0.10681,0.09990,-0.0206,1.0000,0.2168
-8.000,-0.4829,0.10251,0.09561,-0.0186,1.0000,0.2279
-7.750,-0.5135,0.10232,0.09561,-0.0173,1.0000,0.2320
-7.500,-0.5014,0.09811,0.09141,-0.0151,1.0000,0.2447
-7.250,-0.5029,0.09507,0.08843,-0.0130,1.0000,0.2536
-7.000,-0.5313,0.09428,0.08781,-0.0118,1.0000,0.2616
-6.750,-0.5270,0.09089,0.08446,-0.0092,1.0000,0.2752
-6.500,-0.5288,0.08797,0.08159,-0.0069,1.0000,0.2895
-6.250,-0.5368,0.08551,0.07918,-0.0051,1.0000,0.3055
-6.000,-0.5287,0.08216,0.07587,-0.0009,1.0000,0.3291
-5.750,-0.5452,0.08046,0.07425,0.0007,1.0000,0.3510
-5.500,-0.5356,0.07713,0.07097,0.0063,1.0000,0.3842
-5.250,-0.5296,0.07443,0.06831,0.0115,1.0000,0.4199
-4.750,-0.2194,0.05653,0.04935,0.0017,1.0000,0.9024
-4.500,-0.2388,0.05550,0.04845,0.0067,1.0000,0.8819
-4.250,-0.2915,0.05605,0.04927,0.0172,1.0000,0.8406
-3.750,-0.4374,0.04450,0.03619,-0.0222,1.0000,0.2058
-3.500,-0.4106,0.04041,0.03141,-0.0226,1.0000,0.1809
-3.250,-0.3855,0.03757,0.02765,-0.0221,1.0000,0.1730
-3.000,-0.3650,0.03514,0.02505,-0.0211,1.0000,0.1776
-2.750,-0.3412,0.03298,0.02232,-0.0201,1.0000,0.1769
-2.500,-0.3188,0.03140,0.02039,-0.0189,1.0000,0.1839
-2.250,-0.2949,0.02991,0.01845,-0.0178,1.0000,0.1896
-2.000,-0.2709,0.02852,0.01690,-0.0169,1.0000,0.1951
-1.750,-0.2464,0.02748,0.01562,-0.0162,1.0000,0.2067
-1.500,-0.2205,0.02654,0.01445,-0.0155,1.0000,0.2155
-1.250,-0.1910,0.02566,0.01346,-0.0155,1.0000,0.2265
-1.000,-0.1618,0.02501,0.01271,-0.0155,1.0000,0.2475
-0.750,-0.1339,0.02427,0.01211,-0.0155,1.0000,0.2774
-0.500,-0.0598,0.02111,0.01112,-0.0233,1.0000,1.0000
-0.250,-0.0389,0.02133,0.01092,-0.0221,1.0000,1.0000
0.000,-0.0182,0.02157,0.01087,-0.0209,1.0000,1.0000
0.250,0.0023,0.02182,0.01088,-0.0199,1.0000,1.0000
0.500,0.0227,0.02210,0.01096,-0.0189,1.0000,1.0000
0.750,0.0432,0.02240,0.01110,-0.0179,1.0000,1.0000
1.000,0.0636,0.02271,0.01129,-0.0169,1.0000,1.0000
1.250,0.0839,0.02305,0.01152,-0.0160,1.0000,1.0000
1.500,0.1041,0.02341,0.01180,-0.0151,1.0000,1.0000
1.750,0.1243,0.02379,0.01212,-0.0142,1.0000,1.0000
2.000,0.1443,0.02419,0.01249,-0.0134,1.0000,1.0000
2.250,0.1643,0.02462,0.01291,-0.0126,1.0000,1.0000
2.500,0.1840,0.02508,0.01337,-0.0118,1.0000,1.0000
2.750,0.2036,0.02557,0.01388,-0.0110,1.0000,1.0000
3.000,0.2230,0.02609,0.01444,-0.0102,1.0000,1.0000
3.250,0.2421,0.02665,0.01506,-0.0095,1.0000,1.0000
3.500,0.2609,0.02726,0.01576,-0.0088,1.0000,1.0000
3.750,0.2792,0.02791,0.01651,-0.0081,1.0000,1.0000
4.000,0.2971,0.02863,0.01734,-0.0075,1.0000,1.0000
4.250,0.3142,0.02942,0.01827,-0.0069,1.0000,1.0000
4.500,0.3306,0.03032,0.01934,-0.0064,1.0000,1.0000
4.750,0.3458,0.03133,0.02053,-0.0059,1.0000,1.0000
5.000,0.3595,0.03253,0.02192,-0.0056,1.0000,1.0000
5.250,0.6442,0.02784,0.01919,-0.0414,0.8170,1.0000
5.500,0.7409,0.02631,0.01437,-0.0401,0.2391,1.0000
5.750,0.8119,0.02910,0.01692,-0.0475,0.1908,1.0000
6.000,0.8647,0.03199,0.01985,-0.0515,0.1660,1.0000
6.250,0.8982,0.03461,0.02267,-0.0520,0.1506,1.0000
6.500,0.9288,0.03769,0.02595,-0.0521,0.1410,1.0000
6.750,0.9489,0.04016,0.02885,-0.0501,0.1330,1.0000
7.000,0.9735,0.04381,0.03274,-0.0493,0.1297,1.0000
7.250,0.9863,0.04710,0.03654,-0.0463,0.1278,1.0000
7.500,0.9927,0.05008,0.04012,-0.0423,0.1262,1.0000
7.750,0.9988,0.05356,0.04407,-0.0387,0.1260,1.0000
8.000,1.0092,0.05800,0.04877,-0.0363,0.1282,1.0000
8.250,0.9950,0.06165,0.05328,-0.0303,0.1361,1.0000
8.500,1.0046,0.06707,0.05883,-0.0285,0.1423,1.0000
8.750,0.9850,0.07174,0.06407,-0.0239,0.1554,1.0000
9.000,0.9527,0.07708,0.06987,-0.0201,0.1754,1.0000
9.250,0.9198,0.08334,0.07632,-0.0183,0.1977,1.0000
9.500,0.8632,0.08968,0.08267,-0.0189,0.2198,1.0000
