Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe178-il-200000
Airfoil,goe178-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,78.1085
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-goe178-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.3557,0.09205,0.08873,-0.0179,1.0000,0.0445
-7.500,-0.3507,0.08921,0.08593,-0.0193,1.0000,0.0467
-7.250,-0.3493,0.08642,0.08320,-0.0250,1.0000,0.0496
-7.000,-0.3384,0.08246,0.07924,-0.0398,1.0000,0.0506
-6.750,-0.3387,0.07800,0.07486,-0.0342,1.0000,0.0516
-6.500,-0.3323,0.07567,0.07257,-0.0310,1.0000,0.0528
-6.250,-0.3260,0.07328,0.07020,-0.0304,1.0000,0.0544
-6.000,-0.3199,0.07064,0.06759,-0.0314,1.0000,0.0566
-5.750,-0.2938,0.06614,0.06284,-0.0471,1.0000,0.0618
-5.500,-0.2928,0.06122,0.05799,-0.0463,1.0000,0.0626
-5.250,-0.2766,0.05864,0.05549,-0.0447,0.9970,0.0643
-5.000,-0.2403,0.05530,0.05210,-0.0494,0.9919,0.0691
-4.750,-0.1794,0.04723,0.04359,-0.0653,0.9854,0.0762
-4.500,-0.1456,0.04415,0.04052,-0.0684,0.9797,0.0786
-4.250,-0.0883,0.03919,0.03489,-0.0786,0.9734,0.0895
-4.000,-0.0534,0.03549,0.03130,-0.0819,0.9675,0.0917
-3.750,-0.0149,0.03272,0.02841,-0.0854,0.9586,0.0955
-3.500,0.0340,0.02537,0.01991,-0.0905,0.9481,0.0763
-3.250,0.0724,0.02094,0.01465,-0.0919,0.9350,0.0622
-3.000,0.1035,0.01865,0.01208,-0.0924,0.9166,0.0611
-2.750,0.1326,0.01701,0.01012,-0.0921,0.8937,0.0610
-2.500,0.1604,0.01581,0.00863,-0.0913,0.8673,0.0613
-2.250,0.1865,0.01474,0.00729,-0.0903,0.8365,0.0628
-2.000,0.2116,0.01412,0.00651,-0.0891,0.8018,0.0655
-1.750,0.2370,0.01365,0.00581,-0.0880,0.7644,0.0673
-1.500,0.2629,0.01326,0.00520,-0.0871,0.7240,0.0699
-1.250,0.2893,0.01300,0.00467,-0.0864,0.6867,0.0738
-1.000,0.3160,0.01264,0.00419,-0.0860,0.6567,0.0808
-0.750,0.3433,0.01237,0.00379,-0.0857,0.6339,0.0991
-0.500,0.3710,0.01218,0.00355,-0.0857,0.6156,0.1332
-0.250,0.3986,0.01214,0.00349,-0.0857,0.6006,0.1602
0.250,0.4539,0.01159,0.00352,-0.0860,0.5770,0.3793
0.500,0.4752,0.01024,0.00351,-0.0840,0.5681,1.0000
0.750,0.5032,0.01048,0.00351,-0.0839,0.5589,1.0000
1.000,0.5313,0.01065,0.00355,-0.0839,0.5489,1.0000
1.250,0.5592,0.01087,0.00361,-0.0838,0.5401,1.0000
1.500,0.5871,0.01107,0.00368,-0.0837,0.5314,1.0000
1.750,0.6151,0.01128,0.00379,-0.0837,0.5239,1.0000
2.000,0.6431,0.01149,0.00392,-0.0837,0.5173,1.0000
2.250,0.6711,0.01173,0.00407,-0.0837,0.5113,1.0000
2.500,0.6990,0.01193,0.00424,-0.0837,0.5048,1.0000
2.750,0.7269,0.01220,0.00441,-0.0836,0.4996,1.0000
3.000,0.7548,0.01240,0.00464,-0.0837,0.4935,1.0000
3.250,0.7824,0.01263,0.00481,-0.0836,0.4866,1.0000
3.500,0.8099,0.01284,0.00502,-0.0835,0.4791,1.0000
3.750,0.8373,0.01305,0.00519,-0.0834,0.4713,1.0000
4.000,0.8646,0.01327,0.00543,-0.0833,0.4639,1.0000
4.250,0.8920,0.01349,0.00565,-0.0832,0.4572,1.0000
4.500,0.9193,0.01374,0.00593,-0.0831,0.4506,1.0000
4.750,0.9464,0.01394,0.00616,-0.0830,0.4429,1.0000
5.000,0.9733,0.01417,0.00643,-0.0828,0.4350,1.0000
5.250,1.0003,0.01438,0.00667,-0.0826,0.4275,1.0000
5.500,1.0269,0.01458,0.00694,-0.0824,0.4186,1.0000
5.750,1.0531,0.01471,0.00710,-0.0821,0.4075,1.0000
6.000,1.0788,0.01477,0.00719,-0.0817,0.3940,1.0000
6.250,1.1044,0.01480,0.00729,-0.0813,0.3786,1.0000
6.500,1.1302,0.01490,0.00749,-0.0809,0.3647,1.0000
6.750,1.1560,0.01499,0.00770,-0.0806,0.3477,1.0000
7.000,1.1810,0.01512,0.00785,-0.0801,0.3222,1.0000
7.250,1.2043,0.01548,0.00810,-0.0795,0.2804,1.0000
7.500,1.2210,0.01678,0.00894,-0.0782,0.2009,1.0000
7.750,1.2214,0.02049,0.01168,-0.0753,0.0521,1.0000
8.000,1.2374,0.02197,0.01328,-0.0738,0.0407,1.0000
8.250,1.2531,0.02329,0.01470,-0.0723,0.0359,1.0000
8.500,1.2659,0.02477,0.01632,-0.0704,0.0335,1.0000
8.750,1.2789,0.02612,0.01778,-0.0685,0.0317,1.0000
9.000,1.2904,0.02750,0.01925,-0.0665,0.0300,1.0000
9.250,1.3004,0.02890,0.02072,-0.0645,0.0284,1.0000
9.500,1.3012,0.03087,0.02272,-0.0614,0.0270,1.0000
9.750,1.3042,0.03275,0.02467,-0.0585,0.0263,1.0000
10.000,1.3110,0.03450,0.02652,-0.0562,0.0259,1.0000
10.250,1.3195,0.03637,0.02847,-0.0542,0.0254,1.0000
10.500,1.3305,0.03831,0.03050,-0.0523,0.0250,1.0000
10.750,1.3452,0.04038,0.03268,-0.0506,0.0247,1.0000
11.000,1.3637,0.04270,0.03516,-0.0493,0.0245,1.0000
11.250,1.3820,0.04530,0.03793,-0.0481,0.0244,1.0000
11.500,1.3931,0.04777,0.04061,-0.0465,0.0239,1.0000
11.750,1.4003,0.05031,0.04336,-0.0449,0.0234,1.0000
12.000,1.4053,0.05331,0.04661,-0.0432,0.0232,1.0000
12.250,1.4075,0.05724,0.05085,-0.0414,0.0238,1.0000
12.500,1.4040,0.06133,0.05523,-0.0398,0.0244,1.0000
12.750,1.3965,0.06562,0.05977,-0.0385,0.0249,1.0000
13.000,1.3868,0.07023,0.06461,-0.0376,0.0255,1.0000
13.250,1.4031,0.07472,0.06922,-0.0367,0.0274,1.0000
13.500,1.3470,0.08126,0.07643,-0.0378,0.0296,1.0000
