Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe383-il-200000
Airfoil,goe383-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,62.2456
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-goe383-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.0378,0.10683,0.10291,-0.0769,0.8344,0.0946
-11.250,-0.0290,0.10462,0.10064,-0.0765,0.8244,0.0962
-11.000,-0.0722,0.09728,0.09327,-0.0826,0.8213,0.1017
-10.750,-0.0488,0.09572,0.09168,-0.0809,0.8103,0.1023
-10.500,-0.0325,0.09411,0.08999,-0.0797,0.8019,0.1035
-10.250,-0.0224,0.09181,0.08767,-0.0798,0.7939,0.1058
-10.000,-0.0617,0.08369,0.07956,-0.0859,0.7900,0.1114
-9.750,-0.4182,0.04515,0.03937,-0.1048,0.8094,0.0708
-9.500,-0.4034,0.04277,0.03688,-0.1041,0.8020,0.0701
-9.250,-0.3951,0.03996,0.03386,-0.1031,0.7940,0.0688
-9.000,-0.4151,0.03492,0.02754,-0.0985,0.7863,0.0649
-8.750,-0.3961,0.03312,0.02548,-0.0977,0.7803,0.0648
-8.500,-0.3764,0.03153,0.02369,-0.0969,0.7736,0.0647
-8.250,-0.3557,0.03013,0.02207,-0.0961,0.7671,0.0647
-8.000,-0.3339,0.02891,0.02059,-0.0953,0.7617,0.0648
-7.750,-0.3100,0.02755,0.01907,-0.0948,0.7564,0.0652
-7.500,-0.2854,0.02639,0.01790,-0.0946,0.7492,0.0658
-7.250,-0.2602,0.02551,0.01697,-0.0942,0.7425,0.0667
-7.000,-0.2345,0.02473,0.01606,-0.0938,0.7369,0.0676
-6.750,-0.2092,0.02399,0.01525,-0.0934,0.7313,0.0685
-6.500,-0.1834,0.02327,0.01444,-0.0930,0.7259,0.0692
-6.250,-0.1570,0.02259,0.01365,-0.0927,0.7209,0.0700
-6.000,-0.1303,0.02201,0.01293,-0.0923,0.7166,0.0708
-5.750,-0.1038,0.02132,0.01225,-0.0921,0.7124,0.0719
-5.500,-0.0786,0.02075,0.01178,-0.0917,0.7073,0.0732
-5.250,-0.0531,0.02028,0.01132,-0.0913,0.7022,0.0747
-5.000,-0.0271,0.01986,0.01084,-0.0909,0.6977,0.0768
-4.750,-0.0016,0.01940,0.01037,-0.0904,0.6937,0.0792
-4.500,0.0229,0.01908,0.01012,-0.0899,0.6894,0.0820
-4.250,0.0476,0.01878,0.00982,-0.0893,0.6844,0.0851
-4.000,0.0719,0.01839,0.00949,-0.0887,0.6794,0.0891
-3.750,0.0976,0.01804,0.00913,-0.0882,0.6749,0.0948
-3.500,0.1238,0.01779,0.00888,-0.0878,0.6707,0.1048
-3.250,0.1465,0.01740,0.00871,-0.0870,0.6656,0.1299
-3.000,0.1676,0.01672,0.00845,-0.0861,0.6605,0.2023
-2.750,0.1916,0.01632,0.00834,-0.0855,0.6558,0.2802
-2.500,0.2173,0.01604,0.00820,-0.0851,0.6515,0.3346
-2.250,0.2412,0.01585,0.00821,-0.0845,0.6467,0.3899
-2.000,0.2629,0.01556,0.00825,-0.0834,0.6408,0.4601
-1.750,0.2855,0.01524,0.00826,-0.0823,0.6353,0.5423
-1.500,0.3099,0.01505,0.00829,-0.0812,0.6306,0.6255
-1.250,0.3345,0.01510,0.00847,-0.0801,0.6258,0.6851
-1.000,0.3570,0.01512,0.00865,-0.0787,0.6196,0.7298
-0.750,0.3814,0.01513,0.00872,-0.0775,0.6140,0.7705
-0.500,0.4076,0.01516,0.00878,-0.0763,0.6092,0.8063
-0.250,0.4323,0.01533,0.00895,-0.0751,0.6038,0.8363
0.000,0.4550,0.01543,0.00911,-0.0736,0.5969,0.8612
0.250,0.4820,0.01551,0.00914,-0.0728,0.5911,0.8834
0.500,0.5134,0.01565,0.00916,-0.0727,0.5863,0.9033
0.750,0.5433,0.01588,0.00941,-0.0728,0.5797,0.9206
1.000,0.5794,0.01605,0.00954,-0.0741,0.5731,0.9361
1.250,0.6220,0.01618,0.00954,-0.0765,0.5677,0.9497
1.500,0.6678,0.01639,0.00966,-0.0801,0.5615,0.9583
1.750,0.7096,0.01651,0.00975,-0.0831,0.5542,0.9663
2.000,0.7573,0.01656,0.00969,-0.0871,0.5486,0.9734
2.250,0.8051,0.01668,0.00968,-0.0912,0.5433,0.9813
2.500,0.8516,0.01680,0.00984,-0.0953,0.5359,0.9900
2.750,0.9020,0.01679,0.00973,-0.1001,0.5300,0.9968
3.000,0.9381,0.01681,0.00961,-0.1021,0.5255,1.0000
3.250,0.9489,0.01697,0.00983,-0.0997,0.5197,1.0000
3.500,0.9630,0.01704,0.00989,-0.0976,0.5143,1.0000
3.750,0.9805,0.01706,0.00982,-0.0960,0.5097,1.0000
4.000,0.9984,0.01716,0.00983,-0.0944,0.5047,1.0000
4.250,1.0097,0.01732,0.01002,-0.0917,0.4984,1.0000
4.500,1.0273,0.01738,0.01003,-0.0899,0.4931,1.0000
4.750,1.0503,0.01748,0.01000,-0.0891,0.4887,1.0000
5.000,1.0644,0.01776,0.01031,-0.0869,0.4836,1.0000
5.250,1.0810,0.01797,0.01053,-0.0850,0.4784,1.0000
