Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe481a-il-50000
Airfoil,goe481a-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,6.49901
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-goe481a-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.2814,0.14388,0.13651,-0.0225,1.0000,0.1866
-9.250,-0.3007,0.14446,0.13719,-0.0225,1.0000,0.1895
-9.000,-0.3359,0.14688,0.13974,-0.0225,1.0000,0.1905
-8.750,-0.2907,0.13786,0.13071,-0.0203,1.0000,0.1938
-8.500,-0.2837,0.13519,0.12809,-0.0189,1.0000,0.1978
-8.250,-0.2864,0.13352,0.12649,-0.0178,1.0000,0.2022
-8.000,-0.3043,0.13340,0.12647,-0.0170,1.0000,0.2064
-7.750,-0.3417,0.13530,0.12852,-0.0163,1.0000,0.2080
-7.500,-0.3197,0.12952,0.12277,-0.0148,1.0000,0.2104
-7.250,-0.3067,0.12623,0.11953,-0.0130,1.0000,0.2139
-7.000,-0.3079,0.12440,0.11778,-0.0113,1.0000,0.2180
-6.750,-0.3202,0.12344,0.11691,-0.0098,1.0000,0.2227
-6.500,-0.3550,0.12433,0.11795,-0.0081,1.0000,0.2260
-6.250,-0.4039,0.12601,0.11980,-0.0054,1.0000,0.2270
-6.000,-0.3618,0.11947,0.11328,-0.0045,1.0000,0.2308
-5.750,-0.3566,0.11739,0.11127,-0.0024,1.0000,0.2356
-5.500,-0.3709,0.11650,0.11047,-0.0001,1.0000,0.2402
-5.250,-0.4054,0.11670,0.11080,0.0027,1.0000,0.2441
-5.000,-0.4591,0.11801,0.11219,0.0020,1.0000,0.2468
-4.750,-0.4426,0.11371,0.10799,0.0058,1.0000,0.2498
-4.500,-0.4344,0.11152,0.10586,0.0086,1.0000,0.2548
-4.250,-0.4469,0.11025,0.10466,0.0100,1.0000,0.2615
-4.000,-0.4823,0.10963,0.10405,0.0062,1.0000,0.2681
-3.750,-0.4111,0.10531,0.09967,-0.0010,0.9764,0.2851
-3.250,-0.3762,0.09947,0.09378,-0.0092,0.9488,0.3110
-3.000,-0.3634,0.09784,0.09209,-0.0128,0.9356,0.3304
-2.750,-0.3358,0.09425,0.08861,-0.0097,0.9241,0.3401
-2.500,-0.3210,0.09198,0.08635,-0.0102,0.9126,0.3617
-2.250,-0.3089,0.09018,0.08451,-0.0124,0.9017,0.3960
-2.000,-0.3045,0.08819,0.08258,-0.0094,0.8899,0.4183
-1.750,-0.2910,0.08596,0.08043,-0.0060,0.8791,0.4443
-1.500,0.2807,0.06959,0.06371,-0.0621,0.8799,1.0000
-1.250,0.3088,0.06733,0.06142,-0.0666,0.8696,1.0000
-1.000,0.0015,0.07672,0.07122,-0.0100,0.8503,0.8114
-0.750,0.1316,0.07201,0.06639,-0.0283,0.8388,0.9060
-0.500,0.0556,0.07272,0.06723,-0.0150,0.8270,0.8572
-0.250,-0.0607,0.07354,0.06820,0.0033,0.8182,0.8041
0.000,-0.1055,0.06833,0.06138,-0.0400,0.8049,0.3560
0.250,-0.0286,0.06366,0.05516,-0.0522,0.7965,0.2443
0.500,-0.0190,0.06285,0.05421,-0.0505,0.7855,0.2415
0.750,0.0143,0.06146,0.05245,-0.0517,0.7769,0.2361
1.000,0.0279,0.06102,0.05174,-0.0503,0.7665,0.2351
1.250,0.0593,0.06038,0.05082,-0.0510,0.7581,0.2389
1.500,0.0704,0.06045,0.05068,-0.0493,0.7478,0.2417
1.750,0.1063,0.05998,0.04976,-0.0502,0.7394,0.2464
2.000,0.1116,0.06033,0.05011,-0.0482,0.7298,0.2506
2.500,0.1521,0.06098,0.05044,-0.0474,0.7123,0.2684
2.750,0.1987,0.06052,0.04983,-0.0496,0.7042,0.2883
3.000,0.2017,0.06196,0.05131,-0.0485,0.6958,0.2967
3.250,0.2426,0.06248,0.05175,-0.0516,0.6871,0.3209
3.500,0.2727,0.06348,0.05275,-0.0535,0.6789,0.3444
3.750,0.2871,0.06495,0.05429,-0.0538,0.6709,0.3621
4.000,0.3605,0.06459,0.05413,-0.0597,0.6632,0.4133
4.250,0.3380,0.06766,0.05724,-0.0566,0.6579,0.4166
4.500,0.3530,0.06922,0.05910,-0.0572,0.6507,0.4496
4.750,0.4466,0.06968,0.06072,-0.0692,0.6399,1.0000
5.000,0.4378,0.07270,0.06364,-0.0674,0.6362,1.0000
5.250,0.4417,0.07514,0.06591,-0.0664,0.6316,1.0000
5.500,0.4923,0.07575,0.06615,-0.0679,0.6220,1.0000
5.750,0.4770,0.07919,0.06958,-0.0661,0.6199,1.0000
6.000,0.4699,0.08220,0.07257,-0.0648,0.6176,1.0000
6.250,0.4678,0.08492,0.07524,-0.0637,0.6142,1.0000
6.500,0.4446,0.09061,0.08103,-0.0642,0.6460,1.0000
6.750,0.4608,0.09356,0.08390,-0.0647,0.6443,1.0000
7.000,0.5232,0.08960,0.07960,-0.0620,0.5762,1.0000
7.250,0.5634,0.08999,0.07985,-0.0619,0.5596,1.0000
7.500,0.5455,0.09354,0.08344,-0.0604,0.5540,1.0000
7.750,0.5099,0.10067,0.09073,-0.0615,0.5866,1.0000
8.000,0.5286,0.10390,0.09392,-0.0623,0.5837,1.0000
8.250,0.6034,0.09868,0.08842,-0.0589,0.5186,1.0000
