Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe573-il-50000
Airfoil,goe573-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,11.6239
Max Cl/Cd alpha,-4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-goe573-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.2458,0.12588,0.12047,-0.0332,1.0000,0.1425
-9.250,-0.2753,0.12759,0.12241,-0.0282,1.0000,0.1429
-9.000,-0.3030,0.12920,0.12420,-0.0242,1.0000,0.1432
-8.750,-0.3202,0.12993,0.12506,-0.0265,0.9956,0.1446
-8.500,-0.2754,0.12208,0.11714,-0.0310,0.9870,0.1525
-8.250,-0.2715,0.12047,0.11554,-0.0400,0.9741,0.1600
-8.000,-0.2310,0.11361,0.10863,-0.0436,0.9641,0.1703
-7.750,-0.2428,0.11319,0.10825,-0.0513,0.9485,0.1762
-7.500,-0.1989,0.10628,0.10128,-0.0541,0.9388,0.1893
-7.250,-0.1845,0.10241,0.09741,-0.0582,0.9262,0.1972
-7.000,-0.1871,0.10077,0.09577,-0.0620,0.9114,0.2077
-6.750,-0.1603,0.09615,0.09112,-0.0644,0.9008,0.2216
-6.500,-0.1464,0.09282,0.08775,-0.0686,0.8899,0.2396
-6.250,-0.1397,0.09027,0.08518,-0.0712,0.8773,0.2571
-6.000,-0.1362,0.08812,0.08303,-0.0711,0.8640,0.2738
-5.750,-0.0984,0.08306,0.07795,-0.0719,0.8572,0.3038
-5.500,-0.0823,0.07994,0.07481,-0.0717,0.8469,0.3296
-5.250,-0.0853,0.07870,0.07357,-0.0692,0.8342,0.3529
-5.000,0.4695,0.04426,0.03803,-0.1267,0.8588,1.0000
-4.750,0.4939,0.04249,0.03616,-0.1304,0.8446,1.0000
-4.250,0.4081,0.04793,0.04177,-0.1079,0.8173,0.9222
-4.000,0.3443,0.05047,0.04446,-0.0952,0.8052,0.8569
-3.750,0.2830,0.05226,0.04638,-0.0849,0.7957,0.7985
-3.500,0.2303,0.05383,0.04814,-0.0751,0.7830,0.7715
-3.250,0.1790,0.05549,0.04997,-0.0651,0.7720,0.7561
-3.000,0.1256,0.05624,0.05085,-0.0558,0.7644,0.7375
-2.750,0.0792,0.05843,0.05322,-0.0449,0.7534,0.7475
-2.500,0.0267,0.05887,0.05378,-0.0350,0.7474,0.7394
-2.250,-0.0216,0.06173,0.05684,-0.0224,0.7383,0.7698
-2.000,-0.0704,0.06208,0.05732,-0.0140,0.7340,0.7591
-1.750,-0.1210,0.06256,0.05791,-0.0052,0.7314,0.7567
-1.500,-0.1773,0.06373,0.05924,0.0045,0.7293,0.7571
-1.250,-0.1064,0.06418,0.05801,-0.0423,0.7258,0.4352
-1.000,-0.0336,0.06368,0.05557,-0.0548,0.7227,0.2409
-0.750,-0.0248,0.06353,0.05516,-0.0535,0.7235,0.2214
-0.500,-0.0150,0.06374,0.05499,-0.0521,0.7248,0.2046
-0.250,-0.0035,0.06420,0.05499,-0.0508,0.7266,0.1909
0.000,0.0092,0.06434,0.05492,-0.0498,0.7289,0.1840
0.250,0.0339,0.06521,0.05514,-0.0497,0.7318,0.1766
0.500,-0.1422,0.07057,0.06198,-0.0334,0.8903,0.2091
0.750,-0.1193,0.06984,0.06078,-0.0330,0.8803,0.1922
1.000,-0.0848,0.07035,0.06095,-0.0346,0.8758,0.1813
1.250,-0.0732,0.06981,0.05998,-0.0326,0.8661,0.1756
1.500,-0.0367,0.07105,0.06088,-0.0348,0.8605,0.1750
1.750,-0.0249,0.07053,0.06017,-0.0334,0.8504,0.1740
2.000,0.0157,0.07223,0.06156,-0.0362,0.8443,0.1723
2.250,0.0274,0.07190,0.06104,-0.0350,0.8340,0.1719
2.500,0.0800,0.07454,0.06327,-0.0405,0.8283,0.1750
2.750,0.0982,0.07460,0.06324,-0.0410,0.8171,0.1799
3.000,0.1459,0.07743,0.06592,-0.0458,0.8116,0.1899
3.250,0.1582,0.07741,0.06588,-0.0449,0.8000,0.1958
3.500,0.1855,0.07917,0.06763,-0.0463,0.7936,0.2108
3.750,0.2107,0.08023,0.06885,-0.0474,0.7827,0.2409
4.000,0.2898,0.08265,0.07282,-0.0610,0.7741,1.0000
4.250,0.3192,0.08527,0.07503,-0.0622,0.7652,1.0000
4.500,0.3237,0.08614,0.07573,-0.0603,0.7536,1.0000
4.750,0.3498,0.08900,0.07835,-0.0614,0.7468,1.0000
5.000,0.3616,0.09021,0.07943,-0.0605,0.7346,1.0000
5.250,0.3682,0.09158,0.08069,-0.0591,0.7243,1.0000
5.500,0.4011,0.09489,0.08382,-0.0610,0.7167,1.0000
5.750,0.4008,0.09550,0.08438,-0.0588,0.7046,1.0000
6.000,0.4160,0.09785,0.08662,-0.0587,0.6974,1.0000
6.250,0.4337,0.09979,0.08847,-0.0586,0.6866,1.0000
