Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe602m-il-100000
Airfoil,goe602m-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,59.4798
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-goe602m-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3671,0.09437,0.08974,-0.0321,1.0000,0.1046
-7.750,-0.3836,0.09293,0.08841,-0.0312,1.0000,0.1071
-7.500,-0.4096,0.09214,0.08778,-0.0298,1.0000,0.1083
-7.250,-0.4373,0.09021,0.08598,-0.0358,1.0000,0.1093
-7.000,-0.4245,0.08609,0.08188,-0.0281,1.0000,0.1117
-6.750,-0.4185,0.08403,0.07984,-0.0243,1.0000,0.1165
-6.500,-0.4282,0.08146,0.07733,-0.0257,1.0000,0.1212
-6.250,-0.4415,0.07654,0.07239,-0.0361,1.0000,0.1248
-6.000,-0.4332,0.07540,0.07136,-0.0257,1.0000,0.1293
-5.500,-0.4300,0.06837,0.06433,-0.0298,1.0000,0.1422
-5.000,-0.4101,0.06138,0.05705,-0.0378,1.0000,0.1673
-4.750,-0.4038,0.05831,0.05410,-0.0345,1.0000,0.1704
-4.500,-0.3910,0.05537,0.05108,-0.0356,1.0000,0.1843
-4.250,-0.3286,0.03760,0.03158,-0.0527,1.0000,0.0982
-4.000,-0.3011,0.03343,0.02680,-0.0537,1.0000,0.0888
-3.750,-0.2710,0.02983,0.02206,-0.0542,1.0000,0.0820
-3.500,-0.2492,0.02788,0.01994,-0.0539,1.0000,0.0845
-3.250,-0.2205,0.02660,0.01841,-0.0547,0.9981,0.0887
-3.000,-0.1768,0.02508,0.01642,-0.0575,0.9921,0.0909
-2.750,-0.1339,0.02402,0.01504,-0.0604,0.9853,0.0970
-2.500,-0.0937,0.02311,0.01407,-0.0629,0.9778,0.1037
-2.250,-0.0502,0.02234,0.01323,-0.0659,0.9713,0.1118
-2.000,-0.0138,0.02161,0.01263,-0.0678,0.9622,0.1298
-1.750,0.0300,0.02013,0.01200,-0.0711,0.9569,0.2599
-1.500,0.0609,0.01953,0.01214,-0.0718,0.9467,0.4743
-1.250,0.0969,0.01941,0.01228,-0.0733,0.9374,0.5866
-1.000,0.1343,0.01872,0.01228,-0.0742,0.9304,0.7562
-0.750,0.1893,0.01835,0.01195,-0.0796,0.9215,1.0000
-0.500,0.2397,0.01845,0.01175,-0.0840,0.9148,1.0000
-0.250,0.2746,0.01853,0.01162,-0.0855,0.9031,1.0000
0.000,0.3116,0.01859,0.01152,-0.0873,0.8923,1.0000
0.250,0.3628,0.01843,0.01121,-0.0915,0.8864,1.0000
0.500,0.3971,0.01841,0.01108,-0.0925,0.8745,1.0000
0.750,0.4345,0.01831,0.01089,-0.0941,0.8638,1.0000
1.000,0.4858,0.01791,0.01043,-0.0979,0.8580,1.0000
1.250,0.5192,0.01778,0.01025,-0.0986,0.8458,1.0000
1.500,0.5538,0.01759,0.01003,-0.0993,0.8341,1.0000
