Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe610b-il-500000
Airfoil,goe610b-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,118.039
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-goe610b-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.3116,0.11170,0.10939,-0.0346,1.0000,0.0199
-9.750,-0.3113,0.10893,0.10665,-0.0357,1.0000,0.0200
-9.500,-0.3112,0.10629,0.10405,-0.0366,1.0000,0.0200
-9.250,-0.3032,0.10192,0.09970,-0.0350,1.0000,0.0203
-9.000,-0.2984,0.09940,0.09720,-0.0343,1.0000,0.0205
-8.750,-0.2959,0.09715,0.09498,-0.0338,1.0000,0.0208
-8.500,-0.2957,0.09510,0.09297,-0.0330,1.0000,0.0211
-8.250,-0.2870,0.09224,0.09013,-0.0349,0.9987,0.0215
-8.000,-0.2677,0.08836,0.08625,-0.0399,0.9931,0.0224
-7.500,-0.2264,0.07868,0.07656,-0.0600,0.9673,0.0248
-7.250,-0.1964,0.07305,0.07088,-0.0702,0.9581,0.0249
-7.000,-0.1786,0.06823,0.06605,-0.0725,0.9503,0.0254
-6.750,-0.1504,0.06510,0.06288,-0.0767,0.9421,0.0261
-6.500,-0.1205,0.06172,0.05942,-0.0826,0.9287,0.0277
-6.250,-0.0827,0.05594,0.05343,-0.0956,0.9066,0.0306
-5.250,-0.0156,0.04334,0.04039,-0.1010,0.8581,0.0329
-5.000,0.0054,0.04104,0.03796,-0.1020,0.8492,0.0351
-4.750,0.0273,0.02137,0.01808,-0.0958,0.8204,0.0379
-4.500,0.0514,0.03092,0.02714,-0.1051,0.8325,0.0388
-4.250,0.0711,0.03016,0.02637,-0.1047,0.8245,0.0398
-4.000,0.0926,0.02907,0.02521,-0.1044,0.8165,0.0412
-3.750,0.1227,0.02776,0.02349,-0.1040,0.8089,0.0469
-3.500,0.1387,0.02277,0.01808,-0.1031,0.8009,0.0482
-3.250,0.1612,0.02173,0.01701,-0.1028,0.7929,0.0493
-3.000,0.1844,0.02085,0.01606,-0.1023,0.7834,0.0509
-2.750,0.2088,0.01982,0.01485,-0.1016,0.7745,0.0545
-2.500,0.2321,0.01798,0.01265,-0.1007,0.7646,0.0601
-2.250,0.2561,0.01724,0.01185,-0.1001,0.7525,0.0620
-2.000,0.2805,0.01653,0.01098,-0.0994,0.7377,0.0654
-1.750,0.3042,0.01567,0.00989,-0.0985,0.7199,0.0732
-1.500,0.3284,0.01532,0.00944,-0.0978,0.6998,0.0776
-1.250,0.3538,0.01326,0.00689,-0.0964,0.6825,0.0659
-1.000,0.3781,0.01333,0.00691,-0.0959,0.6659,0.0766
-0.500,0.4309,0.01134,0.00429,-0.0940,0.6420,0.0583
